Regen_Plot,Owner,InNotesTrt,Why deleted,Other?,FACTS,Revisit_Delete1st
AMR1300080,USFS,Yes,Field notes state treatments,,"Not in FACTS polygon, but adjacent to treatments",
AMR1300087,USFS,Yes,Field notes state treatments,,"Not in FACTS polygon, but adjacent to treatments",
AMR1300095,USFS,Yes,Field notes state treatments,,"Not in FACTS polygon, but adjacent to treatments",
AMR1300113,USFS,Yes,Field notes state treatments,,"Not in FACTS polygon, but adjacent to treatments",
AMR1300114,USFS,Yes,Field notes state treatments,,"Not in FACTS polygon, but adjacent to treatments",
AMR1300156,USFS,Yes,Field notes state treatments,,"Not in FACTS polygon, but adjacent to treatments",
AMR1300167,USFS,Yes,Field notes state treatments,,"Not in FACTS polygon, but adjacent to treatments",
AMR1300176,USFS, , ,,Salvaged or planted between fire year and measure*,
AMR1300206,USFS,Yes,Field notes state treatments,,"Not in FACTS polygon, but adjacent to treatments",
AMR1300247,USFS, , ,,Salvaged or planted between fire year and measure*,
AMR1300255,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
AMR1300312,USFS, , ,,Salvaged or planted between fire year and measure*,
AMR1300313,USFS, , ,,Salvaged or planted between fire year and measure*,
AMR1300377,USFS, , ,,Salvaged or planted between fire year and measure*,
AMR1300398,USFS, , ,,Salvaged or planted between fire year and measure*,
AMR1300399,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
AMR1300414,USFS, , ,,Salvaged or planted between fire year and measure*,
AMR1300446,USFS, , ,,Salvaged or planted between fire year and measure*,
AMR1300590,USFS, , ,,Salvaged or planted between fire year and measure*,
AMR1300638,USFS, , ,,Salvaged or planted between fire year and measure*,
ANT1200138,USFS, , ,,Salvaged or planted between fire year and measure*,
ANT1200145,USFS, , ,,Salvaged or planted between fire year and measure*,
ANT1200538,USFS, , ,,Salvaged or planted between fire year and measure*,
ANT1201444,USFS,Yes,Field notes state treatments,,"Not in FACTS polygon, but adjacent to treatments",
ANT1201581,USFS, , ,,Salvaged or planted between fire year and measure*,
ANT1201773,USFS, , ,,Salvaged or planted between fire year and measure*,
ANT1201775,USFS, , ,,Salvaged or planted between fire year and measure*,
ANT1201777,USFS, , ,,Salvaged or planted between fire year and measure*,
ANT1201779,USFS, , ,,Salvaged or planted between fire year and measure*,
ANT1201781,USFS, , ,,Salvaged or planted between fire year and measure*,
ANT1201783,USFS, , ,,Salvaged or planted between fire year and measure*,
ANT1201785,USFS, , ,,Salvaged or planted between fire year and measure*,
ANT1201787,USFS, , ,,Salvaged or planted between fire year and measure*,
ANT1201789,USFS, , ,,Salvaged or planted between fire year and measure*,
