plot_id,contributor,longitude,latitude,fire_year,sample_year,time_since_fire,distance_seed_source,fire_severity_category,shrub_cover,grass_cover,forb_cover,canopy_cover,count_ABCO,count_ABMA,count_PICO,count_PILA,count_PSME,count_PIPJ,plot_size_ABCO,plot_size_ABMA,plot_size_PICO,plot_size_PILA,plot_size_PSME,plot_size_PIPJ
BAG1045,DJNY,-122.03743999999999,41.04375999999998,2012,2016,4,NA,high,95,0,5,0,0,0,0,0,0,0,60,60,60,60,60,60
BAG1061,DJNY,-122.03519999999999,41.04924000000003,2012,2016,4,4,high,75,10,5,0,0,0,0,0,0,0,60,60,60,60,60,60
BAG1072,DJNY,-122.035,41.043849999999985,2012,2016,4,2,high,25,25,5,0,0,0,0,0,0,0,60,60,60,60,60,60
BAG1074,DJNY,-122.03517000000001,41.047409999999985,2012,2016,4,6,high,70,15,5,5,0,0,0,0,0,6,60,60,60,60,60,60
BAG1082,DJNY,-122.03509,41.04562999999998,2012,2016,4,4,high,40,30,5,0,0,0,0,0,0,0,60,60,60,60,60,60
BAG1085,DJNY,-122.03288,41.04929999999997,2012,2016,4,1,high,50,15,10,0,0,0,0,0,0,0,60,60,60,60,60,60
BAG1089,DJNY,-122.03293,41.05104,2012,2016,4,17,high,50,20,20,0,0,0,0,0,0,0,60,60,60,60,60,60
BAG1163,DJNY,-122.02795,41.043920000000014,2012,2016,4,5,high,75,10,15,0,0,0,0,0,0,0,60,60,60,60,60,60
BAG1221,DJNY,-122.02294000000002,41.040280000000045,2012,2016,4,3,high,40,0,0,30,0,0,0,0,0,0,60,60,60,60,60,60
BAG1260,DJNY,-122.01922000000002,41.06929999999998,2012,2016,4,28,high,100,0.5,0.5,0,0,0,0,0,8,1,60,60,60,60,15,60
BAG1276,DJNY,-122.01918,41.06757999999999,2012,2016,4,28,high,95,0.5,1,0,0,0,0,0,8,0,60,60,60,60,15,60
BAG1301,DJNY,-122.01472000000001,41.080180000000006,2012,2016,4,28,high,85,2,10,0,0,0,0,0,0,0,60,60,60,60,60,60
BAG1306,DJNY,-122.0145,41.07299000000004,2012,2016,4,2,high,85,0.5,0.5,0,0,0,0,0,11,0,60,60,60,60,15,60
BAG1308,DJNY,-122.01473,41.08199000000003,2012,2016,4,2,high,40,0.5,95,0,0,0,0,0,2,0,60,60,60,60,15,60
BAG1312,DJNY,-122.01479,41.08377000000002,2012,2016,4,60,high,95,3,10,0,0,0,0,0,0,0,60,60,60,60,60,60
BAG1318,DJNY,-122.01237,41.082029999999996,2012,2016,4,1,high,40,12,8,5,7,0,0,0,18,0,15,60,60,60,15,60
BAG1349,DJNY,-122.00949000000001,41.064040000000034,2012,2016,4,9,high,55,1,9,0,0,0,0,0,0,4,60,60,60,60,60,60
