plot_id,contributor,longitude,latitude,fire_year,sample_year,time_since_fire,distance_seed_source,fire_severity_category,shrub_cover,grass_cover,forb_cover,canopy_cover,count_CONIF.ALLSP,plot_size_CONIF.ALLSP
AMR1300134,DJNY,-120.63132705274533,39.182970189189284,2008,2013,5,9.2,high,35,0,10,0,97,60
AMR1300135,DJNY,-120.62902756287703,39.182903935331304,2008,2013,5,2.5,high,5,0,0,20,205,60
AMR1300136,DJNY,-120.626716555042,39.18295308328524,2008,2013,5,11.6,high,55,0,10,0,16,60
AMR1300156,DJNY,-120.54327665701436,39.18514586555283,2008,2013,5,50.8,high,5,0,5,0,13,60
AMR1300161,DJNY,-120.52008815268624,39.185276985935126,2008,2013,5,8.7,high,0.5,0,30,0,34,60
AMR1300167,DJNY,-120.62209724112276,39.18644264886464,2008,2013,5,10.6,high,70,0,0,0,40,60
AMR1300168,DJNY,-120.6198288681639,39.186700017662986,2008,2013,5,12.3,high,27,0,25,0,116,60
AMR1300192,DJNY,-120.54790193329355,39.18871539034103,2008,2013,5,67.1,high,12,0,10,0,3,60
AMR1300194,DJNY,-120.53629526792841,39.188882400825065,2008,2013,5,9.9,high,10,0,2,0,14,60
AMR1300195,DJNY,-120.52947961146108,39.18877610875048,2008,2013,5,12.9,high,9,0,1,0,20,60
AMR1300196,DJNY,-120.52712543624806,39.18880181721871,2008,2013,5,23.3,high,25,0,5,0,5,60
AMR1300204,DJNY,-120.5618223420904,39.19052126833628,2008,2013,5,3.9,high,8,1,10,10,30,60
AMR1300235,DJNY,-120.55497747772152,39.19410898681701,2008,2013,5,14.5,high,20,3,8,0,0,60
AMR1300236,DJNY,-120.55027072856105,39.19410736245573,2008,2013,5,19.7,high,18,0,1,0,0,60
AMR1300253,DJNY,-120.57584696511712,39.19761167845952,2008,2013,5,50,high,45,0.5,10,0,11,60
AMR1300260,DJNY,-120.56197218623221,39.19941343685565,2008,2013,5,NA,high,40,0,0,0,4,60
AMR1300264,DJNY,-120.55040231782687,39.201366553628475,2008,2013,5,NA,high,20,0,5,0,1,60
AMR1300268,DJNY,-120.55269655294356,39.203089369681564,2008,2013,5,NA,high,28,0,2,0,1,60
AMR1300269,DJNY,-120.55036787069832,39.203130764832444,2008,2013,5,NA,high,15,0,0,0,0,60
AMR1300270,DJNY,-120.5480743590847,39.2031463664056,2008,2013,5,NA,high,45,0,3,0,0,60
AMR1300271,DJNY,-120.54343871867016,39.20316046147811,2008,2013,5,NA,high,70,0,8,0,0,60
