"Regen_Plot","Fire","ID","Date","Observers","Year.of.Fire","Photos","Datum","Easting","Northing","aspect","slope","parent1","parent2","BARE","ROCK","VEG..BASAL..10.","LITT","CWD","SHRUB","GRASS","HARDWOOD","CONIFER","DEAD_OCC","LIVE_OCC","CALVEG_OBS","FIRE_SEV","HIST1","HIST2","HIST3","DUFF_cm","LITT_cm","BA_total_count","BA_live_count","BA_dead_count","NOTES","HERBS","UNDERSTORY.VEG","TREE_live.only","BAF","BA.Total1","BA.Live1","BA.Dead1","dominant_shrub_ht_cm","seed_tree_distance_general","fire.prefix","seed_tree_distance_conifer","seed_tree_distance_hardwood","seed_wall_distance","dominant_tree_1","dominant_tree_2","dominant_tree_3","fire_killed_trees_2.15","fire_killed_trees_15.30","fire_killed_trees_30.45","fire_killed_trees_45.60","fire_killed_trees_60.","dominant_shrub_1","dominant_shrub_2","new_or_revisit","burn_or_control","revisit_relocated_precisely","entered_by","entered_on","dominant_shrub_3","Year","fire.abbr","X5yr","fire.year","notes","survey.years.post","seed.tree.any","FORB","dom.veg","dom.veg.2016","dom.veg.all"
"AMR1300014","AMERICAN RIVER",2292,"7/2/2013 0:00:00","CP, MS, NO, PB",2008,"951 NO","NAD83 UTM zone 10",706014.84,4326801.15,36,29,"GRANITE","",4,5,0.5,87,4,6,3,0,33,0,30,"1",1,"",NA,NA,0,2,9,9,0,"BAF 5",3,10,33,5,45,45,0,35,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,"AMR","Y",2008,"",5,2.4,0.5,"PIPO PSME ABCO","NA NA NA","NA NA NA PIPO PSME ABCO"
"AMR1300022","AMERICAN RIVER",2293,"7/2/2013 0:00:00","CP, MS, NO, PB",2008,"952 NO","NAD83 UTM zone 10",706014.29,4326999.89,304,24,"GRANITE","",0.5,4,0.5,90,6,5,0,0,0,0,1,"1",2,"",NA,NA,0,2,10,8,2,"",0.5,5,0,20,200,160,40,101,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,"AMR","Y",2008,"",5,1.5,0.5,"ABCO CADE27 QUKE","NA NA NA","NA NA NA ABCO CADE27 QUKE"
"AMR1300030","AMERICAN RIVER",2294,"7/2/2013 0:00:00","CP, MS, NO, PB",2008,"953 NO","NAD83 UTM zone 10",706001.53,4327205.55,342,33,"GRANITE","",0.5,0.5,2,87,10,20,1,0,65,0,60,"1",0,"",NA,NA,0,2,10,10,0,"LOOK UNBURNED",1,30,65,20,200,200,0,58,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,"AMR","Y",2008,"",5,1.9,0.5,"CADE27 ABCO PIPO","NA NA NA","NA NA NA CADE27 ABCO PIPO"
"AMR1300032","AMERICAN RIVER",2295,"7/2/2013 0:00:00","CP, MS, NO, PB",2008,"32 AMR CPP","NAD83 UTM zone 10",706209.01,4327202.08,0,35,"GRANITE","",0.5,0.5,1,98,1,30,0,0,80,10,80,"1",2,"",NA,NA,0,3,8,8,0,"",0.5,30,80,20,160,160,0,130,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,"AMR","Y",2008,"",5,1.4,0.5,"PSME ABCO PILA","NA NA NA","NA NA NA PSME ABCO PILA"
"AMR1300034","AMERICAN RIVER",2296,"7/2/2013 0:00:00","CP, MS, NO, PB",2008,"957 NO","NAD83 UTM zone 10",706400.32,4327221.79,234,15,"GRANITE","",0,0.5,1,97,2,18,0.5,4,70,0,50,"1",1,"",NA,NA,0.5,3,8,8,0,"A FEW STUMPS PRESENT OUTSIDE PLOT- SALVAGE LOGGING",10,55,70,20,160,160,0,130,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,"AMR","Y",2008,"",5,1.9,10,"PIPO PILA CADE27","NA NA NA","NA NA NA PIPO PILA CADE27"
"AMR1300052","AMERICAN RIVER",2297,"7/2/2013 0:00:00","CP, MS, NO, PB",2008,"958 NO","NAD83 UTM zone 10",706398.38,4327412.29,185,25,"GRANITE","",0.5,1,1,94,4,5,12,0.5,78,0,75,"1",1,"",NA,NA,0.5,2,8,8,0,"SMALL STUMPS OUTSIDE PLOT IS WHY THERE ARE NO SNAGS, AND BUMPS UP THE CWD COVER.",12,25,78,20,160,160,0,70,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,"AMR","Y",2008,"",5,3.2,0.5,"PIPO PSME PILA","NA NA NA","NA NA NA PIPO PSME PILA"
"AMR1300054","AMERICAN RIVER",2298,"7/2/2013 0:00:00","CP, MS, NO, PB",2008,"54 AMR CPP","NAD83 UTM zone 10",706600.57,4327417.34,242,28,"GRANITE","",5,8,1,83,3,35,2,0,4,0,25,"1",2,"",NA,NA,0,0.5,6,3,3,"BAF 5",2,65,4,5,30,15,15,60,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,"AMR","Y",2008,"",5,4.7,0,"ABMA PIPO CADE27","NA NA NA","NA NA NA ABMA PIPO CADE27"
"AMR1300056","AMERICAN RIVER",2299,"7/1/2013 0:00:00","CP, MS, NO, PB",2008,"56 AMR CPP","NAD83 UTM zone 10",706798.91,4327416.8,94,22,"GRANITE","",0,1,1,93,5,8,0,0,15,2,15,"1",3,"",NA,NA,0.5,2,14,4,10,"",0,9,15,20,280,80,200,85,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,"AMR","Y",2008,"",5,3.2,0.5,"ABCO PSME CADE27","NA NA NA","NA NA NA ABCO PSME CADE27"
"AMR1300069","AMERICAN RIVER",2300,"7/2/2013 0:00:00","CP, MS, NO, PB",2008,"69 AMR CPP","NAD83 UTM zone 10",706790.69,4327627.62,247,23,"GRANITE","",5,5,5,85,0.5,10,1,0,75,5,70,"1",2,"",NA,NA,0.5,1,7,6,1,"BAF 10",4,20,75,10,70,60,10,30,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,"AMR","Y",2008,"",5,1,3,"CADE27 PIPO ABCO","NA NA NA","NA NA NA CADE27 PIPO ABCO"
"AMR1300080","AMERICAN RIVER",2301,"7/11/2013 0:00:00","CP, MS, RD, PB",2008,"5717 RD","NAD83 UTM zone 10",701819.93,4338652.73,149,8,"GRANITE","",0,0,1,94,5,53,2,0,15,0,15,"1",0,"",NA,NA,NA,NA,NA,NA,NA,"BAF 10, SALVAGE LOGGING, PLOT APPEARS UNBURNED",2,55,15,10,0,NA,0,NA,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,"AMR","Y",2008,"",5,4.1,0,NA,"NA NA NA","NA NA NA NA"
