"Regen_Plot","Fire","Year.of.Fire","Easting","Northing","aspect","slope","SHRUB","FORB","GRASS","HARDWOOD","CONIFER","FIRE_SEV","BA.Live1","Year","firesev","dist.to.low","fire.abbr","X5yr","fire.year","survey.years.post","elev.m","rad.march","tmean.post","ppt.post","ppt.post.min","tmean.normal","ppt.normal","seed.tree.any","diff.norm.ppt.z","diff.norm.ppt.min.z","seed_tree_distance_general","seed_tree_distance_conifer","seed_tree_distance_hardwood","diff.norm.ppt.z.1","diff.norm.ppt.min.z.1","tmean.post.1","tmean.post.max","ppt.post.1","ppt.post.min.1","perc.norm.ppt","perc.norm.ppt.min","tmean.post.2","tmean.normal.1","diff.norm.tmean.z","diff.norm.tmean.max.z","def.normal","aet.normal","diff.norm.def.z","diff.norm.aet.z","diff.norm.def.max.z","diff.norm.aet.min.z","def.post","aet.post","def.post.max","aet.post.min","snow.post.min","snow.normal","snow.post","diff.norm.snow.z","diff.norm.snow.min.z","dominant_shrub_ht_cm","dom.veg.all","ppt.normal.sq","tmean.normal.sq","snow.normal.sq","FIRE_SEV.cat"
"AMR1300014","American River",2008,706014.84,4326801.15,36,29,6,0.5,3,0,33,1,45,2013,NA,NA,"AMR","Y",2008,5,4863.8099750518,4863.8099750518,11.4665836030117,1647.98275728198,1360.45801225398,11.7136687498294,1604.76292239008,2.4,0.396820444640465,-0.190802045594398,2.4,NA,NA,0.396820444640465,-0.190802045594398,11.4665836030117,11.4665836030117,1647.98275728198,1360.45801225398,1.02693222424875,0.847762615444629,11.4665836030117,11.7136687498294,-0.651651224035596,0.70859422073137,623.999125485488,678.493601967692,-1.02561452011182,0.920374353729915,-0.382543353316386,0.461277331945154,504.452239264743,764.178099223299,579.409403093073,721.437341243946,82.9848215884126,93.1515343595411,115.803977005293,0.423762678015593,-0.16127550222911,35,"NA NA NA PIPO PSME ABCO",2575264.03707795,137.21003558073,8677.20835353677,"control"
"AMR1300030","American River",2008,706001.53,4327205.55,342,33,20,0.5,1,0,65,0,200,2013,NA,NA,"AMR","Y",2008,5,5848.49635823547,5848.49635823547,11.477904264716,1658.86563076049,1371.72123149726,11.7214229512354,1606.7940648825,1.9,0.396867859472151,-0.186220731123619,1.9,NA,NA,0.396867859472151,-0.186220731123619,11.477904264716,11.477904264716,1658.86563076049,1371.72123149726,1.0324071186321,0.853700708433703,11.477904264716,11.7214229512354,-0.652752093338482,0.712587541977915,621.978200419163,679.183675442938,-1.02699319909522,0.918397895353531,-0.387605022473719,0.450166154841357,502.492761979719,764.510953033047,576.882326276662,721.008087988041,87.8922173748287,98.4352784727163,122.161663960816,0.421457131461868,-0.158889474105478,58,"NA NA NA CADE27 ABCO PIPO",2581787.16694163,137.391756001748,9689.50404800121,"control"
"AMR1300034","American River",2008,706400.32,4327221.79,234,15,18,10,0.5,4,70,1,160,2013,NA,NA,"AMR","Y",2008,5,5819.39286274666,5819.39286274666,11.4061881349963,1669.10093354738,1383.3037737307,11.6409692136439,1607.26755769717,1.9,0.399970283791136,-0.177463358012079,1.9,NA,NA,0.399970283791136,-0.177463358012079,11.4061881349963,11.4061881349963,1669.10093354738,1383.3037737307,1.03847111549915,0.860655568580407,11.4061881349963,11.6409692136439,-0.653592946538569,0.711643748770712,619.819380561241,679.680889490784,-1.03186628936142,0.918824740158005,-0.404953340601508,0.424404086989438,499.978254103064,765.023019025429,572.788030665394,719.10032062262,111.196493672418,112.125464047525,142.917168221883,0.505057613462635,0.00379583642394321,130,"NA NA NA PIPO PILA CADE27",2583309.00202583,135.512164233005,12572.1196878728,"control"
"AMR1300052","American River",2008,706398.38,4327412.29,185,25,5,0.5,12,0.5,78,1,160,2013,NA,NA,"AMR","Y",2008,5,6833.02571411641,6833.02571411641,11.4185506516928,1674.14193999245,1386.80562144515,11.6517739137508,1607.70366155397,3.2,0.400050535116196,-0.178799184027994,3.2,NA,NA,0.400050535116196,-0.178799184027994,11.4185506516928,11.4185506516928,1674.14193999245,1386.80562144515,1.04132495311621,0.862600275541262,11.4185506516928,11.6517739137508,-0.654227321471339,0.714220673859748,618.92408219859,679.914504408487,-1.03234969910213,0.917498724735571,-0.408616337245248,0.41966018434096,499.20159728066,764.994346966926,571.536493171721,718.829678292859,114.509836555829,115.075873524762,146.681641777079,0.506335799934293,0.00961629864476576,70,"NA NA NA PIPO PSME PILA",2584711.06337404,135.763835337164,13242.456667487,"control"
"AMR1300091","American River",2008,701811.1,4339054.86,107,20,74,0,1,0,0.5,0,70,2013,0,0,"AMR","Y",2008,5,6204.02299060467,6204.02299060467,10.920215787073,1808.24907460458,1473.91302851494,11.0586788210085,1716.9176299914,4.8,0.381880932264158,-0.243628874518327,4.8,NA,NA,0.381880932264158,-0.243628874518327,10.920215787073,10.920215787073,1808.24907460458,1473.91302851494,1.05319500657328,0.858464612843613,10.920215787073,11.0586788210085,-0.673882969605845,0.737688077178845,591.535415590165,699.542558845916,-0.989307842769737,0.834017677674722,-0.345432030311103,0.422664158083927,478.270415871235,775.154304336599,551.987201045986,737.861140819115,187.175027263414,158.710511371463,219.265381956599,0.738933566475329,0.346895619689929,NA,"NA NA NA PIPO CADE27 QUKE",2947806.14817529,122.294377266222,25189.0264197913,"control"
"AMR1300096","American River",2008,709206.01,4339131.83,275,5,41,0,1,1,50,0,240,2013,0,0,"AMR","Y",2008,5,3474.06265829014,3474.06265829014,10.123445214521,1873.6730957793,1551.58310326427,10.2843724007093,1764.02370283887,1.6,0.406047617461393,-0.17667257996797,1.6,NA,NA,0.406047617461393,-0.17667257996797,10.123445214521,10.123445214521,1873.6730957793,1551.58310326427,1.06215868458228,0.879570439312853,10.123445214521,10.2843724007093,-0.650263712546577,0.652878053336233,579.663578607721,692.823568248924,-1.01280452912291,0.823973405357731,-0.352969878904315,0.358590384607547,468.197982958995,765.895088217422,540.816993045747,724.624041758121,321.092202383459,278.406394493209,386.056933465962,0.844234250712026,0.336111380452198,60,"NA NA NA ABCO PIPO CADE27",3111779.62417736,105.768315676471,77510.1204947083,"control"
"AMR1300105","American River",2008,704003.64,4339331.4,338,2,78,1,1,0,25,0,25,2013,3,0,"AMR","Y",2008,5,5895.34801788986,5895.34801788986,10.7623687398436,1823.76924343063,1493.14530634881,10.9089748370389,1715.21346749557,0.8,0.385208436698654,-0.228277556694902,0.8,NA,NA,0.385208436698654,-0.228277556694902,10.7623687398436,10.7623687398436,1823.76924343063,1493.14530634881,1.06328995078004,0.870530306952984,10.7623687398436,10.9089748370389,-0.667393048504851,0.718795857897028,587.997880648313,698.777300189079,-0.996982542399815,0.83910393161247,-0.348796442916874,0.40341145311213,475.176962915457,774.153157420086,548.527244886612,735.015342879095,250.783224061007,204.814829779502,294.742084571524,0.873554859096021,0.447481341482864,60,"NA NA NA PIPO PSME CADE27",2941957.23907818,119.005731995148,41949.1144976064,"control"
"AMR1300124","American River",2008,714203.4,4339869,78,10,65,1,0.5,0,35,1,55,2013,1,0,"AMR","Y",2008,5,5826.16356568006,5826.16356568006,8.94521126166053,1925.69000951912,1608.62674840614,8.9803184798403,1795.68125611498,1.3,0.441855586085223,-0.124783162659119,1.3,NA,NA,0.441855586085223,-0.124783162659119,8.94521126166053,8.94521126166053,1925.69000951912,1608.62674840614,1.0724007966121,0.895830895894331,8.94521126166053,8.9803184798403,-0.647999629554456,0.691609254364661,573.082827360841,676.788370483347,-0.998033758706426,0.779806765841272,-0.353815428038228,0.291175395497159,462.403200935662,748.385158088282,533.845517944081,703.522202325268,367.065364797992,349.746972175452,440.428916032015,0.797029575803501,0.153114488843099,110,"NA NA NA ABCO PIPO ABMA",3224471.17356267,80.6461199993612,122322.944545896,"control"
"AMR1300134","American River",2008,704590.12,4339754.02,343,23,35,10,0,0,25,4,40,2013,3,0,"AMR","Y",2008,5,4775.91866201269,4775.91866201269,10.9241265100239,1826.16071452957,1496.44083112825,11.1067078338614,1707.98247183599,9.2,0.385237487974162,-0.225526026217765,9.2,NA,NA,0.385237487974162,-0.225526026217765,10.9241265100239,10.9241265100239,1826.16071452957,1496.44083112825,1.06919171867528,0.876145309336609,10.9241265100239,11.1067078338614,-0.665060093035962,0.700297194844005,587.933772895362,698.848746078951,-1.00070429718609,0.845294462426733,-0.352384924828973,0.402829334047006,475.098714761696,774.509479665513,548.20038353118,734.90524979327,262.849698687789,214.222671968023,309.870729621446,0.890856259828058,0.453934580307904,45,"NA NA NA ABCO CADE27 PILA",2917204.12409898,123.358958906758,45891.3531851192,"high.sev"
"AMR1300135","American River",2008,704788.95,4339751.86,340,33,5,0,0,0,55,4,40,2013,3,0,"AMR","Y",2008,5,4723.99288171419,4723.99288171419,10.8973845605407,1827.98013110576,1498.53915320458,11.0772768411271,1709.13414074183,2.5,0.3855812771055,-0.22408597228954,2.5,NA,NA,0.3855812771055,-0.22408597228954,10.8973845605407,10.8973845605407,1827.98013110576,1498.53915320458,1.0695357886376,0.876782645365774,10.8973845605407,11.0772768411271,-0.665319839019617,0.699902782716969,587.50278014787,698.774418169353,-1.00097133639238,0.844728731233162,-0.352068198449216,0.399867042457248,474.760966434907,774.3257985101,547.848490558642,734.537978580415,269.110784180728,218.80813113513,317.184106208015,0.897353489216749,0.459994709988636,35,"NA NA NA ABCO PSME PILA",2921139.51104931,122.706062214971,47876.9982508482,"high.sev"
