Regen_Plot,Fire,fire.year,SHRUB,GRASS,FIRE_SEV,Year,survey.years.post,rad.march,tmean.normal,ppt.normal,diff.norm.ppt.z,diff.norm.ppt.min.z,seed_tree_distance_general,diff.norm.ppt.z.1,diff.norm.tmean.z,diff.norm.tmean.max.z,def.normal,aet.normal,diff.norm.def.z,diff.norm.aet.z,diff.norm.def.max.z,diff.norm.aet.min.z,snow.normal,diff.norm.snow.z,diff.norm.snow.min.z,dominant_shrub_ht_cm,ppt.normal.sq,tmean.normal.sq,snow.normal.sq,FIRE_SEV.cat
AMR1300014,American River,2008,6,3,1,2013,5,4863.8099750518,11.7136687498294,1604.76292239008,0.396820444640465,-0.190802045594398,2.4,0.396820444640465,-0.651651224035596,0.70859422073137,623.999125485488,678.493601967692,-1.02561452011182,0.920374353729915,-0.382543353316386,0.461277331945154,93.1515343595411,0.423762678015593,-0.16127550222911,35,2575264.03707795,137.21003558073,8677.20835353677,control
AMR1300030,American River,2008,20,1,0,2013,5,5848.49635823547,11.7214229512354,1606.7940648825,0.396867859472151,-0.186220731123619,1.9,0.396867859472151,-0.652752093338482,0.712587541977915,621.978200419163,679.183675442938,-1.02699319909522,0.918397895353531,-0.387605022473719,0.450166154841357,98.4352784727163,0.421457131461868,-0.158889474105478,58,2581787.16694163,137.391756001748,9689.50404800121,control
AMR1300034,American River,2008,18,0.5,1,2013,5,5819.39286274666,11.6409692136439,1607.26755769717,0.399970283791136,-0.177463358012079,1.9,0.399970283791136,-0.653592946538569,0.711643748770712,619.819380561241,679.680889490784,-1.03186628936142,0.918824740158005,-0.404953340601508,0.424404086989438,112.125464047525,0.505057613462635,0.003795836423943,130,2583309.00202583,135.512164233005,12572.1196878728,control
AMR1300052,American River,2008,5,12,1,2013,5,6833.02571411641,11.6517739137508,1607.70366155397,0.400050535116196,-0.178799184027994,3.2,0.400050535116196,-0.654227321471339,0.714220673859748,618.92408219859,679.914504408487,-1.03234969910213,0.917498724735571,-0.408616337245248,0.41966018434096,115.075873524762,0.506335799934293,0.009616298644766,70,2584711.06337404,135.763835337164,13242.456667487,control
AMR1300091,American River,2008,74,1,0,2013,5,6204.02299060467,11.0586788210085,1716.9176299914,0.381880932264158,-0.243628874518327,4.8,0.381880932264158,-0.673882969605845,0.737688077178845,591.535415590165,699.542558845916,-0.989307842769737,0.834017677674722,-0.345432030311103,0.422664158083927,158.710511371463,0.738933566475329,0.346895619689929,NA,2947806.14817529,122.294377266222,25189.0264197913,control
AMR1300096,American River,2008,41,1,0,2013,5,3474.06265829014,10.2843724007093,1764.02370283887,0.406047617461393,-0.17667257996797,1.6,0.406047617461393,-0.650263712546577,0.652878053336233,579.663578607721,692.823568248924,-1.01280452912291,0.823973405357731,-0.352969878904315,0.358590384607547,278.406394493209,0.844234250712026,0.336111380452198,60,3111779.62417736,105.768315676471,77510.1204947083,control
AMR1300105,American River,2008,78,1,0,2013,5,5895.34801788986,10.9089748370389,1715.21346749557,0.385208436698654,-0.228277556694902,0.8,0.385208436698654,-0.667393048504851,0.718795857897028,587.997880648313,698.777300189079,-0.996982542399815,0.83910393161247,-0.348796442916874,0.40341145311213,204.814829779502,0.873554859096021,0.447481341482864,60,2941957.23907818,119.005731995148,41949.1144976064,control
AMR1300124,American River,2008,65,0.5,1,2013,5,5826.16356568006,8.9803184798403,1795.68125611498,0.441855586085223,-0.124783162659119,1.3,0.441855586085223,-0.647999629554456,0.691609254364661,573.082827360841,676.788370483347,-0.998033758706426,0.779806765841272,-0.353815428038228,0.291175395497159,349.746972175452,0.797029575803501,0.153114488843099,110,3224471.17356267,80.6461199993612,122322.944545896,control
AMR1300134,American River,2008,35,0,4,2013,5,4775.91866201269,11.1067078338614,1707.98247183599,0.385237487974162,-0.225526026217765,9.2,0.385237487974162,-0.665060093035962,0.700297194844005,587.933772895362,698.848746078951,-1.00070429718609,0.845294462426733,-0.352384924828973,0.402829334047006,214.222671968023,0.890856259828058,0.453934580307904,45,2917204.12409898,123.358958906758,45891.3531851192,high.sev
AMR1300135,American River,2008,5,0,4,2013,5,4723.99288171419,11.0772768411271,1709.13414074183,0.3855812771055,-0.22408597228954,2.5,0.3855812771055,-0.665319839019617,0.699902782716969,587.50278014787,698.774418169353,-1.00097133639238,0.844728731233162,-0.352068198449216,0.399867042457248,218.80813113513,0.897353489216749,0.459994709988636,35,2921139.51104931,122.706062214971,47876.9982508482,high.sev
