Regen_Plot,Exclude,NOTES
AMR1300014,,BAF 5
AMR1300022,,
AMR1300030,,LOOK UNBURNED
AMR1300032,,
AMR1300034,,A FEW STUMPS PRESENT OUTSIDE PLOT- SALVAGE LOGGING
AMR1300052,,"SMALL STUMPS OUTSIDE PLOT IS WHY THERE ARE NO SNAGS, AND BUMPS UP THE CWD COVER."
AMR1300054,,BAF 5
AMR1300056,,
AMR1300069,,BAF 10
AMR1300080,m,"BAF 10, SALVAGE LOGGING, PLOT APPEARS UNBURNED"
AMR1300087,m,"BAF 10. SALVAGE LOGGING, STUMP IN PLOT. APPEARS UNBURNED."
AMR1300091,,BAF 10 APPEARS UNBUNED
AMR1300093,m,"BAF 10, APPEARS UNBURNED, MANAGED AREA"
AMR1300094,m,"BAF 5.  STUMPS IN STAND, MANAGED AREA. APPEARS UNBURNED"
AMR1300095,m,"BAF 10. SALVAGE LOGGING, APPEARS UNBURNED"
AMR1300096,,BAF 40. APPEARS UNBURNED
AMR1300105,,BAF 5. APPEARS UNBURNED
AMR1300106,,
AMR1300113,m,SALVAGE LOGGING IN STAND
AMR1300114,m,BAF 10. SALVAGE LOGGING
AMR1300118,,BAF 40. BITTER DOGSBANE IS MAIN FORB.
AMR1300123,,BAF 5
AMR1300124,,BAF 5
AMR1300134,,BAF 40
AMR1300135,,BAF 40.
AMR1300136,,BAF 40
AMR1300142,,BAF 5
AMR1300143,,
AMR1300151,,BAF 40
AMR1300152,,BAF 40
AMR1300156,m,BAF 5. SALVAGE LOGGING
AMR1300160,,BAF 10
AMR1300161,,
AMR1300167,m,"BAF 40.  MANAGED AREA, CEANOTHUS HAS BEEN CUT, BARE GROUND MAY BE DUE TO MANAGEMENT."
AMR1300168,,BAF 40
AMR1300170,,BAF 40
AMR1300171,,BAF 10
AMR1300175,,BAF 5
AMR1300176,,
AMR1300177,,BAF 10
AMR1300178,,BAF 40
AMR1300192,,
AMR1300193,,BAF 5
AMR1300194,,
AMR1300195,,BAF 40
AMR1300196,,BAF 40
AMR1300204,,BAF 40
AMR1300205,,
AMR1300206,m,"BAF 5. MAY BE PLANTED/ MANAGED, SNAGS REMOVED.  SOME SEEDLINGS NEEDLES HAVE TURNED BROWN AS IF FROM GLYPHOSATE DAMAGE."
AMR1300209,,BAF 5
AMR1300222,m,"BAF 5. NEAR A ROAD, MANAGED AREA."
AMR1300235,,BAF 10
AMR1300236,,BA NR
AMR1300247,,
AMR1300253,,
AMR1300255,m,"HIGHLY MANAGED, SALVAGE LOGGING: STUMPS EVERYWHERE"
AMR1300260,,
AMR1300264,,BAF 10
AMR1300268,,
AMR1300269,,
AMR1300270,,
AMR1300271,,BAF 40
AMR1300310,,
AMR1300311,,
AMR1300312,,
AMR1300313,,BAF 5
AMR1300314,,BAF 10
AMR1300315,,
AMR1300352,,
AMR1300377,,BAF 40
AMR1300378,m,BAF 40. A STREAM RUNS THROUGH THE PLOT.
AMR1300379,m,BAF 5. 2 LARGE STUMPS JUST OUTSIDE PLOT.
AMR1300387,,BAF 10. BETWEEN 5 ROADS.
AMR1300388,m,"MANAGED AREA, STUMPS."
AMR1300391,,BAF 40
AMR1300392,,BAF 10
AMR1300396,,
AMR1300398,,BAF 40
AMR1300399,m,"AREA LOOKS LIKE SOIL HAS BEEN TILLED. MAY HAVE BEEN CLEAR CUT, BUT NO STUMPS OR SNAGS."
AMR1300404,,"MISSING SNAGS, HOLES WHERE THEY WOULD BE."
AMR1300408,,
AMR1300412,,
AMR1300414,,
AMR1300423,,
AMR1300429,,
AMR1300430,,BAF 5
AMR1300431,,BAF 40
AMR1300432,,BAF 40
AMR1300434,,BAF 40
AMR1300435,,
AMR1300438,,APPEARS UNBURNED
AMR1300440,,
AMR1300441,,
AMR1300442,,BAF 40
AMR1300443,,
AMR1300444,,BAF 40
AMR1300445,,
AMR1300446,,BAF 5
AMR1300447,,BAF 40
AMR1300559,,CONTROL. BAF 40
AMR1300576,,CONTROL
AMR1300590,,CONTROL. BAF 40
AMR1300611,,CONTROL
AMR1300638,,CONTROL
AMR1300643,,CONTROL
AMR1300668,,CONTOL. BAF 5
AMR1300685,,CONTROL. BAF 10
AMR1300686,,CONTROL. BAF 5
AMR1300689,,CONTROL
ANT1200086,,CONTROL
ANT1200087,,CONTROL
ANT1200092,,"CONTROL, BAF 10"
ANT1200094,,"CONTRL, BAF 10"
ANT1200097,,"CONTROL, BAF 5"
ANT1200098,,CONTROL
ANT1200110,,"CONTROL,"
ANT1200119,,CONTROL
ANT1200138,,CONTROL
ANT1200145,,CONTROL
ANT1200166,,
ANT1200191,,BAF 10
ANT1200192,,BAF 10
ANT1200306,,
ANT1200307,,BAF 10
ANT1200536,,BAF 20
ANT1200538,,BAF 20.  ON EDGE OF HIGH SEVERITY
ANT1200540,,BAF 10
ANT1200542,,
ANT1200575,,BAF 20
ANT1200577,,BAF 20
ANT1200579,,BAF 20
ANT1200581,,BAF 20
ANT1200583,,BAF 10
ANT1200585,,BAF 20
ANT1200621,,
ANT1200623,,
ANT1200625,,BAF 20
ANT1200627,,BAF 10
ANT1200672,,Moved plot 10m south to avoid a road.
ANT1200674,,
ANT1200676,,
ANT1200726,,
ANT1200728,,
ANT1201310,,BAF 20
ANT1201376,,BAF 10
ANT1201378,,
ANT1201444,m,"BAF 20.  COW TRACKS, SALVAGE LOGGING."
