,Regen_Plot,Fire,Year.of.Fire,aspect,slope,SHRUB,FORB,GRASS,HARDWOOD,CONIFER,FIRE_SEV,BA.Live1,Year,firesev,dist.to.low,fire.abbr,X5yr,fire.year,survey.years.post,elev.m,rad.march,tmean.post,ppt.post,ppt.post.min,tmean.normal,ppt.normal,seed.tree.any,diff.norm.ppt.z,diff.norm.ppt.min.z,seed_tree_distance_general,seed_tree_distance_conifer,seed_tree_distance_hardwood,diff.norm.ppt.z.1,diff.norm.ppt.min.z.1,tmean.post.1,tmean.post.max,ppt.post.1,ppt.post.min.1,perc.norm.ppt,perc.norm.ppt.min,tmean.post.2,tmean.normal.1,diff.norm.tmean.z,diff.norm.tmean.max.z,def.normal,aet.normal,diff.norm.def.z,diff.norm.aet.z,diff.norm.def.max.z,diff.norm.aet.min.z,def.post,aet.post,def.post.max,aet.post.min,snow.post.min,snow.normal,snow.post,diff.norm.snow.z,diff.norm.snow.min.z,dominant_shrub_ht_cm,dom.veg.all,ppt.normal.sq,tmean.normal.sq,snow.normal.sq,FIRE_SEV.cat,type,rel_yrs,plant_yrs,salv_yrs,released,salvaged,planted,managed
1,AMR1300247,American River,2008,292,14,6,35,0.5,0,1,5,0,2013,4,34.5835807772281,AMR,Y,2008,5,5653.39153209562,5653.39153209562,10.2878818010653,1874.28137625624,1548.06186701724,10.4414665062506,1767.18306493014,29.4,0.406677899352916,-0.182577248868941,29.4,NA,NA,0.406677899352916,-0.182577248868941,10.2878818010653,10.2878818010653,1874.28137625624,1548.06186701724,1.06060397106077,0.876005376997226,10.2878818010653,10.4414665062506,-0.6513930464229,0.680776066067986,581.671266279303,694.117340869224,-1.0154366899117,0.842491371588502,-0.359857996800898,0.358297936911842,470.121969779283,768.2435696524,542.139598001158,725.642025560048,282.612014834845,254.783220941899,343.266195834415,0.809902920692324,0.255382688022848,55,NA NA NA PIPO PILA CADE27,3122935.98497588,109.024222801153,64914.4896735285,high.sev,highsev,,2009,,0,0,1,1
2,ANT1200538,Antelope,2007,166,22,10,0.5,60,0,0,4,80,2012,2,0,ANT,Y,2007,5,6455.31230234094,6455.31230234094,9.08295388556195,441.963442155214,358.549289155624,9.21406747335813,642.403558460459,8.8,-0.509383166018745,-0.851236033972669,8.8,NA,NA,-0.509383166018745,-0.851236033972669,9.08295388556195,9.08295388556195,441.963442155214,358.549289155624,0.687984112688282,0.558137146710238,9.08295388556195,9.21406747335813,-0.375512989191679,0.534946058439393,780.006495068302,417.982389611714,-0.117986527331796,-0.105620818602539,0.710462683052748,-1.37429060574568,765.116054091135,408.33916649342,869.670144704557,292.509105879158,214.906805358924,161.198415466854,233.213634278019,0.775218494276116,0.58094608818673,6,NA NA NA ABCO PSME PIPO,412682.33192266,84.8990394035963,25984.9291490245,high.sev,highsev,,2010,,0,0,1,1
3,ANT1201775,Antelope,2007,195,37,0,1,70,0,0,4,0,2012,4,63.6259834115531,ANT,Y,2007,5,5681.63922391336,5681.63922391336,8.55038991774121,412.812364327438,343.072725074289,8.6747579237007,615.630401606315,38,-0.528181719426064,-0.825225628046278,38,NA,NA,-0.528181719426064,-0.825225628046278,8.55038991774121,8.55038991774121,412.812364327438,343.072725074289,0.67055227170445,0.557270602912294,8.55038991774121,8.6747579237007,-0.378384833471683,0.536255331215002,786.573257648751,399.42387297246,-0.0959315031963,-0.108627085076105,0.632029640703884,-1.24810507148897,774.524690163462,389.537185299451,865.953352039034,285.827664289651,241.378739354283,181.843704249252,258.90841432376,0.776521089797884,0.602767197453317,NA,NA NA NA PIJE PIPO PSME,379000.791381953,75.2514250348081,33067.1327750894,high.sev,highsev,,2010,2009,0,1,1,1
4,ANT1201777,Antelope,2007,184,24,25,0,20,0,0.5,4,30,2012,4,82.9733499719327,ANT,Y,2007,5,5166.3238516927,5166.3238516927,8.50863424058882,412.59406259388,342.744467310052,8.63717002397785,616.58907226763,13.4,-0.527680614391489,-0.825525755491427,13.4,NA,NA,-0.527680614391489,-0.825525755491427,8.50863424058882,8.50863424058882,412.59406259388,342.744467310052,0.669155651877648,0.555871783535736,8.50863424058882,8.63717002397785,-0.376808877444504,0.541867267832776,786.47103678764,398.785142279407,-0.096507716383246,-0.106133476132664,0.633539090582736,-1.24814249171562,774.365551735011,389.142781311105,865.939272890645,285.389813269788,241.902544063999,182.826807764954,259.179041828745,0.769758235510579,0.598504596926419,6,NA NA NA PIPO PSME,380182.084039857,74.6007060231015,33425.6416375234,high.sev,highsev,,2010,2009,0,1,1,1
5,ANT1201832,Antelope,2007,270,45,55,0.5,40,0,0,4,0,2012,3,7.51328260917217,ANT,Y,2007,5,6631.59352444941,6631.59352444941,8.60569309711131,411.754557302646,342.976517779508,8.72069226603051,612.990584095787,33.6,-0.530106947749444,-0.822852930613799,33.6,NA,NA,-0.530106947749444,-0.822852930613799,8.60569309711131,8.60569309711131,411.754557302646,342.976517779508,0.671714326428062,0.559513517300478,8.60569309711131,8.72069226603051,-0.383665981362749,0.518783196834293,787.29443056999,399.819559951434,-0.093675763708731,-0.114935394854859,0.62519545573761,-1.24299256075455,775.48947689628,389.304171693343,866.081120956042,286.098722303827,241.394329152571,180.584873330202,259.461617006331,0.791282732734849,0.612820452551817,133,NA NA NA PIJE PSME,375757.456190094,76.0504735988043,32610.8964756851,high.sev,highsev,,2010,,0,0,1,1
6,ANT1201842,Antelope,2007,169,31,11,0.5,50,0,0,5,0,2012,4,107.677174019049,ANT,Y,2007,5,5101.95689210175,5101.95689210175,8.37493002260763,410.418969646862,341.159751250454,8.50326007852615,616.56335607816,47.3,-0.527538283324245,-0.824168301450918,47.3,NA,NA,-0.527538283324245,-0.824168301450918,8.37493002260763,8.37493002260763,410.418969646862,341.159751250454,0.665655792873351,0.55332472792497,8.37493002260763,8.50326007852615,-0.374795764456465,0.550251599545368,787.131538179312,396.5619968902,-0.096515909206456,-0.102437090061745,0.631135945650957,-1.24276305259643,775.049597774054,387.280727073173,866.13765173785,283.961968884461,243.20261311289,184.967415165426,260.120792332394,0.757568670010131,0.590083998774026,9,NA NA NA PSME PIPO,380150.372058364,72.3054319630565,34212.9446729791,high.sev,highsev,,2009,,0,0,1,1
7,ANT1201850,Antelope,2007,95,12,95,0.5,5,0,0.5,5,0,2012,4,50.9839878341222,ANT,Y,2007,5,4580.21561781403,4580.21561781403,8.25904360521419,409.312678051329,339.688618222954,8.39075971319448,618.236959452269,36.5,-0.525404116117571,-0.825055979431517,36.5,NA,NA,-0.525404116117571,-0.825055979431517,8.25904360521419,8.25904360521419,409.312678051329,339.688618222954,0.662064394231562,0.54944728397329,8.25904360521419,8.39075971319448,-0.368932538912023,0.568041665686713,786.991785727227,393.869249365544,-0.101389998554873,-0.088508834610594,0.628387532622529,-1.22968502096925,774.367702985922,385.893803382311,865.232404313864,283.06351449987,244.624134076211,188.446091812973,260.633444617195,0.72999080920391,0.571356056383162,120,NA NA NA PIPO,382216.938032787,70.4048485645675,35511.9295195834,high.sev,highsev,,2009,,0,0,1,1
8,ANT1201856,Antelope,2007,132,11,25,0.5,25,0,0,5,0,2012,4,44.1172206286956,ANT,Y,2007,5,5649.67427093012,5649.67427093012,8.20633698671278,408.311328941761,338.486929393506,8.3371564289156,617.358676663246,72,-0.523800445664384,-0.825472268638406,72,NA,NA,-0.523800445664384,-0.825472268638406,8.20633698671278,8.20633698671278,408.311328941761,338.486929393506,0.661384288220647,0.548282452630276,8.20633698671278,8.3371564289156,-0.370299305951535,0.565481558440858,787.026590042752,391.613653377421,-0.103481343842857,-0.079398862140667,0.631006243336415,-1.22467451877338,774.191374741857,384.477568856494,865.292881227864,281.544306777597,245.60565680654,191.002446050069,260.959579351924,0.708997173725915,0.556803084660999,70,NA NA NA PIPO PSME,381131.735651394,69.5081773202087,36481.9343971095,high.sev,highsev,,2009,,0,0,1,1
9,BST1100110,Bassetts,2006,198,10,50,6,0,0,8,4,20,2011,NA,NA,BST,Y,2006,5,6502.8651603607,6502.8651603607,8.08406078795176,1389.78442034126,1174.39820285441,7.90432693462657,1813.14625524133,1.9,-0.613274989311987,-0.968414863821739,1.9,NA,NA,-0.613274989311987,-0.968414863821739,8.08406078795176,8.08406078795176,1389.78442034126,1174.39820285441,0.766504310572719,0.647712891036525,8.08406078795176,7.90432693462657,0.214271423961363,0.591455126437408,566.497905646561,592.695657511419,0.302522370245562,-0.302423259179867,1.01433020338274,-1.61491520145465,598.057253678725,567.32230592045,672.313551220497,457.204057734235,325.24815824947,372.057838021768,382.889305225764,0.095259119504425,-0.405471013689537,20,NA NA NA ABMA PIPO,3287499.34289566,62.4783842894631,138427.034833432,high.sev,highsev,,,2007,0,1,0,1
10,BST1100137,Bassetts,2006,254,32,30,60,5,0,5,5,0,2011,NA,NA,BST,Y,2006,5,6184.67245130149,6184.67245130149,8.14630530823239,1386.32219910759,1173.69228531009,7.97027813582486,1819.38344302129,19.9,-0.61311834146756,-0.964165442072557,19.9,NA,NA,-0.61311834146756,-0.964165442072557,8.14630530823239,8.14630530823239,1386.32219910759,1173.69228531009,0.761973625969381,0.645104411503846,8.14630530823239,7.97027813582486,0.209067483367788,0.585593477461231,567.223171510131,590.702833769353,0.301416088583895,-0.297343402914091,0.994104780930769,-1.58989986585597,598.778426541203,565.778482507772,671.296016583717,457.431934401917,330.401931792197,375.187930100941,385.135955772068,0.088672527154064,-0.394617208531353,40,NA NA NA CADE27 PIPO,3310156.11274,63.5253335624078,140765.982893429,high.sev,highsev,2009,2008,2007,1,1,1,1
