Regen_Plot,species,regen.count.old,regen.count.all,adult.count,adult.ba,tallest_ht_cm,regen.presab.old,regen.presab.all
AMR1300014,ABCO,1.33333333333333,6.6,0,0,22,TRUE,TRUE
AMR1300022,ABCO,0,0.6,0,0,19,FALSE,TRUE
AMR1300030,ABCO,0.666666666666667,0.4,3,666.58275,NA,TRUE,TRUE
AMR1300032,ABCO,0,0,2,184.85965,NA,FALSE,FALSE
AMR1300034,ABCO,11.6666666666667,9.6,0,0,110,TRUE,TRUE
AMR1300052,ABCO,4.66666666666667,2.8,0,0,85,TRUE,TRUE
AMR1300054,ABCO,0.333333333333333,0.2,0,0,45,TRUE,TRUE
AMR1300056,ABCO,0,9,1,870.47865,20,FALSE,TRUE
AMR1300069,ABCO,0,0,2,529.4354,NA,FALSE,FALSE
AMR1300091,ABCO,0.333333333333333,0.2,0,0,120,TRUE,TRUE
AMR1300096,ABCO,2.66666666666667,2.4,4,480.17665,130,TRUE,TRUE
AMR1300105,ABCO,0,0,0,0,NA,FALSE,FALSE
AMR1300106,ABCO,0.333333333333333,1.8,4,5773.1726,12,TRUE,TRUE
AMR1300118,ABCO,25.3333333333333,22.2,0,0,25,TRUE,TRUE
AMR1300123,ABCO,0.333333333333333,0.2,0,0,30,TRUE,TRUE
AMR1300124,ABCO,0.333333333333333,0.2,1,4356.94625,20,TRUE,TRUE
AMR1300134,ABCO,7.66666666666667,10.8,0,0,33,TRUE,TRUE
AMR1300135,ABCO,5,41,1,1986.12065,40,TRUE,TRUE
AMR1300136,ABCO,0,3.2,0,0,31,FALSE,TRUE
AMR1300142,ABCO,0,0,0,0,NA,FALSE,FALSE
AMR1300143,ABCO,0,3.2,1,2171.9066,12,FALSE,TRUE
AMR1300151,ABCO,3.66666666666667,5.2,0,0,NA,TRUE,TRUE
AMR1300152,ABCO,0,1,1,5805.86,20,FALSE,TRUE
AMR1300160,ABCO,1,0.8,0,0,138,TRUE,TRUE
AMR1300161,ABCO,0,0,0,0,NA,FALSE,FALSE
AMR1300168,ABCO,14,16.8,0,0,47,TRUE,TRUE
AMR1300170,ABCO,0,0.2,2,5836.0354,10,FALSE,TRUE
AMR1300171,ABCO,0,4.4,1,463.53465,12,FALSE,TRUE
AMR1300175,ABCO,0,0,0,0,NA,FALSE,FALSE
AMR1300176,ABCO,0,0,0,0,NA,FALSE,FALSE
AMR1300177,ABCO,0,0.6,0,0,30,FALSE,TRUE
AMR1300178,ABCO,0,0.4,1,2461.76,22,FALSE,TRUE
AMR1300192,ABCO,0,0,0,0,NA,FALSE,FALSE
AMR1300193,ABCO,0,0,0,0,NA,FALSE,FALSE
AMR1300194,ABCO,0,0,0,0,NA,FALSE,FALSE
AMR1300195,ABCO,0,0.6,0,0,25,FALSE,TRUE
AMR1300196,ABCO,0.333333333333333,0.2,0,0,36,TRUE,TRUE
AMR1300204,ABCO,0.333333333333333,1.4,0,0,19,TRUE,TRUE
AMR1300205,ABCO,0,0,0,0,NA,FALSE,FALSE
AMR1300209,ABCO,0,0,0,0,NA,FALSE,FALSE
AMR1300235,ABCO,0,0,0,0,NA,FALSE,FALSE
AMR1300236,ABCO,0,0,0,0,NA,FALSE,FALSE
AMR1300253,ABCO,1,1.2,0,0,60,TRUE,TRUE
AMR1300310,ABCO,0,59.4,0,0,19,FALSE,TRUE
AMR1300311,ABCO,2,1.6,0,0,15,TRUE,TRUE
AMR1300312,ABCO,3,4,0,0,55,TRUE,TRUE
AMR1300313,ABCO,0,0,0,0,10,FALSE,FALSE
AMR1300314,ABCO,0,0,0,0,NA,FALSE,FALSE
AMR1300315,ABCO,0,1.4,0,0,15,FALSE,TRUE
AMR1300352,ABCO,0.666666666666667,1.6,0,0,35,TRUE,TRUE
AMR1300377,ABCO,4.33333333333333,18.6,0,0,35,TRUE,TRUE
AMR1300387,ABCO,0,0,0,0,NA,FALSE,FALSE
AMR1300391,ABCO,0,0,0,0,NA,FALSE,FALSE
AMR1300392,ABCO,0,0,0,0,NA,FALSE,FALSE
AMR1300396,ABCO,0.333333333333333,0.2,1,63.585,NA,TRUE,TRUE
AMR1300398,ABCO,0,0,0,0,4,FALSE,FALSE
AMR1300404,ABCO,0,0,0,0,NA,FALSE,FALSE
AMR1300408,ABCO,0.333333333333333,0.4,0,0,25,TRUE,TRUE
AMR1300412,ABCO,0,0,0,0,NA,FALSE,FALSE
AMR1300414,ABCO,0.666666666666667,1.6,0,0,21,TRUE,TRUE
AMR1300423,ABCO,0,0,0,0,NA,FALSE,FALSE
AMR1300429,ABCO,0,0,0,0,NA,FALSE,FALSE
AMR1300430,ABCO,0,0.2,0,0,12,FALSE,TRUE
AMR1300431,ABCO,0,11.4,0,0,16,FALSE,TRUE
AMR1300432,ABCO,0,0,0,0,NA,FALSE,FALSE
AMR1300434,ABCO,0,0.2,0,0,8,FALSE,TRUE
AMR1300435,ABCO,0,0,0,0,NA,FALSE,FALSE
AMR1300438,ABCO,2.66666666666667,2.2,1,1632.2976,35,TRUE,TRUE
AMR1300440,ABCO,0,0.2,0,0,6,FALSE,TRUE
AMR1300441,ABCO,0,0,0,0,NA,FALSE,FALSE
AMR1300442,ABCO,0,0,0,0,NA,FALSE,FALSE
AMR1300443,ABCO,0.333333333333333,0.2,0,0,22,TRUE,TRUE
AMR1300444,ABCO,0.333333333333333,0.2,1,1478.5946,NA,TRUE,TRUE
AMR1300445,ABCO,0.333333333333333,0.4,0,0,80,TRUE,TRUE
AMR1300446,ABCO,0,0,0,0,NA,FALSE,FALSE
AMR1300447,ABCO,0,0.4,1,651.1104,7,FALSE,TRUE
AMR1300559,ABCO,1.66666666666667,1,6,1465.80695,125,TRUE,TRUE
AMR1300576,ABCO,2,1.2,1,75.3914,100,TRUE,TRUE
AMR1300590,ABCO,0,0,3,494.5029,110,FALSE,FALSE
AMR1300611,ABCO,0.666666666666667,0.4,0,0,45,TRUE,TRUE
AMR1300638,ABCO,1,0.8,3,604.9681,120,TRUE,TRUE
AMR1300643,ABCO,0.333333333333333,0.2,0,0,95,TRUE,TRUE
AMR1300668,ABCO,0,0,0,0,NA,FALSE,FALSE
AMR1300685,ABCO,0.333333333333333,0.2,1,393.8816,82,TRUE,TRUE
AMR1300686,ABCO,0,0,0,0,35,FALSE,FALSE
AMR1300689,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1200086,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1200087,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1200092,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1200094,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1200097,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1200098,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1200110,ABCO,0,0,0,0,NA,FALSE,FALSE
