"Regen_Plot","species","regen.count.old","regen.count.all","adult.count","adult.ba","tallest_ht_cm","regen.presab.old","regen.presab.all"
"AMR1300014","ABCO",1.33333333333333,6.6,0,0,22,TRUE,TRUE
"AMR1300030","ABCO",0.666666666666667,0.4,3,666.58275,NA,TRUE,TRUE
"AMR1300034","ABCO",11.6666666666667,9.6,0,0,110,TRUE,TRUE
"AMR1300052","ABCO",4.66666666666667,2.8,0,0,85,TRUE,TRUE
"AMR1300091","ABCO",0.333333333333333,0.2,0,0,120,TRUE,TRUE
"AMR1300096","ABCO",2.66666666666667,2.4,4,480.17665,130,TRUE,TRUE
"AMR1300105","ABCO",0,0,0,0,NA,FALSE,FALSE
"AMR1300124","ABCO",0.333333333333333,0.2,1,4356.94625,20,TRUE,TRUE
"AMR1300134","ABCO",7.66666666666667,10.8,0,0,33,TRUE,TRUE
"AMR1300135","ABCO",5,41,1,1986.12065,40,TRUE,TRUE
"AMR1300136","ABCO",0,3.2,0,0,31,FALSE,TRUE
"AMR1300142","ABCO",0,0,0,0,NA,FALSE,FALSE
"AMR1300161","ABCO",0,0,0,0,NA,FALSE,FALSE
"AMR1300168","ABCO",14,16.8,0,0,47,TRUE,TRUE
"AMR1300192","ABCO",0,0,0,0,NA,FALSE,FALSE
"AMR1300194","ABCO",0,0,0,0,NA,FALSE,FALSE
"AMR1300195","ABCO",0,0.6,0,0,25,FALSE,TRUE
"AMR1300196","ABCO",0.333333333333333,0.2,0,0,36,TRUE,TRUE
"AMR1300204","ABCO",0.333333333333333,1.4,0,0,19,TRUE,TRUE
"AMR1300235","ABCO",0,0,0,0,NA,FALSE,FALSE
"AMR1300236","ABCO",0,0,0,0,NA,FALSE,FALSE
"AMR1300253","ABCO",1,1.2,0,0,60,TRUE,TRUE
"AMR1300312","ABCO",3,4,0,0,55,TRUE,TRUE
"AMR1300392","ABCO",0,0,0,0,NA,FALSE,FALSE
"AMR1300408","ABCO",0.333333333333333,0.4,0,0,25,TRUE,TRUE
"AMR1300412","ABCO",0,0,0,0,NA,FALSE,FALSE
