"Regen_Plot","firesev","dist.to.low"
"STY0900039",4,31.5323978799451
"STY0900047",3,0
"STY0900040",4,35.2814393505629
"STY0900048",3,0
"STY0900051",3,0
"STY0900055",3,0
"STY0900056",3,14.1476434422657
"STY0900061",3,0
"STY0900059",4,45.3511001067135
"STY0900060",4,47.0033867054274
"STY0900064",3,8.11350425612181
"STY0900063",4,27.0421121717962
"STY0900046",4,27.2414917347233
"STY0900035",1,3.79432763464104
"STY0900045",4,19.8257235444617
"STY0900002",4,11.9519096501347
"STY0900007",3,18.9480515789782
"STY0900006",3,4.2531635570047
"STY0900009",4,39.6017999816686
"STY0900078",3,0
"STY0900077",2,0
"STY0900044",1,0
"STY0900076",4,13.1456308347784
"STY0900074",3,1.332809145385
"STY0900075",2,0.536806873530636
"STY0900071",4,81.7601389974759
"STY0900072",4,29.5751439931337
"STY0900065",4,49.2511868802831
"STY0900066",4,60.004470762331
"STY0900062",4,62.933912387775
"STY0900058",3,0
"STY0900057",4,75.6367985631168
"STY0900001",3,6.40977283399161
"STY0900005",4,75.3652931326748
"STY0900008",3,1.48135693537524
"STY0900011",4,32.2013881411591
"STY0900016",3,17.9479413086134
"STY0900020",3,0.751407836187366
"STY0900025",4,31.7292816908134
"STY0900029",4,48.9509828971684
"STY0900037",4,38.9251887836023
"STY0900041",2,0
"STY0900036",3,9.36471768157202
"STY0900033",3,1.75104002031645
"STY0900028",4,27.7964481981905
"STY0900024",4,34.408850458035
"STY0900023",4,24.9825728182462
"STY0900052",3,0
"STY0900053",3,1.87647871009815
"STY0900043",2,0
"STY0900042",4,21.1584129049443
"STY0900050",3,11.106225012527
"STY0900038",4,14.7529969676912
"STY0900031",3,0
"STY0900030",4,80.0967268625766
"STY0900019",4,101.870920128949
"STY0900014",4,18.02201555345
"STY0900013",2,5.4993407218717
"STY0900017",4,34.4197965326429
"STY0900012",4,35.6292618900257
"STY0900018",2,0
"STY0900021",4,49.5019242825799
"STY0900027",4,11.2403372242743
"STY0900026",3,5.54464441305026
"PWR0900215",2,0
"PWR0900214",3,0
"PWR0900207",2,0
"PWR0900206",4,32.5160378256868
"PWR0900180",4,39.5245670360677
"PWR0900194",2,0
"PWR0900182",4,18.0700711007976
"PWR0900183",4,39.185398245416
"PWR0900195",3,0
"PWR0900181",4,55.4485926825223
"PWR0900173",2,0
"PWR0900172",4,29.7660396596557
"PWR0900163",4,47.1284733248909
"PWR0900162",4,41.1727634235223
"PWR0900160",4,56.575455965448
"PWR0900159",3,0
"PWR0900151",4,38.1092826428578
"PWR0900150",2,0
"PWR0900149",4,53.6224132040003
"PWR0900148",3,3.54384343761412
"PWR0900146",4,95.5479555333297
"PWR0900145",4,103.442178793142
"PWR0900144",3,13.8795969749335
"PWR0900143",1,0
"PWR0900140",3,0
"PWR0900164",4,20.5508563390889
"PWR0900135",3,10.5632872744083
"PWR0900161",4,109.690225730316
"PWR0900134",4,110.255032942609
"PWR0900122",3,0
"PWR0900121",3,0
"PWR0900120",3,0
"PWR0900086",4,39.1931672506853
"PWR0900114",2,0
"PWR0900077",4,32.6195973632615
"PWR0900099",3,0
"PWR0900078",3,1.4373029373884
"PWR0900098",3,0
"PWR0900097",2,0
"PWR0900095",3,8.76108217387451
"PWR0900094",2,0
"PWR0900091",4,39.1493699346106
"PWR0900092",4,43.0342300615922
"PWR0900115",4,37.3710401758806
"PWR0900090",4,92.9735473295145
"PWR0900072",3,3.87116402696416
"PWR0900087",4,147.356811311101
"PWR0900100",4,77.4295678451384
"PWR0900079",2,10.0682319685708
"PWR0900070",3,13.2934874616446
"PWR0900068",3,12.1208394972359
"PWR0900069",2,0
"PWR0900067",4,33.629329187306
