"ID","Regen_Plot","Fire","Date","Observers","Year of Fire","Photos","Datum","Longitude","Latitude","aspect","slope","parent1","parent2","BARE","ROCK","VEG (BASAL '10)","LITT","CWD","SHRUB","FORBE","GRASS","HARDWOOD","CONIFER","DEAD_OCC","LIVE_OCC","CALVEG_OBS","FIRE_SEV","HIST1","HIST2","HIST3","DUFF_cm","LITT_cm","BA_total_count","BA_live_count","BA_dead_count","NOTES","HERBS","UNDERSTORY VEG","TREE_live only","BAF","BA Total1","BA Live1","BA Dead1","seed_tree_distance_conifer","seed_tree_distance_hardwood","seed_wall_distance","dominant_tree_1","dominant_tree_2","dominant_tree_3","fire_killed_trees_2-15","fire_killed_trees_15-30","fire_killed_trees_30-45","fire_killed_trees_45-60","fire_killed_trees_60+","dominant_shrub_1","dominant_shrub_2","new_or_revisit","burn_or_control","revisit_relocated_precisely","dominant_shrub_ht_cm","entered_by","entered_on","seed_tree_distance_general"
3150,"BAG1382",,9/1/2016 0:00:00,"JB CC",,"B0697",,122.007690000,41.085690000,,,"SHALE?",,,5.000000000,,,,55.000000000,0.500000000,5.000000000,0.000000000,0.000000000,,0.000000000,,3.000000000,,,,,,,0,,"MANZANITA? PIC B698-699",5.000000000,60.000000000,0.000000000,5,0,,0,"23",,"26","PSME","ABCO",,,,,,,"MANZANITA?",,"New","High sev","N",137,"CC",9/23/2016 0:00:00,
3151,"BAG1702",,8/30/2016 0:00:00,"JB CC",,"B0677",,121.976200000,41.064610000,,,"SHALE?",,,0.000000000,,,,7.000000000,3.000000000,0.000000000,0.000000000,92.000000000,,90.000000000,,0.000000000,,,,,,,9,,"COVER BY CC",3.000000000,10.000000000,92.000000000,20,0,,0,"1",,"1","PSME",,,,,,,,"SYMO?",,"New","Control",,10,"CC",9/23/2016 0:00:00,
3152,"BAG1318",,9/1/2016 0:00:00,"JB CC",,"B0696",,122.012370000,41.082030000,,,"SHALE?",,,0.000000000,,,,40.000000000,8.000000000,12.000000000,33.000000000,7.000000000,,5.000000000,,5.000000000,,,,,,,4,,"COVER BY CC",20.000000000,90.000000000,40.000000000,5,0,,0,"24","1","24","ABCO","PSME",,,,,,,"CEIN3",,"New","High sev",,158,"CC",9/23/2016 0:00:00,
3153,"BAG1301",,9/1/2016 0:00:00,"JB CC",,"B0692",,122.014720000,41.080180000,,,"SHALE?",,,0.000000000,,,,85.000000000,10.000000000,2.000000000,0.000000000,0.000000000,,0.000000000,,4.000000000,,,,,,,1,,"COSE? #693-695",12.000000000,90.000000000,0.000000000,5,0,,0,"28",,"28","PSME",,,,,,,,"CEIN3",,"New","High sev",,147,"CC",9/23/2016 0:00:00,
3154,"BAG1312",,9/1/2016 0:00:00,"JB CC",,"B0690",,122.014790000,41.083770000,,,"SHALE?",,,0.000000000,,,,95.000000000,10.000000000,3.000000000,4.000000000,0.000000000,,0.000000000,,5.000000000,,,,,,,0,,,13.000000000,100.000000000,4.000000000,5,0,,0,"60",,"183",,,,,,,,,"CEIN3",,"New","High sev",,155,"CC",9/23/2016 0:00:00,
3155,"BAG1260",,8/31/2016 0:00:00,"JB CC",,"B0688",,122.019220000,41.069300000,,,"SHALE?",,,0.500000000,,,,100.000000000,0.500000000,0.500000000,0.000000000,0.000000000,,0.000000000,,5.000000000,,,,,,,0,,,0.500000000,100.000000000,0.000000000,5,0,,0,"28",,"78","PSME",,,,,,,,"CEIN3",,"New","High sev",,180,"CC",9/23/2016 0:00:00,
3156,"BAG1308",,9/1/2016 0:00:00,"JB CC",,"B0691",,122.014730000,41.081990000,,,"SHALE?",,,0.500000000,,,,40.000000000,95.000000000,0.500000000,0.000000000,0.000000000,,0.000000000,,5.000000000,,,,,,,3,,,95.000000000,95.000000000,0.000000000,5,0,,0,"18","2","36","PSME",,,,,,,,"CEIN3",,"New","High sev",,184,"CC",9/23/2016 0:00:00,
3157,"BAG1357",,8/31/2016 0:00:00,"JB CC",,"B0680",,122.009490000,41.062280000,,,"SHALE?",,,10.000000000,,,,20.000000000,9.000000000,3.000000000,0.000000000,5.000000000,,5.000000000,,5.000000000,,,,,,,1,,"COVER BY CC",12.000000000,22.000000000,5.000000000,5,0,,0,"14","13","22",,,,,,,,,"CEIN3",,"New","High sev",,84,"CC",9/23/2016 0:00:00,
3158,"BAG1276",,8/31/2016 0:00:00,"JB CC",,"B0685",,122.019180000,41.067580000,,,"SHALE?",,,0.500000000,,,,95.000000000,1.000000000,0.500000000,0.000000000,0.000000000,,0.000000000,,4.000000000,,,,,,,0,,"TOOK 20 PACES APPROX WEST TO AVOID ROAD",1.500000000,95.000000000,0.000000000,5,0,,0,"28","64","28","PSME",,,,,,,,"CEIN3",,"New","High sev",,180,"CC",9/26/2016 0:00:00,
3159,"BAG1306",,8/31/2016 0:00:00,"JB CC",,"B0689",,122.014500000,41.072990000,,,"SHALE?",,,0.500000000,,,,85.000000000,0.500000000,0.500000000,0.000000000,0.000000000,,0.000000000,,4.000000000,,,,,,,0,,"STUMP NEAR PLOT CENTER",0.500000000,85.000000000,0.000000000,5,0,,0,"16","2","21","PIPO","PSME",,,,,,,"CEIN3",,"New","High sev",,195,"CC",9/26/2016 0:00:00,
3160,"BAG1360",,8/31/2016 0:00:00,"JB CC",,"B0684",,122.009350000,41.060400000,,,"SHALE?",,,0.500000000,,,,90.000000000,0.500000000,0.500000000,0.000000000,0.000000000,,0.000000000,,4.000000000,,,,,,,3,,"HARDWOOD ON PLOT BUT LESS THAN 4.5 CM @DBH",0.500000000,90.000000000,0.000000000,5,0,,0,"3","3","27","PSME",,,,,,,,"CEIN3",,"New","High sev",,156,"CC",9/26/2016 0:00:00,
