"ID","Regen_Plot","COUNT TOTAL","Species","5yr","6yr","7yr","8yr","9yr","10yr","11yr","12yr","._sprouts","DBH (cm)","talst_age","tallest_ht_cm","tallest_lastyr_cm"
2758,"BAG1318",,"CONU",,,,,,,,,6,".5",,215.000000000,
2759,"BAG1318",,"CONU",,,,,,,,,9,"1",,222.000000000,
2760,"BAG1318",,"CONU",,,,,,,,,6,"1",,214.000000000,
2761,"BAG1301",,"COSE?",,,,,,,,,2,"1",,211.000000000,
2762,"BAG1301",,"COSE?",,,,,,,,,1,"1",,195.000000000,
2763,"BAG1301",,"COSE?",,,,,,,,,1,"1",,223.000000000,
2764,"BAG1308",,"ACGI",,,,,,,,,7,"3.0",,2.500000000,
2765,"BAG1306",,"QUKE",,,,,,,,,8,,,216.000000000,
2766,"BAG1360",,"QUKE",,,,,,,,,7,,,67.000000000,
2767,"BAG1296",,"QUKE",,,,,,,,,6,,,100.000000000,
2768,"BAG1296",,"QUKE",,,,,,,,,9,,,135.000000000,
2769,"BAG1296",,"QUKE",,,,,,,,,11,,,167.000000000,
2770,"BAG1378",,,,,,,,,,,,,,,
2771,"BAG1570",,"QUCH2",,,,,,,,,11,,,77.000000000,
2772,"BAG1570",,"QUCH2",,,,,,,,,26,,,93.000000000,
2773,"BAG1570",,"QUCH2",,,,,,,,,10,,,71.000000000,
2774,"BAG1570",,"QUCH2",,,,,,,,,15,,,91.000000000,
2775,"BAG1570",,"QUCH2",,,,,,,,,5,,,74.000000000,
2776,"BAG1570",,"QUCH2",,,,,,,,,8,,,40.000000000,
2777,"BAG1535",,"ACMA",,,,,,,,,24,,,2.500000000,
2778,"BAG1535",,"QUCH2",,,,,,,,,22,,,188.000000000,
2779,"BAG1614",,"QUKE",,,,,,,,,3,,,47.000000000,
2780,"BAG1633",,"QUKE",,,,,,,,,3,,,4.100000000,
2781,"BAG1640",,"QUKE",,,,,,,,,13,,,350.000000000,
2782,"BAG1640",,"QUKE",,,,,,,,,17,,,105.000000000,
2783,"BAG1626",,"ACMA",,,,,,,,,10,,,385.000000000,
2784,"BAG1626",,"ACMA",,,,,,,,,10,,,244.000000000,
2785,"BAG1626",,"CONU",,,,,,,,,6,,,2.000000000,
2786,"BAG1626",,"ACMA",,,,,,,,,6,,,3.400000000,
2787,"BAG1626",,"ACMA",,,,,,,,,34,,,3.500000000,
2788,"BAG1072",,"QUCH2",,,,,,,,,31,,,256.000000000,
2789,"BAG1082",,"QUKE",,,,,,,,,7,,,137.000000000,
2790,"BAG1082",,"QUKE",,,,,,,,,12,,,240.000000000,
2791,"BAG1082",,"QUCH2",,,,,,,,,12,,,72.000000000,
2792,"BAG1082",,"QUKE",,,,,,,,,15,,,202.000000000,
2793,"BAG1085",,"CONU",,,,,,,,,22,,,262.000000000,
2794,"BAG1085",,"CONU",,,,,,,,,21,,,243.000000000,
2795,"BAG1085",,"QUKE",,,,,,,,,11,,,400.000000000,
2796,"BAG1163",,"QUKE",,,,,,,,,11,,,350.000000000,
2797,"BAG1163",,"QUKE",,,,,,,,,23,,,300.000000000,
