"OldPLOTID","Regen_Plot","DBH","ID","Species","comments"
,,12.000000000,2906,"ABCO","33d"
,"BAG1702",11.300000000,3122,"PSME",
,"BAG1702",6.200000000,3123,"CADE27",
,"BAG1702",4.000000000,3124,"CADE27",
,"BAG1702",15.000000000,3125,"PSME",
,"BAG1702",15.500000000,3126,"PSME",
,"BAG1702",9.600000000,3127,"PSME",
,"BAG1702",4.500000000,3128,"CADE27",
,"BAG1702",2.500000000,3129,"CADE27",
,"BAG1702",11.700000000,3130,"PSME",
,"BAG1702",13.900000000,3131,"PSME",
,"BAG1702",30.500000000,3132,"PSME",
,"BAG1702",3.000000000,3133,"CADE27",
,"BAG1360",77.800000000,3134,"PSME",
,"BAG1679",61.000000000,3135,"PIPO",
,"BAG1679",3.500000000,3136,"PSME",
,"BAG1679",65.000000000,3137,"PIPO",
,"BAG1679",79.500000000,3138,"PIPO",
,"BAG1679",5.200000000,3139,"PIPO",
,"BAG1548",3.500000000,3140,"CONU",
,"BAG1548",51.500000000,3141,"ABCO",
,"BAG1548",3.000000000,3142,"CONU",
,"BAG1548",3.000000000,3143,"CONU",
,"BAG1548",7.500000000,3144,"PSME",
,"BAG1548",2.500000000,3145,"CONU",
,"BAG1548",60.000000000,3146,"PSME",
,"BAG1548",5.000000000,3147,"CADE27",
,"BAG1548",3.500000000,3148,"CADE27",
,"BAG1548",2.500000000,3149,"PSME",
,"BAG1548",3.000000000,3150,"CADE27",
,"BAG1719",24.300000000,3151,"CADE27",
,"BAG1719",7.200000000,3152,"CADE27",
,"BAG1719",12.400000000,3153,"CADE27",
,"BAG1474",18.300000000,3154,"PIPO",
,"BAG1474",2.800000000,3155,"ABCO",
,"BAG1474",13.500000000,3156,"PIPO",
,"BAG1474",8.000000000,3157,"PIPO",
,"BAG1474",15.200000000,3158,"PIPO",
,"BAG1474",10.500000000,3159,"PIPO",
,"BAG1463",2.800000000,3160,"CONU",
,"BAG1463",59.100000000,3161,"PSME",
,"BAG1570",24.200000000,3162,"PSME",
,"BAG1570",35.000000000,3163,"PSME",
,"BAG1570",29.100000000,3164,"PSME",
,"BAG1570",29.800000000,3165,"PSME",
,"BAG1566",3.500000000,3166,"CONU",
,"BAG1566",64.500000000,3167,"PSME",
,"BAG1535",34.200000000,3168,"PSME",
,"BAG1677",3.500000000,3169,"CADE27",
,"BAG1677",51.900000000,3170,"PSME",
,"BAG1677",3.000000000,3171,"ACMA",
,"BAG1677",94.000000000,3172,"PSME",
,"BAG1669",72.400000000,3173,"ABCO",
,"BAG1669",3.500000000,3174,"CADE27",
,"BAG1669",7.000000000,3175,"CONU",
,"BAG1669",3.000000000,3176,"CONU",
,"BAG1669",68.600000000,3177,"ABCO",
,"BAG1669",6.700000000,3178,"CONU",
,"BAG1678",2.500000000,3179,"CONU",
,"BAG1678",2.500000000,3180,"CONU",
,"BAG1703",5.000000000,3181,"CADE27",
,"BAG1703",4.000000000,3182,"CONU",
,"BAG1703",3.000000000,3183,"CONU",
,"BAG1703",5.000000000,3184,"CONU",
,"BAG1703",4.000000000,3185,"CONU",
,"BAG1747",3.000000000,3186,"ABCO",
,"BAG1747",47.700000000,3187,"CADE27",
,"BAG1747",5.500000000,3188,"CONU",
,"BAG1747",12.000000000,3189,"ABCO",
,"PEA0207",18.000000000,3190,"ABCO",
,"PEA0210",35.000000000,3191,"PIJE",
,"PEA0216",35.500000000,3192,"PIJE",
,"PEA0211",3.000000000,3193,"JUOC",
,"PEA0211",9.000000000,3194,"JUOC",
,"PEA0211",19.300000000,3195,"JUOC",
,"PEA0211",71.300000000,3196,"PIJE",
,"PEA0211",29.100000000,3197,"ABCO",
,"PEA0201",5.000000000,3198,"PIJE",
,"PEA0201",5.900000000,3199,"PIJE",
,"PEA0201",3.500000000,3200,"PIJE",
,"PEA0186",33.200000000,3201,"PIJE",
