ID,Plot_ID,Sap_Species,Planted/Seeded,Sap_DBH,Sap_Age,TI_Species,TI_Height,TI_Age,TI_LYG
PWR,61627,PIJE,S,2,8,PIJE,300,8,60
PWR,61627,PIJE,S,6.5,8,,,,
PWR,61627,PIJE,S,7.5,8,,,,
,,,,,,,,,
PWR,13,NA,NA,NA,NA,NA,NA,NA,NA
PWR,9,PIPO,S,3.0,10,PIJE,200.0,9,10.0
PWR,9,PIPO,S,4.6,9,PIPO,210.0,10,20.0
PWR,9,PIPO,S,4.5,9,,,,
PWR,9,PIPO,S,4.5,10,,,,
PWR,9,PIPO,S,3.9,10,,,,
PWR,9,PIPO,S,3.7,1,,,,
PWR,9,PIPO,S,4.8,11,,,,
PWR,9,PIJE,S,3.0,9,,,,
PWR,9,PIJE,S,2.2,9,,,,
PWR,5,NA,NA,NA,NA,NA,NA,NA,NA
PWR,65,NA,NA,NA,NA,NA,NA,NA,NA
PWR,66,NA,NA,NA,NA,NA,NA,NA,NA
PWR,193,NA,NA,NA,NA,NA,NA,NA,NA
PWR,245,NA,NA,NA,NA,NA,NA,NA,NA
PWR,219,NA,NA,NA,NA,NA,NA,NA,NA
PWR,198,NA,NA,NA,NA,NA,NA,NA,NA
PWR,128,NA,NA,NA,NA,NA,NA,NA,NA
PWR,104,NA,NA,NA,NA,NA,NA,NA,NA
PWR,105,NA,NA,NA,NA,NA,NA,NA,NA
PWR,106,NA,NA,NA,NA,NA,NA,NA,NA
PWR,143,NA,NA,NA,NA,NA,NA,NA,NA
PWR,113,PIPO,S,6.8,11,PIPO,270.0,11,45.0
PWR,179,CADE,S,2.5,12,CADE,220.0,12,8.0
PWR,103,PIPO,S,7.5,12,PIPO,390.0,12,62.0
PWR,103,PIPO,S,4.0,10,,,,
PWR,103,PIPO,S,6.0,12,,,,
PWR,103,PIPO,S,5.0,10,,,,
PWR,103,PIPO,S,2.0,10,,,,
PWR,103,PIPO,S,2.5,10,,,,
PWR,716D,NA,NA,NA,NA,NA,NA,NA,NA
PWR,716C,NA,NA,NA,NA,NA,NA,NA,NA
PWR,187,NA,NA,NA,NA,NA,NA,NA,NA
PWR,35,NA,NA,NA,NA,NA,NA,NA,NA
PWR,54,PIPO,S,4.3,9,PIPO,290.0,11,6.0
PWR,54,PIPO,S,4,9,,,,
PWR,54,PIPO,S,3,8,,,,
PWR,54,PIPO,S,4.8,11,,,,
PWR,64,NA,NA,NA,NA,NA,NA,NA,NA
PWR,716A,NA,NA,NA,NA,NA,NA,NA,NA
PWR,298C,NA,NA,NA,NA,NA,NA,NA,NA
PWR,72D,PIPO,S,2.0,9,PIPO,260.0,10,35.0
PWR,72D,PIPO,S,2.0,9,,,,
PWR,72D,PIPO,S,4.3,10,,,,
PWR,158,NA,NA,NA,NA,NA,NA,NA,NA
PWR,159,PIPO,S,3.0,8,PILA,210.0,8,42.0
PWR,159,PIPO,S,2.8,8,PIPO,330.0,10,70.0
PWR,159,PIPO,S,3.1,8,,,,
PWR,159,PIPO,S,3.5,8,,,,
PWR,159,PIPO,S,2.0,8,,,,
PWR,159,PIPO,S,2.5,8,,,,
PWR,159,PILA,S,1.0,6,,,,
PWR,159,PIPO,S,1.3,6,,,,
PWR,159,PIPO,S,1.0,6,,,,
PWR,159,PIPO,S,1.2,6,,,,
PWR,159,PIPO,S,1.3,6,,,,
PWR,159,PIPO,S,1.5,6,,,,
PWR,159,PIPO,S,1.1,6,,,,
PWR,159,PIPO,S,1.3,6,,,,
PWR,159,PIPO,S,1.4,6,,,,
PWR,159,PIPO,S,1.0,6,,,,
PWR,159,PIPO,S,5.0,10,,,,
PWR,159,PIPO,S,5.1,10,,,,
PWR,159,PIPO,S,1.8,6,,,,
PWR,159,PIPO,S,1.5,6,,,,
PWR,159,PILA,S,2.0,8,,,,
PWR,159,PILA,S,2.2,8,,,,
PWR,159,PIPO,S,3.8,7,,,,
PWR,159,PIPO,S,2.5,7,,,,
PWR,159,PIPO,S,2.9,7,,,,
PWR,159,PIPO,S,4.8,9,,,,
PWR,159,PIPO,S,4.2,9,,,,
PWR,159,PIPO,S,5.1,9,,,,
PWR,159,PIPO,S,1.9,6,,,,
PWR,159,PIPO,S,1.9,6,,,,
PWR,159,PIPO,S,1.9,6,,,,
PWR,159,PIPO,S,1.7,6,,,,
PWR,159,PIPO,S,1.6,6,,,,
PWR,159,PIPO,S,1.8,6,,,,
PWR,159,PIPO,S,1.3,6,,,,
PWR,159,PIPO,S,0.6,4,,,,
PWR,159,PIPO,S,0.6,4,,,,
PWR,159,PIPO,S,0.4,4,,,,
PWR,159,PIPO,S,1.7,6,,,,
PWR,159,PIPO,S,1.5,6,,,,
