"OldPLOTID","Regen_Plot","DBH","ID","Species","comments"
NA,"SHR0900001",10.2,207,"PIJE",""
NA,"STY0900075",9.5,209,"JUOC",""
NA,"STY0900075",5.9,210,"JUOC",""
NA,"STY0900075",7.2,211,"JUOC",""
NA,"STY0900075",5.6,212,"JUOC",""
NA,"STY0900075",15.6,213,"JUOC",""
NA,"STY0900043",NA,214,"JUOC","70 cm tall, 15 yr old"
NA,"STY0900018",2.5,215,"JUOC",""
NA,"PWR0900214",17.7,216,"QUKE",""
NA,"PWR0900207",5.6,217,"CADE27",""
NA,"PWR0900159",31.8,218,"CADE27",""
NA,"PWR0900140",11.6,219,"PIPO",""
NA,"PWR0900120",12,220,"QUCH2",""
NA,"PWR0900120",11.2,221,"QUCH2",""
NA,"PWR0900095",18.1,222,"PIPO",""
NA,"PWR0900079",39.1,223,"PIPO",""
NA,"PWR0900042",35.25,224,"ABCO",""
NA,"PWR0900026",11,225,"CADE27",""
NA,"PWR0900026",27,226,"CADE27",""
NA,"PWR0900026",6.9,227,"ABCO",""
NA,"PWR0900026",20.3,228,"ABCO",""
NA,"PWR0900026",16.25,229,"ABCO",""
NA,"PWR0900026",6.6,230,"ABCO",""
NA,"PWR0900127",9.2,231,"QUCH2",""
NA,"PWR0900152",3.3,232,"QUCH2",""
NA,"PWR0900101",17,233,"PIPO",""
NA,"PWR0900260",9.6,234,"PIPO",""
NA,"PWR0900028",32.65,235,"PIPO",""
NA,"PWR0900028",32.9,236,"PIPO",""
NA,"PWR0900029",NA,237,"QUCH2","2.2 m tall, 13 yrs old"
NA,"PWR0900029",3.65,238,"PIPO",""
NA,"PWR0900029",12.6,239,"CADE27",""
NA,"PWR0900024",8,240,"PIPO",""
NA,"PWR0900024",9.9,241,"PIPO",""
NA,"PWR0900024",17.4,242,"CADE27",""
NA,"STY0900041",13.8,243,"PIPO",""
NA,"STY0900041",3.1,244,"JUOC",""
NA,"PWR0900277",3.3,246,"QUCH2",""
NA,"PWR0900277",4.8,247,"QUCH2",""
NA,"PWR0900244",9.7,248,"QUCH2",""
NA,"PWR0900225",44.3,249,"PIPO",""
NA,"PWR0900190",14.9,250,"QUKE",""
NA,"PWR0900190",11.6,251,"CADE27",""
NA,"PWR0900190",13.45,252,"QUKE",""
NA,"PWR0900191",10.4,253,"QUCH2",""
NA,"PWR0900191",9.9,254,"QUCH2",""
NA,"PWR0900191",4.1,255,"QUCH2",""
NA,"PWR0900272",31.3,256,"PIPO",""
NA,"PWR0900261",45.3,257,"PILA",""
NA,"PWR0900283",54.5,258,"QUKE",""
NA,"PWR0900139",3.4,259,"QUCH2",""
NA,"FRD0900035",17.3,260,"PIPO",""
NA,"FRD0900122",16.4,262,"CADE27",""
NA,"FRD0900122",10.5,263,"PIPO",""
NA,"FRD0900071",10.1,264,"QUCH2",""
NA,"FRD0900093",19.55,265,"QUKE",""
NA,"FRD0900068",43.75,266,"PSME",""
NA,"FRD0900045",18.5,267,"PIPO",""
NA,"FRD0900045",14.4,268,"QUCH2",""
NA,"FRD0900045",17.6,269,"QUCH2",""
NA,"FRD0900045",18.1,270,"QUCH2",""
NA,"FRD0900045",41.2,271,"QUCH2","3 trunks together"
NA,"FRD0900135",18.9,272,"QUKE",""
NA,"FRD0900062",8.2,273,"CADE27",""
NA,"FRD0900062",6.7,274,"QUCH2",""
NA,"FRD0900128",22.1,275,"PIPO",""
NA,"FRD0900128",22.2,276,"PIPO",""
NA,"FRD0900060",26.7,277,"PIJE",""
NA,"FRD0900060",21.7,278,"CADE27",""
NA,"FRD0900029",14.2,279,"PIJE",""
NA,"FRD0900029",15,280,"ABCO",""
NA,"FRD0900029",19.6,281,"PIJE",""
NA,"FRD0900029",24.6,282,"PIJE",""
NA,"FRD0900057",29.7,283,"CADE27",""
NA,"FRD0900057",48.45,284,"PIPO",""
NA,"FRD0900085",12.2,285,"QUCH2",""
NA,"FRD0900110",24.75,287,"CADE27",""
NA,"FRD0900131",19.7,288,"ABCO",""
NA,"FRD0900130",6.3,289,"QUCH2",""
NA,"FRD0900130",11.1,290,"QUCH2",""
NA,"FRD0900130",7.3,291,"QUCH2",""
NA,"FRD0900130",7.8,292,"QUKE",""
NA,"FRD0900130",5.6,293,"QUKE",""
NA,"DEP0900007",7.55,294,"QUKE",""
NA,"DEP0900002",8.9,295,"QUCH2",""
NA,"DEP0900004",10.3,296,"QUKE",""
NA,"DEP0900004",17.1,297,"QUKE",""
NA,"DEP0900004",5.6,298,"QUKE",""
NA,"SHR0900016",34.6,299,"PIJE",""
NA,"PNT1000068",32.9,300,"QUKE",""
NA,"PNT1000077",78,301,"PIPO",""
NA,"PNT1000126",21.2,302,"CADE27",""
NA,"PNT1000126",27.6,303,"CADE27",""
NA,"PNT1000126",44.25,304,"CADE27",""
NA,"PNT1000126",25.1,305,"PIPO",""
NA,"PNT1000001",23.7,306,"PSME",""
NA,"PNT1000003",55.5,307,"CADE27",""
NA,"PNT1000003",18.8,308,"PSME",""
NA,"PNT1000003",29,309,"LIDE3",""
NA,"PNT1000078",55,312,"PIPO",""
NA,"PNT1000122",80,313,"PSME",""
NA,"PNT1000021",26.7,314,"CADE27",""
NA,"PNT1000021",40.1,315,"ABCO",""
NA,"PNT1000021",22.9,316,"LIDE3",""
NA,"PNT1000021",14.1,317,"PSME",""
NA,"PNT1000027",23.5,318,"QUCH2",""
NA,"PNT1000027",19.8,319,"PIPO",""
NA,"PNT1000027",21.5,320,"QUCH2",""
NA,"PNT1000006",25.8,321,"PSME",""
NA,"PNT1000033",79,322,"PIPO",""
NA,"PNT1000086",67,323,"PSME",""
NA,"PNP1000027",23.7,324,"PSME",""
NA,"PNP1000027",77,325,"PSME",""
NA,"PNP1000033",53.1,326,"QUKE",""
NA,"SPA1000042",42,327,"PSME",""
NA,"SPA1000042",26.2,328,"QUCH2",""
NA,"SPA1000042",27,329,"QUCH2",""
NA,"SPA1000042",7.6,330,"QUCH2",""
NA,"SPA1000042",10,331,"QUCH2",""
NA,"SPA1000037",39.6,332,"PSME",""
