"ID","Regen_Plot","OldPLOTID","Count_total","X0yr","Ct_1yr","Ct_2yr","Ct_3yr","Ct_4yr","Ct_5yr","X6yr","X7yr","X8yr","X9yr","X10yr","X11.yr","Type","Species","num_dead","seed_veg_plant","tallest_age","tallest_ht_cm","tallest_lastyr_cm","Remarks","number_sprouts","X11yr","X12yr","X13yr","X14yr","X15yr","X16yr","X17yr","X18yr","X19yr","X20.yr","unk_yr","quadrants","x21yr","x22yr","x23yr","x24yr","x25yr","x26yr"
68,"SHR0900004",NA,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","PINUS",0,"S",0,NA,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,"SHR0900004",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","PICO",0,"S",4,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,"SHR0900009",NA,67,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","PINUS",0,"S",0,5,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,"SHR0900009",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","ABCO",0,"S",6,25,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,"SHR0900009",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","PICO",0,"S",5,67,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,"SHR0900009",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","ABMA",0,"S",6,33,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,"SHR0900009",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","PIJE",0,"S",2,6,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,"SHR0900004",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","ABCO",0,"S",5,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,"SHR0900004",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","PIMO3",0,"S",4,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,"SHR0900007",NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"C","ABCO",0,"S",5,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,"SHR0900001",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","PIJE",0,"S",4,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,"SHR0900001",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","ABCO",1,"S",4,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,"SHR0900011",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","ABCO",0,"S",3,8,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,"SHR0900011",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","PIJE",1,"S",1,6.8,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,"SHR0900011",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","PINUS",0,"S",0,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,"SHR0900008",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","PINUS",0,"S",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,"SHR0900008",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","ABCO",0,"S",5,25,5,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,"SHR0900003",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","PINUS",0,"S",0,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,"SHR0900006",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","ABCO",1,"S",5,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
