"ID","Regen_Plot","COUNT.TOTAL","Species","X5yr","X6yr","X7yr","X8yr","X9yr","X10yr","X11yr","X12yr","._sprouts","DBH..cm.","talst_age","tallest_ht_cm","tallest_lastyr_cm"
3,"PNP1110069",1,"CONU4",NA,NA,NA,NA,NA,NA,NA,1,10,"3",12,400,45
4,"PNP1110210",1,"QUCH2",NA,NA,NA,NA,NA,NA,NA,1,4,"0.5",12,350,29
5,"PNP1110127",1,"CONU4",NA,NA,NA,NA,NA,NA,NA,1,9,"1.7",12,260,38
15,"PNP1110210",1,"QUKE",NA,NA,NA,NA,NA,NA,NA,1,5,"4",12,460,31
16,"PNP1110127",1,"CONU4",NA,NA,NA,NA,NA,NA,NA,1,4,"0.6",12,170,27
17,"PNP1110189",1,"CONU4",NA,NA,NA,NA,NA,NA,NA,1,4,"1.5",12,340,44
18,"PNP1110189",1,"CONU4",NA,NA,NA,NA,NA,NA,NA,1,3,"2",12,400,36
19,"PNP1110189",1,"ACMA",NA,NA,NA,NA,NA,NA,NA,1,5,"7.5",12,700,60
20,"PNP1110189",1,"CONU4",NA,NA,NA,NA,NA,NA,NA,1,4,"3",12,400,41
21,"PNP1110189",1,"CONU4",NA,NA,NA,NA,NA,NA,NA,1,5,"2.2",12,400,40
22,"PNP1110189",1,"CONU4",NA,NA,NA,NA,NA,NA,NA,1,4,"2",12,310,36
24,"PNP1110011",1,"CONU4",NA,NA,NA,NA,NA,1,NA,NA,5,"1.1",10,220,32
25,"PNP1110011",1,"CONU4",NA,NA,NA,NA,1,NA,NA,NA,5,"0.8",9,180,30
26,"PNP1110011",1,"CONU4",NA,NA,NA,NA,1,NA,NA,NA,4,"0.5",9,180,22
27,"PNP1110011",1,"CONU4",NA,NA,NA,NA,1,NA,NA,NA,3,"1",9,160,26
28,"PNP1110011",1,"LIDE3",NA,1,NA,NA,NA,NA,NA,NA,4,"0.4",6,140,25
29,"PNP1110011",1,"LIDE3",NA,NA,NA,1,NA,NA,NA,NA,11,"0.8",8,180,26
30,"PNP1110011",1,"LIDE3",NA,NA,NA,1,NA,NA,NA,NA,4,NA,8,135,11
31,"PNP1110011",1,"LIDE3",NA,NA,NA,1,NA,NA,NA,NA,4,"0.7",8,150,23
32,"PNP1110002",1,"LIDE3",NA,1,NA,NA,NA,NA,NA,NA,3,NA,6,80,10
33,"PNP1110002",1,"LIDE3",1,NA,NA,NA,NA,NA,NA,1,7,"1",12,200,20
34,"PNP1110002",1,"LIDE3",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,15,8
35,"PNP1110111",3,"LIDE3",2,NA,NA,NA,1,NA,NA,NA,9,"1",9,155,24
36,"PNP1110111",1,"ARME",NA,1,NA,NA,NA,NA,NA,NA,7,"1.5",6,225,30
37,"PNP1110111",1,"LIDE3",NA,NA,1,NA,NA,NA,NA,NA,8,NA,7,95,22
38,"PNP1110111",1,"LIDE3",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,4,50,20
39,"PNP1110111",1,"LIDE3",NA,1,NA,NA,NA,NA,NA,NA,6,NA,6,85,19
40,"PNP1110111",1,"LIDE3",NA,1,NA,NA,NA,NA,NA,NA,4,NA,6,70,22
41,"PNP1110107",1,"LIDE3",NA,NA,NA,NA,NA,NA,NA,1,8,"2",12,250,18
42,"PNP1110107",1,"LIDE3",NA,NA,NA,NA,NA,NA,NA,1,7,"1.5",12,225,20
43,"PNP1110107",1,"CONU4",NA,NA,NA,NA,NA,NA,NA,1,12,"2",12,300,19
44,"PNP1110107",1,"LIDE3",NA,NA,NA,NA,NA,NA,NA,1,10,"2.5",12,280,23
45,"PNP1110107",2,"LIDE3",1,NA,NA,NA,NA,NA,NA,1,5,"3",12,300,12
46,"PNP1110107",1,"LIDE3",NA,NA,NA,NA,NA,NA,NA,1,7,"3",12,350,28
47,"PNP1110107",1,"CONU4",NA,NA,NA,NA,NA,NA,NA,1,11,"5.5",12,400,22
48,"PNP1110109",1,"LIDE3",NA,NA,NA,NA,1,NA,NA,NA,12,"1.8",9,150,17
49,"PNP1110109",1,"LIDE3",NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,70,20
50,"PNP1110109",1,"LIDE3",NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,60,11
51,"PNP1110109",1,"LIDE3",NA,1,NA,NA,NA,NA,NA,NA,6,NA,6,100,17
53,"PNP1110109",1,"LIDE3",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,40,16
54,"PNP1110109",1,"LIDE3",NA,1,NA,NA,NA,NA,NA,NA,6,NA,6,120,15
