"ID","Regen_Plot","DBH..cm.","type","Species","X3.yr","X4yr","X5yr","X6yr","X7yr","X8yr","X9yr","X10yr","X11.yr","seed_veg_plant","tallest_ht_cm","tallest_age","tallest_lastyr_cm","number_sprouts","age","possibly_survived_fire"
10,"PNT1000071","1.4","h","QUKE",NA,NA,NA,NA,1,NA,NA,NA,NA,"S",250,7,NA,0,NA,NA
14,"PNT1000068","1.8","c","PIPO",NA,NA,NA,1,NA,NA,NA,NA,NA,"S",180,6,NA,0,NA,NA
32,"PNT1000058","1.2","c","PSME",NA,NA,NA,NA,1,NA,NA,NA,NA,"S",200,7,NA,0,NA,NA
34,"PNT1000058",".3","c","PSME",NA,NA,NA,1,NA,NA,NA,NA,NA,"S",140,6,NA,0,NA,NA
40,"PNT1000077","2.1","h","QUKE",NA,NA,NA,NA,NA,1,NA,NA,NA,"S",280,8,NA,4,NA,NA
42,"PNT1000077","4.3","c","PIPO",NA,NA,NA,NA,1,NA,NA,NA,NA,"S",260,7,NA,0,NA,NA
44,"PNT1000077","2.1","h","QUKE",NA,NA,NA,NA,NA,1,NA,NA,NA,"S",350,8,NA,5,NA,NA
49,"PNT1000034","2.1","c","PILA",NA,NA,NA,NA,NA,1,NA,NA,NA,"S",200,8,NA,0,NA,NA
54,"PNT1000034","1.9","c","PSME",NA,NA,NA,NA,1,NA,NA,NA,NA,"S",220,7,NA,0,NA,NA
56,"PNT1000034","1.7","h","CONU4",NA,1,NA,NA,NA,NA,NA,NA,NA,"S",170,4,NA,0,NA,NA
61,"PNT1000034","4","h","CONU4",NA,NA,NA,1,NA,NA,NA,NA,NA,"S",430,6,NA,0,NA,NA
65,"PNT1000127","1","h","CONU4",NA,NA,NA,1,NA,NA,NA,NA,NA,"S",200,6,NA,0,NA,NA
66,"PNT1000097","3.5","c","PIPO",NA,NA,NA,NA,NA,NA,NA,NA,NA,"P",230,NA,NA,0,NA,NA
69,"PNT1000114","7.2","c","PIPO",NA,NA,NA,NA,NA,NA,NA,NA,NA,"P",300,NA,NA,0,NA,NA
71,"PNT1000067","2.5","c","PSME",NA,NA,NA,NA,NA,NA,NA,NA,NA,"S",230,NA,NA,NA,NA,NA
72,"PNT1000067","2.5","h","QUKE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"S",240,NA,NA,NA,NA,NA
75,"PNT1000055","6.2","c","PIPO",NA,NA,NA,NA,NA,NA,NA,1,NA,"P",420,10,NA,0,NA,NA
77,"PNT1000055","1","h","ARME",NA,NA,NA,NA,1,NA,NA,NA,NA,"S",200,7,NA,2,NA,NA
79,"PNT1000038","1","c","CADE27",NA,NA,NA,NA,NA,NA,NA,NA,NA,"S",220,NA,NA,NA,NA,NA
80,"PNT1000038","14.1","c","PIPO",NA,NA,NA,NA,NA,NA,NA,NA,NA,"P",517,NA,NA,NA,NA,NA
81,"PNT1000038","14.4","c","PIPO",NA,NA,NA,NA,NA,NA,NA,NA,NA,"P",546,NA,NA,NA,NA,NA
