"ID","Regen_Plot","Fire","Date","Observers","Year of Fire","Photos","Datum","Longitude","Latitude","aspect","slope","parent1","parent2","BARE","ROCK","VEG (BASAL '10)","LITT","CWD","SHRUB","FORBE","GRASS","HARDWOOD","CONIFER","DEAD_OCC","LIVE_OCC","CALVEG_OBS","FIRE_SEV","HIST1","HIST2","HIST3","DUFF_cm","LITT_cm","BA_total_count","BA_live_count","BA_dead_count","NOTES","HERBS","UNDERSTORY VEG","TREE_live only","BAF","BA Total1","BA Live1","BA Dead1","seed_tree_distance_conifer","seed_tree_distance_hardwood","seed_wall_distance","dominant_tree_1","dominant_tree_2","dominant_tree_3","fire_killed_trees_2-15","fire_killed_trees_15-30","fire_killed_trees_30-45","fire_killed_trees_45-60","fire_killed_trees_60+","dominant_shrub_1","dominant_shrub_2","new_or_revisit","burn_or_control","revisit_relocated_precisely","dominant_shrub_ht_cm","entered_by","entered_on","seed_tree_distance_general"
3058,"CHI1876",,6/29/2016 0:00:00,"DS, DY",,"A0328",,121.128260000,40.073520000,,,"GRANITE? C",,,5.000000000,,,,20.000000000,20.000000000,0.500000000,0.000000000,7.000000000,,7.000000000,,1.000000000,,,,,,,8,,,20.000000000,40.000000000,7.000000000,20,0,,0,,,11,"PIPO","ABCO","PILA",,,,,,"CECO",,"New","High sev",,30,"DY",7/12/2016 0:00:00,4
3059,"CUB0348",,6/22/2016 0:00:00,"ALL",,"B0422",,121.438350000,40.218010000,,,"VOLCANIC",,,40.000000000,,,,0.000000000,0.500000000,0.000000000,0.000000000,99.000000000,,99.000000000,,1.000000000,,,,,,,18,,,0.500000000,0.000000000,99.000000000,20,0,,0,,,,"ABCO","PILA","ABMA",,,,,,,,"New","Control",,,"DS",7/12/2016 0:00:00,
3060,"CUB0294",,6/23/2016 0:00:00,"ALL",,"B0444",,,,,,"VOLCANIC",,,2.000000000,,,,0.500000000,0.500000000,0.500000000,0.000000000,70.000000000,,70.000000000,,0.000000000,,,,,,,13,,,0.500000000,0.500000000,70.000000000,20,0,,0,,,,"ABCO",,,,,,,,"SYMO",,"New","Control",,14,"DS",7/12/2016 0:00:00,
3061,"CUB0300",,6/23/2016 0:00:00,"DS, DY",,"B0442",,121.444660000,40.202620000,,,"VOLCANIC",,,70.000000000,,,,15.000000000,2.000000000,3.000000000,0.000000000,0.000000000,,0.000000000,,5.000000000,,,,,,,0,,,5.000000000,15.000000000,0.000000000,20,0,,0,34,,35,"PIJE","ABCO","PILA",,,,,,"CEIN3",,"Revisit","High sev","N",75,"DS",7/12/2016 0:00:00,
3062,"CUB0385",,6/23/2016 0:00:00,"DS, DY",,"B0438",,121.435800000,40.207220000,,,"VOLCANIC",,,5.000000000,,,,15.000000000,0.500000000,3.000000000,0.000000000,15.000000000,,15.000000000,,0.000000000,,,,,,,5,,,3.000000000,20.000000000,15.000000000,20,0,,0,,,,"ABCO","PILA",,,,,,,"RIRO",,"New","Control",,54,"DS",7/12/2016 0:00:00,
3063,"CUB0373",,6/23/2016 0:00:00,"DY, DS",,"B0439",,121.435770000,40.205430000,,,"VOLCANIC",,,0.500000000,,,,0.500000000,15.000000000,0.500000000,0.000000000,15.000000000,,15.000000000,,0.000000000,,,,,,,1,,"Old cut stump in plot",15.000000000,2.000000000,15.000000000,10,0,,0,,,,"ABCO","PILA",,,,,,,"AMUT",,"New","Control",,17,"DS",7/12/2016 0:00:00,
3064,"CUB0381",,6/23/2016 0:00:00,"DS, DY",,"B0440",,121.435770000,40.203630000,,,"VOLCANIC",,,5.000000000,,,,3.000000000,1.000000000,1.000000000,0.000000000,18.000000000,,15.000000000,,0.000000000,,,,,,,8,,,2.000000000,10.000000000,18.000000000,20,0,,0,,,,,,,,,,,,"ARPA6",,"New","Control",,95,"DS",7/12/2016 0:00:00,
3065,"CUB0436",,6/23/2016 0:00:00,"DY, DS",,"B0443",,121.431850000,40.248760000,,,"VOLCANIC",,,2.000000000,,,,1.000000000,0.500000000,2.000000000,0.000000000,40.000000000,,40.000000000,,0.000000000,,,,,,,11,,"Manual plot 20m N to avoid skid path (?)",2.000000000,10.000000000,40.000000000,20,0,,0,,,,"ABCO","PSME","PILA",,,,,,"SYMO",,"New","Control",,14,"DS",7/12/2016 0:00:00,
3066,"CUB0265",,6/22/2016 0:00:00,"JB, DS",,"A0306",,121.451970000,40.218750000,,,"VOLCANIC",,,10.000000000,,,,90.000000000,0.500000000,0.500000000,0.000000000,0.000000000,,0.000000000,,5.000000000,,,,,,,0,,,0.500000000,96.000000000,0.000000000,20,0,,0,25,,,"ABCO",,,,,,,,"CEIN3",,"Revisit","High sev","N",88,"DS",7/12/2016 0:00:00,
3067,"CUB0260",,6/22/2016 0:00:00,"JB, DS",,"A0305",,121.452050000,40.220550000,,,"VOLCANIC",,,7.000000000,,,,85.000000000,0.500000000,0.500000000,0.000000000,0.000000000,,0.000000000,,5.000000000,,,,,,,0,,,0.500000000,85.000000000,0.000000000,5,0,,0,130,,,"PILA",,,,,,,,"CEIN3",,"Revisit","High sev","Y",160,"DS",7/12/2016 0:00:00,
