"OldPLOTID","Regen_Plot","DBH","ID","Species","comments"
,"CHI1876",37.300000000,2911,"PIPO",
,"CUB0348",38.700000000,2913,"ABCO",
,"CUB0348",28.500000000,2914,"ABCO",
,"CUB0348",35.400000000,2915,"ABCO",
,"CUB0348",29.500000000,2916,"ABCO",
,"CUB0348",43.200000000,2917,"ABCO",
,"CUB0348",54.000000000,2918,"CADE27",
,"CUB0348",21.400000000,2919,"ABCO",
,"CUB0348",51.500000000,2920,"PILA",
,"CUB0348",25.700000000,2921,"ABCO",
,"CUB0348",44.700000000,2922,"ABCO",
,"CUB0385",4.900000000,2923,"ABCO",
,"CUB0385",5.400000000,2924,"CADE27",
,"CUB0385",12.500000000,2925,"CADE27",
,"CUB0373",3.000000000,2926,"ABCO",
,"CUB0373",12.000000000,2927,"ABCO",
,"CUB0373",8.200000000,2928,"ABCO",
,"CUB0373",4.400000000,2929,"ABCO",
,"CUB0373",7.500000000,2930,"ABCO",
,"CUB0373",5.000000000,2931,"ABCO",
,"CUB0381",12.000000000,2932,"CADE27",
,"CUB0381",68.800000000,2933,"ABMA",
,"CUB0381",6.400000000,2934,"ABCO",
,"CUB0381",28.300000000,2935,"ABCO",
,"CUB0436",16.000000000,2936,"PSME",
,"CUB0436",11.500000000,2937,"ABCO",
,"CUB0436",5.500000000,2938,"ABCO",
,"CUB0436",20.200000000,2939,"ABCO",
,"CUB0436",11.200000000,2940,"ABCO",
,"CUB0436",22.000000000,2941,"ABCO",
,"CUB0436",11.800000000,2942,"ABCO",
,"CUB0436",34.500000000,2943,"ABCO",
,"CUB0265",,2944,,
,"CUB0302",52.800000000,2946,"ABCO",
,"CUB0302",50.800000000,2947,"ABCO",
,"CUB0293",58.000000000,2948,"ABCO",
,"CUB0293",51.000000000,2949,"ABCO",
,"CUB0293",37.500000000,2950,"ABCO",
,"CUB0293",42.800000000,2951,"ABCO",
,"CUB0396",4.500000000,2952,"ABCO",
,"CUB0396",4.900000000,2953,"ABCO",
,"CUB0396",3.500000000,2954,"ABCO",
,"CUB0396",2.700000000,2955,"ABCO",
,"CUB0396",105.300000000,2957,"PSME",
,"CUB0399",25.300000000,2958,"ABCO",
,"CUB0399",11.400000000,2959,"ABCO",
,"CUB0399",4.300000000,2960,"ABCO",
,"CUB0399",4.900000000,2961,"ABCO",
,"CUB0435",4.700000000,2963,"ABCO",
,"CUB0435",2.700000000,2964,"CADE27",
,"CUB0435",6.700000000,2965,"ABCO",
,"CUB0435",6.200000000,2966,"ABCO",
,"CUB0435",10.400000000,2967,"ABCO",
,"CUB0435",7.400000000,2968,"ABCO",
,"CUB0423",24.500000000,2969,"CADE27",
,"CUB0423",8.100000000,2970,"ABCO",
,"CUB0423",16.200000000,2971,"CADE27",
,"CUB0423",9.000000000,2972,"CADE27",
,"CUB0423",23.700000000,2973,"CADE27",
,"CUB0423",3.900000000,2974,"CADE27",
,"CUB0414",32.800000000,2975,"PMSE",
,"CUB0414",10.200000000,2976,"ABCO",
,"CUB0414",13.300000000,2977,"ABCO",
,"CUB0414",8.600000000,2978,"ABCO",
,"CUB0414",22.600000000,2979,"ABCO",
,"CUB0414",43.900000000,2980,"ABCO",
,"CUB0414",31.800000000,2981,"ABCO",
,"CUB0414",15.900000000,2982,"ABCO",
,"CUB0414",11.800000000,2983,"ABCO",
,"CUB0417",12.800000000,2984,"ABCO",
,"CUB0417",22.700000000,2985,"ABMA",
,"CUB0417",17.900000000,2986,"ABCO",
,"CUB0417",15.400000000,2987,"ABMA",
,"CUB0417",8.200000000,2988,"ABMA",
,"CUB0417",72.500000000,2989,"CADE27",
,"CUB0409",4.800000000,2990,"CADE27",
,"CUB0409",17.800000000,2991,"CADE27",
,"CUB0409",24.500000000,2992,"CADE27",
,"CUB0409",11.500000000,2993,"CADE27",
,"CUB0409",22.000000000,2994,"CADE27",
,"CUB0409",6.400000000,2995,"CADE27",
,"CUB0409",7.400000000,2996,"CADE27",
,"CUB0409",28.500000000,2997,"CADE27",
,"CUB0409",11.500000000,2998,"CADE27",
,"CUB0409",4.100000000,2999,"CADE27",
,"CUB0409",5.900000000,3000,"CADE27",
,"CUB0409",20.400000000,3001,"CADE27",
,"CUB0407",9.600000000,3002,"CADE27",
,"CUB0407",35.500000000,3003,"CADE27",
,"CUB0407",39.700000000,3004,"CADE27",
,"CUB0422",28.500000000,3005,"ABCO",
,"CUB0422",19.700000000,3006,"ABCO",
,"CUB0422",6.700000000,3007,"ABCO",
,"CUB0422",18.000000000,3008,"ABCO",
,"CUB0422",11.600000000,3009,"ABCO",
,"CUB0422",9.700000000,3010,"ABCO",
,"CUB0422",24.700000000,3011,"ABCO",
,"CUB0422",5.000000000,3012,"ABCO",
,"CUB0422",10.100000000,3013,"ABCO",
,"CUB0422",14.500000000,3014,"ABCO",
,"CUB0397",25.400000000,3015,"ABCO",
,"CUB0397",67.000000000,3016,"ABCO",
,"CUB0397",78.000000000,3017,"ABCO",
,"CUB0397",61.800000000,3018,"ABCO",
,"CUB0397",11.000000000,3019,"ABCO",
,"CUB0461",6.200000000,3020,"ABCO",
,"CUB0461",46.300000000,3021,"ABCO",
,"CUB0461",42.700000000,3022,"ABCO",
,"CUB0461",53.200000000,3023,"ABCO",
,"CUB0461",90.600000000,3024,"ABCO",
,"CUB0429",30.800000000,3025,"PIJE",
,"CUB0429",25.500000000,3026,"PIJE",
,"CUB0429",4.800000000,3027,"PIJE",
,"CUB0376",9.500000000,3028,"PIJE",
,"CUB0376",7.500000000,3029,"PIJE",
,"CUB0376",10.900000000,3030,"PIJE",
,"CUB0376",16.900000000,3031,"PIJE",
,"CUB0418",28.500000000,3032,"ABCO",
,"CUB0418",45.000000000,3033,"ABCO",
,"CUB0418",4.900000000,3034,"CADE27",
,"CUB0418",7.300000000,3035,"ABCO",
,"CUB0418",6.100000000,3036,"ABCO",
,"CUB0418",13.600000000,3037,"ABCO",
,"CUB0418",10.500000000,3038,"ABCO",
,"CUB0418",14.000000000,3039,"ABCO",
,"CUB0421",30.400000000,3040,"ABCO",
,"CUB0421",32.400000000,3041,"ABCO",
,"CUB0421",37.300000000,3042,"ABCO",
,"CUB0421",42.200000000,3043,"ABCO",
,"CUB0421",27.500000000,3044,"ABCO",
,"CUB0466",5.300000000,3045,"ABCO",
,"CUB0466",96.500000000,3046,"ABCO",
,"CUB0466",21.300000000,3047,"ABCO",
,"CUB0466",7.000000000,3048,"ABCO",
,"CUB0466",2.600000000,3049,"ABCO",
,"CUB0383B",21.200000000,3050,"ABCO",
,"CUB0383B",16.800000000,3051,"ABCO",
,"CUB0383B",41.900000000,3052,"CADE27",
,"CUB0383B",47.800000000,3053,"ABCO",
,"CUB0383B",30.800000000,3054,"ABCO",
,"CUB0383B",16.200000000,3055,"ABCO",
,"CUB0383B",29.400000000,3056,"ABMA",
,"CUB0383B",6.300000000,3057,"ABCO",
,"CHI2272",12.000000000,3058,"PSME",
,"CHI2272",6.100000000,3059,"ABCO",
,"CHI2362",43.200000000,3060,"PIPO",
,"CHI2030",35.800000000,3063,"ABCO",
,"CHI2030",55.200000000,3064,"ABMA",
,"CHI1975",38.500000000,3065,"PSME",
,"CHI1981",59.500000000,3066,"PSME",
,"CHI2045",36.500000000,3067,"ABCO",
,"CHI2045",40.000000000,3068,"PILA",
,"CHI2045",4.000000000,3069,"CADE27",
,"CHI2045",62.000000000,3070,"ABCO",
,"CHI1865",43.100000000,3071,"ABCO",
,"CHI1865",28.000000000,3072,"PSME",
,"CHI1865",32.800000000,3073,"ABCO",
,"CHI19009",40.700000000,3074,"ABCO",
,"CHI19009",36.600000000,3075,"ABCO",
,"CHI1923",5.700000000,3076,"ABCO",
,"CHI1923",6.700000000,3077,"ABCO",
,"CHI1923",9.800000000,3078,"ABCO",
,"CHI1923",15.200000000,3079,"ABCO",
,"CHI1923",13.900000000,3080,"ABCO",
,"CHI1923",7.500000000,3081,"ABCO",
,"CHI1923",7.000000000,3082,"ABCO",
,"CHI2086",47.500000000,3083,"PILA",
,"CHI2086",31.000000000,3084,"PSME",
,"CHI1902",34.000000000,3085,"CADE27",
,"CHI1970",68.500000000,3086,"ABCO",
,"CHI2088",17.100000000,3087,"ABCO",
,"CHI2088",12.100000000,3088,"ABCO",
,"CHI2088",26.200000000,3089,"ABCO",
,"CHI1805",39.500000000,3090,"PIPO",
,"CHI1832",15.000000000,3091,"ABCO",
,"CHI1832",17.000000000,3092,"ABCO",
,"CHI1832",23.500000000,3093,"ABCO",
,"CHI1832",9.200000000,3094,"ABCO",
,"CHI1832",5.500000000,3095,"ABCO",
,"CHI1832",6.200000000,3096,"ABCO",
,"CHI1736",21.700000000,3097,"CADE27",
,"CHI1736",37.700000000,3098,"PSME",
,"CHI1736",36.600000000,3099,"PSME",
,"CHI1835",56.400000000,3100,"PILA",
,"CHI1788",24.200000000,3101,"PILA",
,"CHI1775",78.000000000,3102,"CADE27",
,"CHI1775",41.000000000,3103,"CADE27",
,"CHI1775",39.500000000,3104,"CADE27",
,"CHI1775",50.500000000,3105,"ABCO",
,"PIT0221",18.900000000,3106,"CADE27",
,"PIT0221",25.500000000,3107,"LIDE",
,"PIT0221",5.700000000,3108,"CADE27",
,"PIT0221",25.900000000,3109,"LIDE",
,"PIT0221",16.500000000,3110,"PSME",
,"PIT0221",16.700000000,3111,"LIDE",
,"PIT0221",11.400000000,3112,"LIDE","it is a resprout from the LIDE above"
,"PIT0139",11.900000000,3113,"CADE27",
,"PIT0139",11.000000000,3114,"CADE27",
,"PIT0139",11.100000000,3115,"CADE27",
,"PIT0139",23.800000000,3116,"CADE27",
,"PIT0139",10.700000000,3117,"CADE27",
,"PIT0139",15.000000000,3118,"CADE27",
,"PIT0139",11.300000000,3119,"CADE27",
,"PIT0139",14.300000000,3120,"ABCO",
,"PIT0139",12.900000000,3121,"CADE27",
,"BAG1683",7.900000000,3122,"ABCO",
,"BAG1683",6.100000000,3123,"ABCO",
,"BAG1683",10.300000000,3124,"ABCO",
,"BAG1683",11.800000000,3125,"ABCO",
,"BAG1489",8.000000000,3126,"ABCO",
,"BAG1489",3.500000000,3127,"ABCO",
,"BAG1489",70.800000000,3128,"ABCO",
,"BAG1489",3.000000000,3129,"ABCO",
,"BAG1489",7.200000000,3130,"ABCO",
,"BAG1489",4.000000000,3131,"ABCO",
,"BAG1654",10.300000000,3132,"ABCO",
,"BAG1654",2.500000000,3133,"PRVI?",
,"BAG1557",118.000000000,3134,"PSME",
,"BAG1557",15.700000000,3135,"CADE27",
