"OldPLOTID","Regen_Plot","DBH","ID","Species","comments"
,,12.000000000,2906,"ABCO","33d"
,"STR0298",9.400000000,3341,"PIJE",
,"STR0298",28.000000000,3342,"PIJE",
,"CUB0515",120.900000000,3343,"PSME",
,"CUB0515",24.000000000,3344,"CADE27",
,"CUB0515",107.500000000,3345,"PILA",
,"CUB0515",25.000000000,3346,"CADE27",
,"CUB0515",8.500000000,3347,"CADE27",
,"CUB0531",8.400000000,3348,"ABCO",
,"CUB0531",4.400000000,3349,"ABCO",
,"CUB0531",12.600000000,3350,"CADE27",
,"CUB0531",32.000000000,3351,"ABCO",
,"CUB0531",7.000000000,3352,"CADE27",
,"CUB0531",10.300000000,3353,"CADE27",
,"CUB0531",8.000000000,3354,"CADE27",
,"CUB0531",10.700000000,3355,"CADE27",
,"CUB0531",6.000000000,3356,"CADE27",
,"CUB0531",8.700000000,3357,"CADE27",
,"CUB0531",5.000000000,3358,"ABCO",
,"CUB0531",7.800000000,3359,"CADE27",
,"CUB0526",50.700000000,3360,"ABCO",
,"CUB0526",31.900000000,3361,"CADE27",
,"CUB0526",3.500000000,3362,"ABCO",
,"CUB0526",6.000000000,3363,"ABCO",
,"CUB0526",35.500000000,3364,"PIPO",
,"CUB0526",4.000000000,3365,"CADE27",
,"CUB0526",18.000000000,3366,"ABCO",
,"CUB0526",9.200000000,3367,"ABCO",
,"CUB0526",6.000000000,3368,"ABCO",
,"CUB0526",3.100000000,3369,"ABCO",
,"CUB0526",3.700000000,3370,"CADE27",
,"CUB0526",10.700000000,3371,"PSME",
,"CUB0526",7.600000000,3372,"ABCO",
,"CUB0526",32.400000000,3373,"ABCO",
,"CUB0526",21.900000000,3374,"ABCO",
,"CUB0522",14.700000000,3375,"ABCO",
,"CUB0522",20.600000000,3376,"ABCO",
,"CUB0522",6.500000000,3377,"CADE27",
,"CUB0522",4.600000000,3378,"PSME",
,"CUB0522",6.700000000,3379,"ABCO",
,"CUB0522",67.600000000,3380,"ABCO",
,"CUB0097",25.400000000,3381,"ABCO",
,"CUB0097",40.600000000,3382,"ABCO",
,"CUB0097",24.500000000,3383,"ABCO",
,"CUB0097",13.600000000,3384,"ABCO",
,"CUB0097",27.000000000,3385,"ABCO",
,"CUB0097",53.100000000,3386,"ABCO",
,"CUB0349",6.200000000,3387,"ABMA",
,"CUB0374",3.000000000,3388,"ABMA",
,"CUB0374",36.800000000,3389,"ABMA",
,"CUB0374",27.000000000,3390,"ABMA",
,"CUB0352A",22.500000000,3391,"PILA",
,"CUB0352A",30.900000000,3392,"ABMA",
,"CUB0352A",6.000000000,3393,"ABMA",
,"CUB0352A",6.400000000,3394,"ABMA",
,"CUB0352A",5.200000000,3395,"ABMA",
,"CUB0352A",16.100000000,3396,"ABMA",
,"CUB0352A",35.800000000,3397,"ABMA",
,"CUB0352A",82.200000000,3398,"PILA",
,"CUB0379",2.500000000,3399,"ABMA",
,"CUB0379",4.000000000,3400,"ABMA",
,"CUB0379",4.000000000,3401,"ABMA",
,"CUB0379",2.500000000,3402,"ABMA",
,"CUB0379",3.000000000,3403,"ABMA",
,"CUB0379",3.000000000,3404,"ABMA",
,"CUB0404",7.800000000,3405,"PSME",
,"CUB0404",4.600000000,3406,"ABMA",
,"CUB0404",3.800000000,3407,"ABMA",
,"CUB0398",6.100000000,3408,"ABCO",
,"CUB0398",4.700000000,3409,"ABCO",
,"CUB0398",5.200000000,3410,"ABCO",
,"CUB0398",6.500000000,3411,"PSME",
,"CUB0106",23.300000000,3412,"ABCO",
,"CUB0106",30.000000000,3413,"ABCO",
,"CUB0106",22.800000000,3414,"ABCO",
,"CUB0106",15.800000000,3415,"ABCO",
,"CUB0094",25.000000000,3416,"ABCO",
,"CUB0094",11.200000000,3417,"ABCO",
,"CUB0094",34.700000000,3418,"ABCO",
,"CUB0094",53.500000000,3419,"ABCO",
,"CUB0094",54.500000000,3420,"PILA",
,"CUB0094",12.500000000,3421,"ABCO",
,"CUB0094",5.500000000,3422,"ABCO",
,"CUB0069",16.300000000,3423,"CADE27",
,"CUB0069",8.500000000,3424,"CADE27",
,"CUB0069",16.500000000,3425,"CADE27",
,"CUB0069",12.100000000,3426,"CADE27",
,"CUB0069",10.200000000,3427,"ABCO",
,"CUB0069",11.400000000,3428,"CADE27",
,"CUB0069",6.900000000,3429,"ABCO",
,"CUB0069",11.100000000,3430,"CADE27",
,"CUB0069",4.000000000,3431,"ABCO",
,"CUB0069",9.200000000,3432,"CADE27",
,"CUB0069",3.300000000,3433,"ABCO",
,"CUB0069",6.000000000,3434,"CADE27",
,"CUB0069",89.500000000,3435,"PIPO",
,"CUB0072",15.500000000,3436,"CADE27",
,"CUB0072",7.100000000,3437,"PSME",
,"CUB0072",6.200000000,3438,"CADE27",
,"CUB0072",75.600000000,3439,"ABCO",
,"CUB0072",10.800000000,3440,"CADE27",
,"CUB0072",3.000000000,3441,"CONU",
,"CUB0072",5.400000000,3442,"CADE27",
,"CUB0072",3.100000000,3443,"CONU",
,"CUB0072",3.000000000,3444,"CONU",
,"CUB0072",4.000000000,3445,"CONU",
,"CUB0072",4.000000000,3446,"CONU",
,"CUB0072",2.000000000,3447,"CONU",
,"CUB0072",3.000000000,3448,"CONU",
,"CUB0072",3.500000000,3449,"CONU",
,"CUB0072",3.000000000,3450,"CONU",
,"CUB0072",4.000000000,3451,"CONU",
,"CUB0072",3.500000000,3452,"CONU",
,"CUB0072",3.000000000,3453,"CONU",
,"CUB0072",63.200000000,3454,"ABCO",
,"CUB0072",4.000000000,3455,"CONU",
,"CUB0072",8.000000000,3456,"CADE27",
,"CUB0066",6.500000000,3457,"ABCO",
,"CUB0066",8.000000000,3458,"CADE27",
,"CUB0066",4.300000000,3459,"ABCO",
,"CUB0066",8.500000000,3460,"CADE27",
,"CUB0066",14.500000000,3461,"CADE27",
,"CUB0077",40.300000000,3462,"ABCO",
,"CUB0077",34.400000000,3463,"ABCO",
,"CUB0077",56.000000000,3464,"ABMA",
,"CUB0077",19.100000000,3465,"ABCO",
,"CUB0077",3.000000000,3466,"ABCO",
,"CUB0077",3.000000000,3467,"ABCO",
,"CUB0083",7.900000000,3468,"ABCO",
,"CUB0083",74.600000000,3469,"ABCO",
,"CUB0083",57.900000000,3470,"ABCO",
,"CUB0083",54.900000000,3471,"ABCO",
,"CUB0083",47.100000000,3472,"ABCO",
,"CUB0083",3.100000000,3473,"ABCO",
,"CUB0083",5.000000000,3474,"ABCO",
,"CUB0083",11.500000000,3475,"ABCO",
,"CUB0090",45.000000000,3476,"ABCO",
,"CUB0090",64.700000000,3477,"ABCO",
,"CUB0090",3.000000000,3478,"ABCO",
,"CUB0090",14.000000000,3479,"CADE27",
,"CUB0090",26.700000000,3480,"ABCO",
,"CUB0091",6.000000000,3481,"ABCO",
,"CUB0091",3.800000000,3482,"ABCO",
,"CUB0091",4.300000000,3483,"ABCO",
