"Regen_Plot","ID","Fire","Date","Observers","Year.of.Fire","Photos","Datum","Longitude","Latitude","aspect","slope","parent1","parent2","BARE","ROCK","VEG..BASAL..10.","LITT","CWD","SHRUB","FORBE","GRASS","HARDWOOD","CONIFER","DEAD_OCC","LIVE_OCC","CALVEG_OBS","FIRE_SEV","BAF","seed_tree_distance_conifer","seed_tree_distance_hardwood","BA_live_count","BA_dead_count"
"",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"POW0009",NA,NA,"8/3/2016","MR,PE,GS,DS,JB",2016,NA,NA,729573,4261753,NA,NA,"Granite",NA,0,0.5,7,87.5,NA,0,0,0,0,100,1,100,NA,0,20,1.3,12,10,0
"POW0017",NA,NA,"8/3/2016","MR,PE,GS,DS,JB",2016,NA,NA,729761,4262249,NA,NA,"Granite",NA,0.5,0.5,5,92,NA,80,0,3,10,40,0,40,NA,0,20,4,NA,6,0
"POW0018",NA,NA,"8/3/2016","MR,PE,GS,DS,JB",2016,NA,NA,729784,4261748,NA,NA,"Granite",NA,0,0,7,91,NA,10,0,0,0,75,0,75,NA,0,20,3,NA,8,0
"POW0019",NA,NA,"8/3/2016","MR,PE,GS,DS,JB",2016,NA,NA,729766,4261962,NA,NA,"Granite",NA,0.5,0.5,7,72,NA,5,1,1,45,100,0,100,NA,0,20,3,10,NA,NA
"POW0022",NA,NA,"8/3/2016","MR,PE,GS,DS,JB",2016,NA,NA,729962,4261965,NA,NA,"Granite",NA,20,0.5,25,52.5,NA,10,0,0,60,5,0,60,NA,0,20,6.8,1.6,13,0
"POW0023",NA,NA,"8/3/2016","MR,PE,GS,DS,JB",2016,NA,NA,729961,4262159,NA,NA,"Granite",NA,2,65,10,3,NA,30,0,0,0,100,0,100,NA,0,20,1.8,6,13,1
"POW0026",NA,NA,"8/3/2016","MR,PE,GS,DS,JB",2016,NA,NA,729968,4261774,NA,NA,"Granite",NA,1,0,30,64,NA,80,0,0,10,90,3,90,NA,0,10,1.2,11,NA,NA
"POW0032",NA,NA,"8/3/2016","MR,PE,GS,DS,JB",2016,NA,NA,730157,4262177,NA,NA,"Granite",NA,21,0.5,3,30.5,NA,5,0.5,0,5,100,1,100,NA,0,20,1,13.4,NA,NA
"POW0034",NA,NA,"8/1/2016","MR,PE,GS,DS,JB",2016,NA,NA,730226,4266171,NA,NA,"Granite",NA,30,1,5,59,NA,0,0.5,0,100,10,4,100,NA,0,20,3.9,NA,6,1
"POW0035",NA,NA,"8/8/2016","MR,PE",2016,NA,NA,730223,4266372,NA,NA,"Granite",NA,0,0.5,0.5,98.5,NA,0.5,0.5,0.5,0,0.5,0,3,NA,0,20,NA,NA,13,1
"POW0037",NA,NA,"8/3/2016","MR,PE,GS,DS,JB",2016,NA,NA,730369,4261778,NA,NA,"Granite",NA,0,0.5,0.5,90,NA,2,0.5,0.5,5,55,0,60,NA,0,20,3.4,10.6,8,0
"POW0040",NA,NA,"8/8/2016","MR,PE",2016,NA,NA,730216,4266574,NA,NA,"Granite",NA,0,0,1,74,NA,0.5,0.5,0.5,0,20,15,5,NA,0,20,3.8,NA,NA,NA
"POW0043",NA,NA,"8/3/2016","MR,PE,GS,DS,JB",2016,NA,NA,730569,4261777,NA,NA,"Granite",NA,0,1,0.5,92,NA,0,0.5,0.5,55,20,0,75,NA,0,20,9.2,5.7,10,2
"POW0044",NA,NA,"8/2/2016","MR,PE,GS,DS,JB",2016,NA,NA,730431,4266187,NA,NA,"Granite",NA,15,0.5,10,69.5,NA,30,1,0,0,20,0,20,NA,0,20,1.8,NA,NA,NA
"POW0048",NA,NA,"8/2/2016","MR,PE,GS,DS,JB",2016,NA,NA,730418,4266383,NA,NA,"Granite",NA,1,3,2,80,NA,0,0.5,0.5,0,70,0,70,NA,0,20,2.4,NA,NA,NA
"POW0049",NA,NA,"8/3/2016","MR,PE,GS,DS,JB",2016,NA,NA,730562,4261983,NA,NA,"Granite",NA,0.5,0,10,74.5,NA,0.5,10,20,60,25,0,75,NA,0,20,8.6,2,4,2
"POW0052",NA,NA,"8/2/2016","MR,PE,GS,DS,JB",2016,NA,NA,730619,4266389,NA,NA,"Granite",NA,10,0.5,20,59.5,NA,50,0.5,0,0,30,0,30,NA,0,20,2.5,NA,5,0
"POW0057",NA,NA,"8/3/2016","MR,PE,GS,DS,JB",2016,NA,NA,730776,4261804,NA,NA,"Granite",NA,0,0.5,7,90,NA,10,0.5,90,0,25,0,25,NA,0,20,4.5,8.6,6,0
"POW0069",NA,NA,"8/2/2016","MR,PE,GS,DS,JB",2016,NA,NA,731026,4266399,NA,NA,"Granite",NA,2,4,6,87.5,NA,70,0,0.5,0,0,0,0,NA,0,5,15,NA,NA,NA
"POW0072",NA,NA,"8/2/2016","MR,PE,GS,DS,JB",2016,NA,NA,731020,4266599,NA,NA,"Granite",NA,0.5,0.5,2,67,NA,0,0,0,0,100,0,100,NA,0,10,1.8,NA,NA,NA
"POW0079",NA,NA,"8/2/2016","MR,PE,GS,DS,JB",2016,NA,NA,731216,4266602,NA,NA,"Granite",NA,0.5,0.5,3,95.5,NA,99,0.5,0.5,0,25,0,100,NA,0,20,1.8,NA,NA,NA
"POW0082",NA,NA,"8/2/2016","MR,PE,GS,DS,JB",2016,NA,NA,731208,4266807,NA,NA,"Granite",NA,16,3,1,40,NA,2,0.5,0,0,2,0,2,NA,0,20,5.1,NA,NA,NA
"POW0086",NA,NA,"8/2/2016","MR,PE,GS,DS,JB",2016,NA,NA,731412,4266816,NA,NA,"Granite",NA,2,0.5,3,92.5,NA,25,0,0,0,5,0,5,NA,0,20,5,NA,NA,NA
"POW0091",NA,NA,"8/8/2016","MR,PE",2016,NA,NA,731403,4267223,NA,NA,"Granite",NA,0.5,0.5,1,90,NA,0,0.5,0.5,0,90,0.5,80,NA,0,10,3.2,20.9,NA,NA
"POW0095",NA,NA,"8/8/2016","MR,PE",2016,NA,NA,731605,4267019,NA,NA,"Granite",NA,0,0.5,0.5,98.5,NA,70,0.5,0.5,0,10,0,15,NA,0,20,4.1,NA,NA,NA
"POW0096",NA,NA,"8/2/2016","MR,PE,GS,DS,JB",2016,NA,NA,731611,4266820,NA,NA,"Granite",NA,0.5,1,5,92.5,NA,40,0.5,0.5,0,35,0,35,NA,0,20,1.6,23.7,NA,NA
"POW0097",NA,NA,"8/8/2016","MR,PE",2016,NA,NA,731595,4267416,NA,NA,"Granite",NA,0,0.5,1,99,NA,0.5,0.5,0.5,2,60,0,75,NA,0,10,3.3,9.5,15,1
"POW0099",NA,NA,"8/8/2016","MR,PE",2016,NA,NA,731594,4267216,NA,NA,"Granite",NA,0,0.5,0.5,94,NA,2,0.5,0.5,15,30,0.5,45,NA,0,20,7.4,2.5,NA,NA
"POW0101",NA,NA,"8/3/2016","MR,PE,GS,DS,JB",2016,NA,NA,731982,4261639,NA,NA,"Granite",NA,0.5,0,2,92.5,NA,30,0.5,0.5,40,20,0,60,NA,0,20,3.7,6.1,9,0
"POW0103",NA,NA,"8/8/2016","MR,PE",2016,NA,NA,731799,4267224,NA,NA,"Granite",NA,0,0,1,98,NA,0,0,0,0,95,0.5,95,NA,0,10,0.2,NA,12,1
"POW0105",NA,NA,"8/8/2016","MR,PE",2016,NA,NA,731793,4267422,NA,NA,"Granite",NA,0,0.5,0.5,98.5,NA,35,0.5,0.5,15,25,0,65,NA,0,20,1.6,2.9,13,1
"POW0106",NA,NA,"8/2/2016","MR,PE,GS,DS,JB",2016,NA,NA,731801,4266818,NA,NA,"Granite",NA,5,0.5,4,60.5,NA,0,0,0,0,90,0,90,NA,0,20,2.3,NA,NA,NA
"POW0108",NA,NA,"8/3/2016","MR,PE,GS,DS,JB",2016,NA,NA,731973,4261833,NA,NA,"Granite",NA,0.5,10,3,81.5,NA,20,2,2,70,0,0,70,NA,0,20,44,1.7,NA,NA
"POW0109",NA,NA,"8/3/2016","MR,PE,GS,DS,JB",2016,NA,NA,732212,4261653,NA,NA,"Granite",NA,0.5,0,20,69.5,NA,100,0.5,0.5,70,40,0,100,NA,0,20,3.4,3.2,3,0
"POW0293",NA,NA,"8/9/2016","MR,PE",2016,NA,NA,737998,4267628,NA,NA,"Granite",NA,0,94.5,0.5,5,NA,0,15,10,0,2,0,0,NA,0,5,19,NA,2,1
"POW0294",NA,NA,"8/9/2016","MR,PE",2016,NA,NA,737992,4267824,NA,NA,"Granite",NA,0.5,74,0.5,25,NA,35,7,3,0,0,0,0,NA,0,5,31,29,NA,NA
"POW0295",NA,NA,"8/9/2016","MR,PE",2016,NA,NA,737937,4268429,NA,NA,"Granite",NA,0.5,0.5,0.5,98,NA,0,0.5,0.5,0,0.5,0,40,NA,0,20,4.8,NA,20,0
"POW0296",NA,NA,"8/9/2016","MR,PE",2016,NA,NA,737980,4268225,NA,NA,"Granite",NA,0.5,53.5,0.5,45,NA,65,3,0.5,0,5,0,5,NA,0,5,4.4,NA,5,0
"POW0298",NA,NA,"8/9/2016","MR,PE",2016,NA,NA,738185,4268232,NA,NA,"Granite",NA,5,10,2,0,NA,1,84,15,0.5,0.5,10,10,NA,0,20,18.1,2.8,16,2
"POW0299",NA,NA,"8/9/2016","MR,PE",2016,NA,NA,738193,4267833,NA,NA,"Granite",NA,0,0.5,0.5,99,NA,40,0,0.5,10,25,0,35,NA,0,20,11.5,3.8,NA,NA
"POW0301",NA,NA,"8/9/2016","MR,PE",2016,NA,NA,738186,4268032,NA,NA,"Granite",NA,0,0.5,1,93.5,NA,0,0.5,0.5,20,15,0,40,NA,0,20,3.6,3,11,3
"POW0302",NA,NA,"8/9/2016","MR,PE",2016,NA,NA,738201,4267631,NA,NA,"Granite",NA,0,15,1,85,NA,15,5,0.5,25,5,0,55,NA,0,20,14.5,3.4,6,2
"POW0307",NA,NA,"8/9/2016","MR,PE",2016,NA,NA,738381,4268237,NA,NA,"Granite",NA,0.5,0.5,2,96,NA,0,0,0,0,85,15,85,NA,0,20,0.8,NA,12,4
"POW0311",NA,NA,"8/9/2016","MR,PE",2016,NA,NA,738388,4268036,NA,NA,"Granite",NA,0,20,0.5,79,NA,0,0.5,0,15,10,10,15,NA,0,20,7.7,5.6,6,5
