Regen_Plot,Observers,BAF,BA_Species,BA_live_count,BA_dead_count,seed_tree_distance_conifer_sp,seed_tree_distance_conifer,Con_NSS_Azimuth,seed_tree_distance_hardwood_sp,seed_tree_distance_hardwood,Hard_NSS_Azimuth,Notes
POW0295,"MR,PE",20,ABCO,19,0,CADE,5.9,84,NA,NA,NA,
POW0295,"MR,PE",,CADE,1,0,ABCO,4.8,324,,,,
POW0298,"MR,PE",20,PIPO,1,1,,,,,,,
POW0298,"MR,PE",,PILA,2,0,,,,,,,
POW0298,"MR,PE",,QUKE,5,0,,,,,,,
POW0296,"MR,PE",5,CADE,3,0,PIJE,19,140,NA,NA,NA,
POW0296,"MR,PE",,PIJE,2,0,CADE,4.4,140,,,,
POW0294,"MR,PE",5,PIJE,2,0,PIJE,31,180,QUKE,29,208,
POW0294,"MR,PE",,,,,CADE,33,94,,,,
POW0293,"MR,PE",5,CADE,0,1,PIJE,19,315,NA,NA,NA,
POW0293,"MR,PE",,PIJE,2,0,CADE,28.5,167,,,,
POW0302,"MR,PE",20,PIPO,2,1,PIPO,14.5,355,QUKE,3.4,210,
POW0302,"MR,PE",,QUCH,2,1,CADE,44.3,252,QUCH,7.3,136,
POW0302,"MR,PE",,QUKE,2,0,PILA,37.7,252,,,,
POW0299,"MR,PE",20,PIPO,4,1,ABCO,22,358,QUCH,3.8,256,
POW0299,"MR,PE",,CADE,5,0,CADE,27.4,10,QUKE,4.4,196,
POW0299,"MR,PE",,QUKE,1,0,PIPO,11.5,292,,,,
POW0299,"MR,PE",,PIJE,1,0,PILA,55,122,,,,
POW0299,"MR,PE",,,,,PIJE,17.8,120,,,,
POW0298,"MR,PE",20,PIPO,1,1,CADE,18.1,52,QUKE,2.8,277,
POW0298,"MR,PE",,PILA,2,0,PILA,60,194,,,,
POW0298,"MR,PE",,QUKE,5,0,PIPO,26,216,,,,
POW0301,"MR,PE",20,QUKE,6,1,ABCO,7,110,,,,
POW0301,"MR,PE",,ABCO,2,1,PIPO,3.6,135,QUKE,3,16,
POW0301,"MR,PE",,CADE,2,1,CADE,13,200,,,,
POW0301,"MR,PE",,PIPO,1,0,PIJE,20,254,,,,
POW0311,"MR,PE",20,PIPO,1,1,PILA,36.9,201,QUKE,5.6,5,
POW0311,"MR,PE",,CADE,1,2,PIPO,12,262,,,,
POW0311,"MR,PE",,PILA,1,0,CADE,7.7,268,,,,
POW0311,"MR,PE",,QUKE,3,2,,,,,,,
POW0307,"MR,PE",20,ABCO,7,1,ABCO,0.8,206,,,,
POW0307,"MR,PE",,CADE,4,3,CADE,5.8,313,,,,
POW0307,"MR,PE",,PIPO,1,0,PIPO,10.7,218,,,,
POW0095,"MR,PE",20,CADE,2,0,PILA,27,118,NA,NA,NA,
POW0095,"MR,PE",,PIPO,3,0,PIPO,4.5,109,,,,
POW0095,"MR,PE",,,,,CADE,4.1,130,,,,
POW0103,"MR,PE",10,ABCO,5,1,ABCO,0.2,274,,,,
POW0103,"MR,PE",,CADE,5,0,CADE,1,214,,,,
POW0103,"MR,PE",,PIPO,1,0,PILA,4.7,270,,,,
POW0103,"MR,PE",,PILA,1,0,PIPO,12.4,322,,,,
POW0097,"MR,PE",10,PIPO,6,0,PIPO,3.3,358,QUKE,9.5,104,
POW0097,"MR,PE",,CADE,6,0,CADE,4.2,146,,,,
POW0097,"MR,PE",,QUKE,2,1,PILA,221,221,,,,
POW0097,"MR,PE",,ABCO,1,0,,,,,,,
POW0105,"MR,PE",20,CADE,5,0,CADE,1.6,24,QUKE,2.9,23,
POW0105,"MR,PE",,QUKE,2,1,PIPO,2.3,290,,,,
POW0105,"MR,PE",,PIPO,5,0,,,,,,,
POW0105,"MR,PE",,PILA,1,0,,,,,,,
POWO088,"MR,PE",20,PILA,4,0,PILA,3.2,230,,,,
POWO088,"MR,PE",,CADE,6,4,CADE,5,356,,,,
POWO088,"MR,PE",,ABCO,3,0,ABCO,10.6,227,,,,
POW0035,"MR,PE",20,PIPO,7,0,PIPO,NA,NA,NA,NA,NA,
POW0035,"MR,PE",,ABCO,1,1,PILA,,,,,,
POW0035,"MR,PE",,CADE,2,0,CADE,,,,,,
POW0035,"MR,PE",,PILA,3,0,ABCO,,,,,,
POW0040,"MR,PE",20,ABCO,4,7,PIPO,8.5,239,NA,NA,NA,
POW0040,"MR,PE",,PIPO,2,0,ABCO,3.8,32,,,,
POW0040,"MR,PE",,,,,CADE,16.8,154,,,,
POW0040,"MR,PE",,,,,PILA,32.5,70,,,,
POW0099,"MR,PE",20,ABCO,1,1,PIPO,20.3,130,QUKE,2.5,17,
POW0099,"MR,PE",,CADE,8,0,CADE,7.4,166,,,,
POW0099,"MR,PE",,QUKE,1,0,PILA,43,22,,,,
POW0099,"MR,PE",,,,,ABCO,17.9,230,,,,
POW0091,"MR,PE",10,CADE,3,0,,,,,,,
POW0091,"MR,PE",,ABCO,6,0,ABCO,3.2,230,CONU,20.9,334,
POW0091,"MR,PE",,PILA,2,0,CADE,3.5,194,,,,
POW0091,"MR,PE",,PIPO,1,0,PILA,11.9,330,,,,
POW0091,"MR,PE",,,,,PIPO,13,315,,,,
POW0517,"MR,PE,GS,DS,JB",20,ABCO,3,3,PILA,20.2,23.9,NA,NA,NA,
POW0517,"MR,PE,GS,DS,JB",,ABMA,7,0,ABMA,0.3,33.9,,,,
POW0517,"MR,PE,GS,DS,JB",,CADE,6,0,ABCO,5.5,10.4,,,,
POW0534,"MR,PE,GS,DS,JB",20,ABMA,1,4,ABCO,2.9,182,,,,
POW0534,"MR,PE,GS,DS,JB",,ABCO,3,0,PILA,15.6,258,,,,
POW0534,"MR,PE,GS,DS,JB",,CADE,3,0,CADE,1.7,62,,,,
POW0534,"MR,PE,GS,DS,JB",,PIJE,1,0,,,,,,,
POW0552,"MR,PE,GS,DS,JB",20,ABCO,8,0,ABMA,3.6,140,NA,NA,NA,
POW0552,"MR,PE,GS,DS,JB",,ABMA,3,0,ABCO,7.7,220,,,,
POW0552,"MR,PE,GS,DS,JB",,PILA,1,0,CADE,30.4,0,,,,
POW0552,"MR,PE,GS,DS,JB",,,,,PIJE,9.4,230,NA,NA,NA,
POW0520,"MR,PE,GS,DS,JB",20,PIJE,4,0,PIJE,2.7,18,,,,
POW0520,"MR,PE,GS,DS,JB",,CADE,2,0,CADE,1.9,30,,,,
POW0529,"MR,PE,GS,DS,JB",20,ABCO,3,3,PILA,16.9,5,,,,
POW0529,"MR,PE,GS,DS,JB",,CADE,3,0,CADE,4.3,14,,,,
POW0529,"MR,PE,GS,DS,JB",,PIJE,1,0,ABCO,6.7,182,,,,
POW0529,"MR,PE,GS,DS,JB",,,,,ABMA,10.8,70,,,,
POW0406,"MR,PE,GS,DS,JB",20,PILA,1,0,ABCO,2.2,206,NA,NA,NA,
POW0406,"MR,PE,GS,DS,JB",,ABCO,7,3,CADE,12.2,102,,,,
POW0406,"MR,PE,GS,DS,JB",,CADE,1,0,PILA,10.8,11,,,,
POW0406,"MR,PE,GS,DS,JB",,ABMA,3,0,PIJE,21.8,188,,,,
POW0414,"MR,PE,GS,DS,JB",10,ABCO,4,0,ABCO,4.2,356,NA,NA,NA,
POW0414,"MR,PE,GS,DS,JB",,PILA,4,1,ABMA,4.3,284,,,,
POW0414,"MR,PE,GS,DS,JB",,CADE,3,0,CADE,1.7,52,,,,
POW0414,"MR,PE,GS,DS,JB",,ABMA,1,0,PILA,4.8,114,,,,
POW0537,"MR,PE,GS,DS,JB",10,ABCO,5,4,PILA,10.6,3,NA,NA,NA,
