Regen_Plot,Sample_Year,LIVE_OCC,DEAD_OCC,UNDERSTORY.VEG,CONIFER,HARDWOOD,SHRUB,FORBE,GRASS,BARE,ROCK,VEG..BASAL..10.,LITT,CWD
POW0298,2016,10,10,2,0.5,0.5,1,84,15,5,10,2,0,0
POW0295,2016,40,0,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,98.0,0.5
POW0296,2016,5,0,75,5,0,65,3,0.5,0.5,53.5,0.5,45.0,0.5
POW0294,2016,0,0,45,0,0,35,7,3,0.5,74,0.5,25.0,0
POW0293,2016,0,0,15,2,0,0,15,10,0,94.5,0.5,5.0,0
POW0302,2016,55,0,30,5,25,15,5,0.5,0,15,1,85.0,0.5
POW0299,2016,35,0,45,25,10,40,0,0.5,0,0.5,0.5,99.0,0
POW0301,2016,40,0,1,15,20,0,0.5,0.5,0,0.5,1,93.5,5
POW0311,2016,15,10,0.5,10,15,0,0.5,0,0,20,0.5,79.0,0.5
POW0307,2016,85,15,0,85,0,0,0,0,0.5,0.5,2,96.0,1
POW0095,2016,15,0,95,10,0,70,0.5,0.5,0,0.5,0.5,98.5,0.5
POW0103,2016,95,0.5,0.5,95,0,0,0,0,0,0,1,98.0,1
POW0097,2016,75,0,5,60,2,0.5,0.5,0.5,0,0.5,1,99.0,0.5
POW0105,2016,65,0,85,25,15,35,0.5,0.5,0,0.5,0.5,98.5,0.5
POWO088,2016,75,0.5,0.5,10,0,0.5,0.5,0.5,0,0,0.5,94.5,5
POW0035,2016,3,0,2,0.5,0,0.5,0.5,0.5,0,0.5,0.5,98.5,0.5
POW0040,2016,5,15,0.5,20,0,0.5,0.5,0.5,0,0,1,74.0,25
POW0099,2016,45,0.5,15,30,15,2,0.5,0.5,0,0.5,0.5,94.0,5
POW0091,2016,80,0.5,0.5,90,0,0,0.5,0.5,0.5,0.5,1,90.0,10
POW0517,2016,30,0,0,30,0,0,0,0,33,5,2,20.0,40
POW0534,2016,20,3,15,20,0,15,0,0,5,10,2,53.0,30
POW0552,2016,30,0,0,30,0,0,0,0,10,0.5,1,68.5,20
POW0520,2016,20,0,85,20,0,85,0.5,2,19,0.5,20,60.0,0.5
POW0529,2016,10,0,3,10,0,2,1,0,7.5,0.5,2,5.0,85
POW0406,2016,40,0,20,40,0,20,0,0.5,80,6,2,10.0,2
POW0414,2016,70,0,1,70,0,1,0,0,46,5,5,40.0,4
POW0537,2016,30,0,0,30,0,0,0,0,53,1,1,15.0,30
POW0034,2016,100,4,0,10,100,0,0.5,0,30,1,5,59.0,5
POW0044,2016,20,0,30,20,0,30,1,0,15,0.5,10,69.5,15
POW0072,2016,100,0,1,100,0,0,0,0,0.5,0.5,2,67.0,30
POW0082,2016,2,0,2,2,0,2,0.5,0,16,3,1,40.0,40
POW0096,2016,35,0,40,35,0,40,0.5,0.5,0.5,1,5,92.5,1
POW0106,2016,90,0,0,90,0,0,0,0,5,0.5,4,60.5,30
POW0086,2016,5,0,25,5,0,25,0,0,2,0.5,3,92.5,2
POW0069,2016,0,0,70,0,0,70,0,0.5,2,4,6,87.5,0.5
POW0048,2016,30,0,50,30,0,50,0.5,0,10,0.5,20,59.5,10
POW0079,2016,70,0,0,70,0,0,0.5,0.5,1,3,2,80.0,15
POW0052,2016,100,0,2,25,0,99,0.5,0.5,0.5,0.5,3,95.5,0.5
POW0023,2016,100,0,30,100,0,30,0,0,2,65,10,3.0,20
POW0022,2016,60,0,10,5,60,10,0,0,20,0.5,25,52.5,2
POW0101,2016,60,0,30,20,40,30,0.5,0.5,0.5,0,2,92.5,5
POW0019,2016,100,0,45,100,45,5,1,1,0.5,0.5,7,72.0,20
POW0049,2016,75,0,20,25,60,0.5,10,20,0.5,0,10,74.5,15
POW0057,2016,25,0,90,25,0,10,0.5,90,0,0.5,7,90.0,3
POW0032,2016,100,1,5,100,5,5,0.5,0,21,0.5,3,30.5,45
POW0109,2016,100,0,100,40,70,100,0.5,0.5,0.5,0,20,69.5,10
POW0026,2016,90,3,80,90,10,80,0,0,1,0,30,64.0,5
POW0018,2016,75,0,10,75,0,10,0,0,0,0,7,91.0,2
POW0009,2016,100,1,0,100,0,0,0,0,0,0.5,7,87.5,5
POW0017,2016,40,0,80,40,10,80,0,3,0.5,0.5,5.0,92,2
POW0108,2016,70,0,20,0,70,20,2,2,0.5,10,3,81.5,5
POW0037,2016,60,0,10,55,5,2,0.5,0.5,0,0.5,0.5,90.0,10
POW0043,2016,75,0,3,20,55,0,0.5,0.5,0,1,0.5,92.0,7
POW0542,2016,32,0,20,32,0,20,0.5,0,2,1,7,88.0,2
POW0543,2016,2,0,2,2,0,1,1,0.5,0.5,3,3,86.5,7
POW0544,2016,3,0,7,3,0,1,7,0.5,0.5,0.5,2,96.5,0.5
POW0536,2016,2,0,85,2,0,85,0,0,1,10,10,78.5,0.5
POW0551,2016,6,0,0,6,0,0,0,0,0,0.5,0,59.5,40
POW0549,2016,20,0,50,20,0,50,0,0,10,3,15,70.0,2
POW0545,2016,15,0,10,15,0,2,0,1,0.5,0.5,5,92.0,2
POW0540,2016,50,0,3,50,0,1,1,1,0.5,0.5,1,96.0,2
