ID,Regen_Plot,Species,seed_veg_plant,Count_0,Count_1,Count_2,Count_3,Count_4,Count_5,Count_6,Count_7,Count_8,Count_9,Count_10,Count_11,Count_12,Count_13,Count_14,Count_15,Count_16,Count_17,Count_18,Count_19,Count_20,Count_21,Count_22,Count_23,Count_24,Count_25,Count_26,Count_27,Count_28,Count_29,Count_30,Count_31,Count_32,Count_33,Count_34,Count_35,Count_36,Count_37,TI_Height,TI_Age,TI_LYG
9999,POW299,ABCO,S,,,,,,,,,,,1,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,110,19,6
9999,POW299,QUKE,S,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2,1
9999,POW299,CADE,S,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,45,11,3
9999,POW299,PIPO,S,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,25,16,0.5
9999,POW299,PILA,S,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,2
9999,POW299,QUCH,S,,,2,,,,,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,100,16,3
9999,POW0298,QUKE,S,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6,1
9999,POW0301,PIPO,S,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,100,16,1
9999,POW0301,CADE,S,,,,,,,,,2,,3,,4,,3,,,,,,,,,,,,,,,,,,,,,,,,60,14,2
9999,POW0301,PILA,S,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,110,16,1
9999,POW0301,QUKE,S,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,10,0.5
9999,POW0301,ABCO,S,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,45,12,1
9999,POW0311,NA,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9999,POW0307,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9999,POW0095,PILA,S,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,65,17,2
9999,POW0095,CADE,S,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,60,16,1
9999,POW0095,PIPO,S,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,65,16,2
9999,POW0103,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9999,POW0097,QUKE,S,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6,0.5
9999,POW0097,ABCO,S,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,30,17,0.5
9999,POW0105,ABCO,S,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,135,15,1
9999,POW0105,PILA,S,,,,,,,,,,,,1,,,,,2,,,1,,,,,,,,,,,,,,,,,,,120,19,3
9999,POW0105,QUKE,S,,3,,1,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5,0.5
9999,POW0088,PILA,S,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,9,0.5
9999,POW0088,ABCO,S,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,NA
9999,POW0035,ABCO,S,,,,,,,,,,,1,,,,1,2,,,,,,,,,2,,,,,,,,,,,,,,135,24,1
9999,POW0035,PILA,S,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,138,23,2
9999,POW0035,CADE,S,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,120,12,1
9999,POW0035,PIPO,S,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,128,14,3
9999,POW0040,CADE,S,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,90,18,1.5
9999,POW0040,PILA,S,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,7,0.1
9999,POW0099,PILA,S,,,,,,1,1,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,115,14,5
9999,POW0099,QUKE,S,,,,2,,3,,4,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,20,9,1
9999,POW0099,PIPO,S,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,90,11,3
9999,POW0099,ABCO,S,,,,,,,1,,8,1,,,,3,,1,1,,,,,,,,,,,,,,,,,,,,,,130,25,3
9999,POW0099,CADE,S,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,15,4
9999,POW0091,CONU,S,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2,0.5
9999,POW0091,PILA,S,,,,,,,1,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,15,2
