"ID","Regen_Plot","Species","Comments"
6,"SHR0900004","ABCO","1"
7,"SHR0900004","PIJE","2"
8,"SHR0900004","CADE27","3"
9,"SHR0900001","PIJE","1"
10,"SHR0900001","ABCO","2"
11,"SHR0900007","PIJE","1"
12,"SHR0900007","ABCO","2"
13,"STY0900048","PIPO","1"
14,"STY0900048","JUOC","2"
15,"STY0900048","CELE3","3"
16,"STY0900048","CADE27","4"
17,"STY0900051","JUOC","1"
18,"STY0900051","CADE27","2"
19,"STY0900051","CELE3","3"
20,"STY0900055","PIPO","1"
21,"STY0900055","CADE27","2"
22,"STY0900055","CELE3","3"
23,"STY0900055","QUKE","4"
24,"STY0900056","PIPO","1"
25,"STY0900056","JUOC","2"
26,"STY0900056","QUERC","3"
27,"STY0900056","CELE3","4"
28,"STY0900061","JUOC","1"
29,"STY0900061","QUERC","2"
30,"STY0900060","PIPO","1"
31,"STY0900060","PIJE","2"
32,"STY0900063","PIJE","1"
33,"STY0900063","JUOC","2"
34,"STY0900063","PIPO","3"
35,"STY0900063","CELE3","4"
36,"STY0900046","JUOC","1"
37,"STY0900046","CADE27","2"
38,"STY0900046","CELE3","3"
39,"STY0900046","PINUS","4"
40,"STY0900046","ABIES","5"
41,"STY0900035","CELE3","1"
42,"STY0900035","JUOC","2"
43,"STY0900035","QUKE","3"
44,"STY0900035","PIPO","4"
45,"STY0900045","JUOC","1"
46,"STY0900045","CADE27","2"
47,"STY0900045","CELE3","3"
48,"STY0900045","PINUS","4"
49,"STY0900002","JUOC","1"
50,"STY0900002","PIJE","2"
51,"STY0900002","PIPO","3"
52,"STY0900007","PIJE","1"
53,"STY0900007","PIPO","2"
54,"STY0900007","QUKE","3"
55,"STY0900006","PIJE","1"
56,"STY0900006","PIPO","2"
57,"STY0900006","QUKE","3"
58,"STY0900009","PIPO","1"
59,"STY0900009","PIJE","2"
60,"STY0900009","QUKE","3"
61,"STY0900078","PIJE","1"
62,"STY0900078","PINUS","2"
63,"STY0900078","JUOC","3"
64,"STY0900077","JUOC","1"
65,"STY0900077","PIJE","2"
66,"STY0900077","PIPO","3"
67,"STY0900044","JUOC","1"
68,"STY0900044","PIJE","2"
69,"STY0900044","PIPO","3"
70,"STY0900076","JUOC","1"
71,"STY0900076","PIJE","2"
72,"STY0900076","PIPO","3"
73,"STY0900074","PIJE","1"
74,"STY0900074","PIPO","2"
75,"STY0900074","JUOC","3"
76,"STY0900075","JUOC","1"
77,"STY0900075","PIJE","2"
78,"STY0900075","PIPO","3"
79,"STY0900075","CADE27","4"
80,"STY0900071","PIJE","1"
81,"STY0900071","PIPO","2"
82,"STY0900071","JUOC","3"
83,"STY0900071","CADE27","4"
84,"STY0900072","PIPO","1"
85,"STY0900072","PIJE","2"
86,"STY0900072","CADE27","3"
87,"STY0900072","JUOC","4"
88,"STY0900065","PIJE","1"
89,"STY0900065","PIPO","2"
90,"STY0900066","PIJE","1"
91,"STY0900066","PIPO","2"
92,"STY0900066","JUOC","3"
93,"STY0900062","JUOC","1"
94,"STY0900062","PIJE","2"
95,"STY0900062","PIPO","3"
96,"STY0900062","QUKE","4"
97,"STY0900058","JUOC","1"
98,"STY0900058","PIJE","2"
99,"STY0900058","PIPO","3"
100,"STY0900057","PIJE","1"
101,"STY0900057","QUKE","2"
102,"STY0900001","PIPO","1"
103,"STY0900001","CADE27","2"
104,"STY0900001","QUKE","3"
105,"STY0900005","PIPO","1"
106,"STY0900005","CADE27","2"
107,"STY0900008","PIPO","1"
108,"STY0900011","CADE27","1"
109,"STY0900011","ABCO","2"
110,"STY0900011","PIPO","3"
111,"STY0900016","PIPO","1"
112,"STY0900016","CADE27","2"
113,"STY0900020","PIPO","1"
114,"STY0900020","CADE27","2"
115,"STY0900025","PIPO","1"
116,"STY0900025","QUKE","2"
117,"STY0900025","CADE27","3"
118,"STY0900029","CEBE3","1"
119,"STY0900029","PIPO","2"
120,"STY0900029","CADE27","3"
121,"STY0900037","PIPO","1"
122,"STY0900037","CADE27","2"
123,"STY0900041","JUOC","1"
124,"STY0900041","CADE27","2"
125,"STY0900041","PIPO","3"
126,"STY0900036","CADE27","1"
127,"STY0900036","PIPO","2"
128,"STY0900033","PIPO","1"
129,"STY0900033","CADE27","2"
130,"STY0900033","PILA","3"
131,"STY0900028","PIPO","1"
132,"STY0900028","PILA","2"
133,"STY0900028","CADE27","3"
134,"STY0900028","ABCO","4"
135,"STY0900024","PIPO","1"
136,"STY0900024","CADE27","2"
137,"STY0900024","ABCO","3"
138,"STY0900024","PILA","4"
139,"STY0900023","PIPO","1"
140,"STY0900023","CADE27","2"
141,"STY0900023","ABCO","3"
142,"STY0900052","JUOC","1"
143,"STY0900052","PIJE","2"
144,"STY0900052","PIPO","3"
145,"STY0900053","PIJE","1"
146,"STY0900053","PIPO","2"
147,"STY0900053","JUOC","3"
148,"STY0900043","JUOC","1"
149,"STY0900043","PIJE","2"
150,"STY0900042","JUOC","1"
151,"STY0900042","PIPO","2"
152,"STY0900042","PIJE","3"
153,"STY0900050","PIJE","1"
154,"STY0900050","PIPO","2"
155,"STY0900038","JUOC","1"
156,"STY0900038","PIJE","2"
157,"STY0900038","PIPO","3"
158,"STY0900031","JUOC","1"
159,"STY0900031","PIJE","2"
160,"STY0900031","PIPO","3"
161,"STY0900031","QUKE","4"
162,"STY0900030","PIJE","1"
163,"STY0900030","PIPO","2"
164,"STY0900030","QUKE","3"
165,"STY0900019","PIJE","1"
166,"STY0900019","PIPO","2"
167,"STY0900019","QUKE","3"
168,"STY0900014","PIJE","1"
169,"STY0900014","PIPO","2"
170,"STY0900013","PIJE","1"
171,"STY0900013","PIPO","2"
172,"STY0900013","QUKE","3"
173,"STY0900017","PIPO","1"
174,"STY0900017","PIJE","2"
175,"STY0900017","CADE27","3"
176,"STY0900017","PILA","4"
177,"STY0900012","PIJE","1"
178,"STY0900012","PIPO","2"
179,"STY0900012","QUKE","3"
180,"STY0900012","CADE27","4"
181,"STY0900018","JUOC","1"
182,"STY0900018","PIJE","2"
183,"STY0900018","PIPO","3"
184,"STY0900021","PIJE","1"
185,"STY0900021","PIPO","2"
186,"STY0900021","QUKE","3"
187,"STY0900027","PIJE","1"
188,"STY0900027","PIPO","2"
189,"STY0900026","JUOC","1"
190,"STY0900026","PIPO","2"
191,"STY0900026","QUKE","3"
192,"PWR0900215","PIPO","1"
193,"PWR0900215","QUCH2","2"
194,"PWR0900215","QUKE","3"
195,"PWR0900214","PIPO","1"
196,"PWR0900214","CADE27","2"
197,"PWR0900214","QUKE","3"
198,"PWR0900214","QUCH2","4"
199,"PWR0900207","PIPO","1"
200,"PWR0900207","CADE27","2"
201,"PWR0900207","QUCH2","3"
202,"PWR0900206","PIPO","1"
203,"PWR0900206","QUCH2","2"
204,"PWR0900180","PIPO","1"
205,"PWR0900180","PIJE","2"
206,"PWR0900180","CADE27","3"
207,"PWR0900180","QUCH2","4"
208,"PWR0900180","QUKE","5"
209,"PWR0900194","PIPO","1"
210,"PWR0900194","PIJE","2"
211,"PWR0900194","CADE27","3"
212,"PWR0900194","QUCH2","4"
213,"PWR0900182","PIPO","1"
214,"PWR0900182","PIJE","2"
215,"PWR0900182","CADE27","3"
216,"PWR0900182","QUCH2","4"
217,"PWR0900182","QUKE","5"
218,"PWR0900183","PIPO","1"
219,"PWR0900183","PIJE","2"
220,"PWR0900183","CADE27","3"
221,"PWR0900183","QUKE","4"
222,"PWR0900183","QUCH2","5"
223,"PWR0900195","PIPO","1"
224,"PWR0900195","PIJE","2"
225,"PWR0900195","CADE27","3"
226,"PWR0900195","ABCO","4"
227,"PWR0900195","QUCH2","5"
228,"PWR0900195","QUKE","6"
229,"PWR0900181","PIPO","1"
230,"PWR0900181","PIJE","2"
231,"PWR0900181","CADE27","3"
232,"PWR0900181","QUCH2","4"
233,"PWR0900181","QUKE","5"
234,"PWR0900173","PIPO","1"
235,"PWR0900173","QUCH2","2"
236,"PWR0900173","CADE27","3"
237,"PWR0900172","CADE27","1"
238,"PWR0900172","QUCH2","2"
239,"PWR0900172","QUKE","3"
240,"PWR0900172","PIPO","4"
241,"PWR0900163","PIPO","1"
242,"PWR0900163","PIJE","2"
243,"PWR0900163","CADE27","3"
244,"PWR0900163","QUKE","4"
245,"PWR0900163","QUCH2","5"
246,"PWR0900162","PIPO","1"
247,"PWR0900162","PIJE","2"
248,"PWR0900162","CADE27","3"
249,"PWR0900162","QUKE","4"
250,"PWR0900160","PIPO","1"
251,"PWR0900160","CADE27","2"
252,"PWR0900160","PIJE","3"
253,"PWR0900160","ABCO","4"
254,"PWR0900160","QUCH2","5"
255,"PWR0900159","PIPO","1"
256,"PWR0900159","CADE27","2"
257,"PWR0900159","PILA","3"
258,"PWR0900159","PIJE","4"
259,"PWR0900159","ABCO","5"
260,"PWR0900159","QUCH2","6"
261,"PWR0900151","CADE27","1"
262,"PWR0900151","QUCH2","2"
263,"PWR0900151","ABIES","3"
264,"PWR0900151","PIPO","4"
265,"PWR0900150","PIPO","1"
266,"PWR0900150","CADE27","2"
267,"PWR0900150","QUKE","3"
268,"PWR0900150","QUCH2","4"
269,"PWR0900149","CADE27","1"
270,"PWR0900149","QUKE","2"
271,"PWR0900149","ABCO","3"
272,"PWR0900149","PIPO","4"
273,"PWR0900149","PILA","5"
274,"PWR0900148","PIPO","1"
275,"PWR0900148","CADE27","2"
276,"PWR0900148","QUCH2","3"
277,"PWR0900148","PILA","4"
278,"PWR0900148","ABIES","5"
279,"PWR0900146","PIPO","1"
280,"PWR0900146","QUCH2","2"
281,"PWR0900146","QUKE","3"
282,"PWR0900146","PSME","4"
283,"PWR0900146","PILA","5"
284,"PWR0900145","PIPO","1"
285,"PWR0900145","QUCH2","2"
