"ID","Regen_Plot","Fire","Date","Observers","Year of Fire","Photos","Datum","Easting","Northing","aspect","slope","parent1","parent2","BARE","ROCK","VEG (BASAL '10)","LITT","CWD","SHRUB","FORBE","GRASS","HARDWOOD","CONIFER","DEAD_OCC","LIVE_OCC","CALVEG_OBS","FIRE_SEV","HIST1","HIST2","HIST3","DUFF_cm","LITT_cm","BA_total_count","BA_live_count","BA_dead_count","NOTES","HERBS","UNDERSTORY VEG","TREE_live only","BAF","BA Total1","BA Live1","BA Dead1"
325,"SHR0900004","SHOWERS",6/17/2009 0:00:00,"kw/bs",2002.00,"1172","NAD83 UTM zone 10",759826.96,4297280.85,32.00,54.00,"gran",,0.50,40.00,30.00,15.00,15.00,32.00,,,,,,,"1",4.00,,,,4.00,0.50,2,1,1,,,,,20,40,20,20
326,"SHR0900009","SHOWERS",6/17/2009 0:00:00,"kw/bs",2002.00,"1170","NAD83 UTM zone 10",759832.00,4297082.00,30.00,6.00,"gran",,0.50,0.00,40.00,50.00,10.00,21.00,,,,,2.00,0.00,"1",5.00,,,,1.80,0.20,7,0,7,"5 dead trees in plot.  Wet area.",,,,20,140,0,140
327,"SHR0900007","SHOWERS",6/17/2009 0:00:00,"kw/bs",2002.00,"1175","NAD83 UTM zone 10",759435.03,4297076.15,304.00,22.00,"gran",,1.00,2.00,90.00,1.00,5.00,90.00,,,,,1.00,0.00,"1",5.00,,,,0.00,1.00,5,0,5,,,,,20,100,0,100
328,"SHR0900001","SHOWERS",6/17/2009 0:00:00,"kw/bs",2002.00,"1177","NAD83 UTM zone 10",759024.28,4297256.58,18.00,8.00,"gran",,15.00,5.00,5.00,65.00,10.00,3.00,,,,,0.00,2.00,"1",4.00,,,,0.00,1.00,2,1,1,,,,,20,40,20,20
329,"SHR0900011","SHOWERS",6/17/2009 0:00:00,"hs/kw/bs",2002.00,"1163","NAD83 UTM zone 10",759439.00,4296868.00,330.00,42.00,"gran",,25.00,25.00,15.00,30.00,2.00,10.00,,,,,0.00,0.00,"1",3.00,,,,1.00,2.00,4,1,3,,,,,20,80,20,60
330,"SHR0900008","SHOWERS",6/17/2009 0:00:00,"kw/bs",2002.00,"1166","NAD83 UTM zone 10",759631.02,4297079.55,318.00,5.00,"gran",,3.00,10.00,45.00,32.00,20.00,32.00,,,,,0.50,0.00,"1",5.00,,,,3.50,1.00,3,0,3,,,,,20,60,0,60
331,"SHR0900003","SHOWERS",6/17/2009 0:00:00,"kw/bs",2002.00,"1173","NAD83 UTM zone 10",759624.98,4297275.99,71.00,20.00,"gran",,25.00,10.00,20.00,35.00,10.00,17.00,,,,,0.00,0.00,"1",4.00,,,,2.00,0.50,3,0,3,,,,,20,60,0,60
332,"SHR0900002","SHOWERS",6/17/2009 0:00:00,"kw/bs",2002.00,"1174","NAD83 UTM zone 10",759424.87,4297270.98,256.00,44.00,"gran",,55.00,10.00,30.00,5.00,0.00,25.00,,,,,0.00,0.00,"1",4.00,,,,0.00,1.00,0,0,0,,,,,20,0,0,0
334,"SHR0900006","SHOWERS",6/17/2009 0:00:00,"kw/bs",2002.00,"1176","NAD83 UTM zone 10",759230.44,4297064.70,202.00,12.00,"gran",,1.00,60.00,10.00,30.00,0.00,10.00,,,,,15.00,0.00,"1",3.00,,,,0.50,1.50,1,0,1,,,,,20,20,0,20
335,"STY0900039","STRAYLOR",7/16/2009 0:00:00,"cc/eo",2004.00,"2837","WGS84 UTM zone 10",662298.00,4521647.00,337.00,22.00,"volc",,17.00,3.00,50.00,10.00,20.00,40.00,7.00,3.00,,,0.50,0.00,"1",5.00,,,,0.00,0.30,0,0,0,"Some salvage in outlying areas.",,,,20,0,0,0
336,"STY0900047","STRAYLOR",7/16/2009 0:00:00,"cc/eo",2004.00,,"WGS84 UTM zone 10",662505.00,4521454.00,89.00,9.00,"volc",,63.00,0.50,22.00,15.00,2.00,6.00,8.00,8.00,,,0.00,0.00,"1",5.00,,,,0.00,0.10,0,0,0,"Area salvaged, not planted.  Few shrubs, closest former QUKEs didn't resprout.  Lots tamsy mustard, salvage litter.",,,,20,0,0,0
337,"STY0900040","STRAYLOR",7/16/2009 0:00:00,"cc/eo",2004.00,"2835","WGS84 UTM zone 10",662698.00,4521660.00,358.00,15.00,"volc",,3.00,0.50,71.00,5.00,20.00,71.00,0.50,1.00,,,0.50,0.00,"1",5.00,,,,0.10,0.50,2,0,2,"Hillside above salvaged, lots of blown down small/med trees in plot.  Heavy CEPR cover.",,,,20,40,0,40
339,"STY0900048","STRAYLOR",7/16/2009 0:00:00,"cc/eo",2004.00,"2834","WGS84 UTM zone 10",662705.00,4521461.00,285.00,13.00,"volc",,15.00,35.00,35.00,15.00,1.00,4.00,4.00,27.00,,,0.00,0.00,"1",4.00,,,,0.00,1.00,0,0,0,"Few trees in immediate area.",,,,20,0,0,0
340,"STY0900051","STRAYLOR",7/16/2009 0:00:00,"cc/eo",2004.00,"2833","WGS84 UTM zone 10",662711.00,4521260.00,108.00,4.00,"volc",,5.00,1.00,90.00,4.00,0.00,0.00,5.00,85.00,,,20.00,0.00,"1",4.00,,,,,,2,0,2,"Almost under big dead JUOC, some fescue, other native grasses, BASA, near ridgetop.",,,,20,40,0,40
341,"STY0900055","STRAYLOR",7/16/2009 0:00:00,"cc/eo",2004.00,"2832","WGS84 UTM zone 10",662718.00,4521060.00,108.00,18.50,"volc",,24.00,25.00,30.00,20.00,1.00,3.00,8.00,19.00,,,0.00,0.00,"1",5.00,,,,0.00,0.50,1,0,1,"Just 4 m South of ""cutting unit boundry"" sign, just downhill from old road.  Logging slash as litter.",,,,20,20,0,20
342,"STY0900056","STRAYLOR",7/16/2009 0:00:00,"cc/eo",2004.00,"2831","WGS84 UTM zone 10",662925.00,4520867.00,48.00,20.00,"volc",,2.00,53.00,36.00,7.00,2.00,18.00,3.00,15.00,,,,,"1",5.00,,,,0.00,0.50,3,0,3,"Salvaged downhill, possibly planted downhill.",,,,20,60,0,60
343,"STY0900061","STRAYLOR",7/16/2009 0:00:00,"cc/eo",2004.00,"2830","WGS84 UTM zone 10",662931.00,4520668.00,290.00,28.00,"volc",,5.00,59.00,32.00,3.00,1.00,3.00,9.00,20.00,,,3.00,0.00,"1",5.00,,,,0.00,1.00,2,0,2,"Top of ridge.",,,,20,40,0,40
