"ID","Regen_Plot","COUNT TOTAL","Species","5yr","6yr","7yr","8yr","9yr","10yr","11yr","12yr","._sprouts","DBH (cm)","talst_age","tallest_ht_cm","tallest_lastyr_cm"
3,"PNP1110069","1","CONU4",,,,,,,,1,10,"3.0",12.00,400.00,45.00
4,"PNP1110210","1","QUCH2",,,,,,,,1,4,"0.5",12.00,350.00,29.00
5,"PNP1110127","1","CONU4",,,,,,,,1,9,"1.7",12.00,260.00,38.00
15,"PNP1110210","1","QUKE",,,,,,,,1,5,"4",12.00,460.00,31.00
16,"PNP1110127","1","CONU4",,,,,,,,1,4,"0.6",12.00,170.00,27.00
17,"PNP1110189","1","CONU4",,,,,,,,1,4,"1.5",12.00,340.00,44.00
18,"PNP1110189","1","CONU4",,,,,,,,1,3,"2.0",12.00,400.00,36.00
19,"PNP1110189","1","ACMA",,,,,,,,1,5,"7.5",12.00,700.00,60.00
20,"PNP1110189","1","CONU4",,,,,,,,1,4,"3.0",12.00,400.00,41.00
21,"PNP1110189","1","CONU4",,,,,,,,1,5,"2.2",12.00,400.00,40.00
22,"PNP1110189","1","CONU4",,,,,,,,1,4,"2.0",12.00,310.00,36.00
24,"PNP1110011","1","CONU4",,,,,,1,,,5,"1.1",10.00,220.00,32.00
25,"PNP1110011","1","CONU4",,,,,1,,,,5,"0.8",9.00,180.00,30.00
26,"PNP1110011","1","CONU4",,,,,1,,,,4,"0.5",9.00,180.00,22.00
27,"PNP1110011","1","CONU4",,,,,1,,,,3,"1.0",9.00,160.00,26.00
28,"PNP1110011","1","LIDE3",,1,,,,,,,4,"0.4",6.00,140.00,25.00
29,"PNP1110011","1","LIDE3",,,,1,,,,,11,"0.8",8.00,180.00,26.00
30,"PNP1110011","1","LIDE3",,,,1,,,,,4,,8.00,135.00,11.00
31,"PNP1110011","1","LIDE3",,,,1,,,,,4,"0.7",8.00,150.00,23.00
32,"PNP1110002","1","LIDE3",,1,,,,,,,3,,6.00,80.00,10.00
33,"PNP1110002","1","LIDE3",1,,,,,,,1,7,"1.0",12.00,200.00,20.00
34,"PNP1110002","1","LIDE3",,,,,,,,,2,,2.00,15.00,8.00
35,"PNP1110111","3","LIDE3",2,,,,1,,,,9,"1.0",9.00,155.00,24.00
36,"PNP1110111","1","ARME",,1,,,,,,,7,"1.5",6.00,225.00,30.00
37,"PNP1110111","1","LIDE3",,,1,,,,,,8,,7.00,95.00,22.00
38,"PNP1110111","1","LIDE3",,,,,,,,,5,,4.00,50.00,20.00
39,"PNP1110111","1","LIDE3",,1,,,,,,,6,,6.00,85.00,19.00
40,"PNP1110111","1","LIDE3",,1,,,,,,,4,,6.00,70.00,22.00
41,"PNP1110107","1","LIDE3",,,,,,,,1,8,"2.0",12.00,250.00,18.00
42,"PNP1110107","1","LIDE3",,,,,,,,1,7,"1.5",12.00,225.00,20.00
43,"PNP1110107","1","CONU4",,,,,,,,1,12,"2.0",12.00,300.00,19.00
44,"PNP1110107","1","LIDE3",,,,,,,,1,10,"2.5",12.00,280.00,23.00
45,"PNP1110107","2","LIDE3",1,,,,,,,1,5,"3.0",12.00,300.00,12.00
46,"PNP1110107","1","LIDE3",,,,,,,,1,7,"3.0",12.00,350.00,28.00
47,"PNP1110107","1","CONU4",,,,,,,,1,11,"5.5",12.00,400.00,22.00
48,"PNP1110109","1","LIDE3",,,,,1,,,,12,"1.8",9.00,150.00,17.00
49,"PNP1110109","1","LIDE3",,,,,,,,,4,,4.00,70.00,20.00
50,"PNP1110109","1","LIDE3",,,,,,,,,4,,4.00,60.00,11.00
51,"PNP1110109","1","LIDE3",,1,,,,,,,6,,6.00,100.00,17.00
53,"PNP1110109","1","LIDE3",,,,,,,,,3,,3.00,40.00,16.00
54,"PNP1110109","1","LIDE3",,1,,,,,,,6,,6.00,120.00,15.00
55,"PNP1110109","1","CONU4",1,,,,,,,,10,,5.00,110.00,19.00
56,"PNP1110038","1","ACMA",,,,,,,,1,2,"2.5",12.00,400.00,30.00
57,"PNP1110128","1","CONU4",,,,,,,1,,6,"3.5",11.00,500.00,33.00
58,"PNP1110128","1","LIDE3",,,,,,,,1,4,"4.0",12.00,570.00,45.00
59,"PNP1110128","1","CONU4",,,,,1,,,,4,"2.0",9.00,400.00,40.00
60,"PNP1110128","1","LIDE3",,,,,,,,1,2,"2.3",12.00,350.00,33.00
61,"PNP1110128","1","LIDE3",,,1,,,,,,2,"0.4",7.00,200.00,22.00
62,"PNP1110165","1","ARME",,,,,,,,1,9,"3.0",12.00,450.00,20.00
63,"BST1100350","6","ALNUS",6,,,,,,,,9,"3.2",5.00,450.00,59.00
64,"PNP1110123","1","LIDE3",,,,,,,,1,8,"4.0",12.00,500.00,25.00
65,"PNP1110123","1","LIDE3",,,,,,,,1,14,"6.5",12.00,600.00,30.00
66,"PNP1110123","1","LIDE3",,,,,,,,1,3,"0.7",12.00,200.00,20.00
67,"PNP1110123","1","LIDE3",,,,,,,,1,17,"3.0",12.00,450.00,20.00
68,"PNP1110123","1","LIDE3",,,,,,,,1,2,"0.5",12.00,200.00,20.00
69,"PNP1110123","1","LIDE3",,,,,,,,1,4,"3.8",12.00,500.00,26.00
70,"PNP1110123","1","LIDE3",,,,,,,,1,7,"6",12.00,550.00,15.00
71,"PNP1110123","1","ARME",,,,,,,,1,1,"4.0",12.00,460.00,40.00
72,"PNP1110233","1","LIDE3",,,,1,,,,,10,"1",8.00,250.00,32.00
