"ID","Regen_Plot","DBH (cm)","type","Species","3 yr","4yr","5yr","6yr","7yr","8yr","9yr","10yr","11+yr","seed_veg_plant","tallest_ht_cm","tallest_age","tallest_lastyr_cm","number_sprouts"
10,"PNT1000071","1.4","h","QUKE",,,,,1,,,,,"S",250.00,7.00,,0.00
14,"PNT1000068","1.8","c","PIPO",,,,1,,,,,,"S",180.00,6.00,,0.00
32,"PNT1000058","1.2","c","PSME",,,,,1,,,,,"S",200.00,7.00,,0.00
34,"PNT1000058",".3","c","PSME",,,,1,,,,,,"S",140.00,6.00,,0.00
40,"PNT1000077","2.1","h","QUKE",,,,,,1,,,,"S",280.00,8.00,,4.00
42,"PNT1000077","4.3","c","PIPO",,,,,1,,,,,"S",260.00,7.00,,0.00
44,"PNT1000077","2.1","h","QUKE",,,,,,1,,,,"S",350.00,8.00,,5.00
49,"PNT1000034","2.1","c","PILA",,,,,,1,,,,"S",200.00,8.00,,0.00
54,"PNT1000034","1.9","c","PSME",,,,,1,,,,,"S",220.00,7.00,,0.00
56,"PNT1000034","1.7","h","CONU4",,1,,,,,,,,"S",170.00,4.00,,0.00
61,"PNT1000034","4","h","CONU4",,,,1,,,,,,"S",430.00,6.00,,0.00
65,"PNT1000127","1","h","CONU4",,,,1,,,,,,"S",200.00,6.00,,0.00
66,"PNT1000097","3.5","c","PIPO",,,,,,,,,,"P",230.00,,,0.00
69,"PNT1000114","7.2","c","PIPO",,,,,,,,,,"P",300.00,,,0.00
71,"PNT1000067","2.5","c","PSME",,,,,,,,,,"S",230.00,,,
72,"PNT1000067","2.5","h","QUKE",,,,,,,,,,"S",240.00,,,
75,"PNT1000055","6.2","c","PIPO",,,,,,,,1,,"P",420.00,10.00,,0.00
77,"PNT1000055","1","h","ARME",,,,,1,,,,,"S",200.00,7.00,,2.00
79,"PNT1000038","1","c","CADE27",,,,,,,,,,"S",220.00,,,
80,"PNT1000038","14.1","c","PIPO",,,,,,,,,,"P",517.00,,,
81,"PNT1000038","14.4","c","PIPO",,,,,,,,,,"P",546.00,,,
85,"PNT1000029","2.4","h","ARME",,,,,,,,,,"S",350.00,,,
91,"PNT1000126","1.5","h","LIDE3",,,,,,,,,1,"S",220.00,11.00,,3.00
93,"PNT1000126","1","h","LIDE3",,,,,,,,,1,"S",200.00,11.00,,1.00
99,"PNT1000096","1.6","c","ABCO",,,,,,,,1,,"P",210.00,10.00,,
100,"PNT1000096","1.5","c","PSME",,,,,,,,1,,"P",300.00,10.00,,
102,"PNT1000096","1","c","ABCO",,,,,,,,1,,"P",200.00,10.00,,
106,"PNT1000001","3.5","h","ARME",,,,,16,8,12,1,,"S",280.00,10.00,,0.00
109,"PNT1000001","1","c","PSME",,,,,,,,1,,"P",180.00,10.00,,0.00
111,"PNT1000005","1.5","h","ARME",,,,,3,1,,,,"S",200.00,8.00,,0.00
112,"PNT1000005","4.2","c","PIPO",,,,,1,,,,,"P",400.00,7.00,,0.00
113,"PNT1000005","1.2","c","PSME",,,,,,,,1,,"P",200.00,10.00,,0.00
115,"PNT1000005","4.5","h","QUCH2",,,,,,,,,,"S",420.00,,,0.00
116,"PNT1000005","2","h","LIDE3",,,,,,1,,,,"S",220.00,8.00,,0.00
119,"PNT1000002","5.2","h","LIDE3",,,,,,,,1,,"S",450.00,10.00,,0.00
121,"PNT1000139","1.7","h","LIDE3",,,,,,,1,,,"S",230.00,9.00,,5.00
122,"PNT1000139","2.8","h","LIDE3",,,,,,1,,,,"S",300.00,8.00,,3.00
123,"PNT1000139","1.9","h","LIDE3",,,,,1,,,,,"S",250.00,7.00,,3.00
126,"PNT1000139","2.8","h","CONU4",,,,,1,,,,,"S",280.00,7.00,,1.00
135,"PNT1000105",".75","h","LIDE3",,,,,1,,,,,"S",165.00,7.00,,1.00
138,"PNT1000105",".3","h","CONU4",,,,1,,,,,,"S",130.00,6.00,,0.00
139,"PNT1000105",".5","h","LIDE3",,,,,1,,,,,"S",200.00,7.00,,0.00
140,"PNT1000105","3.1","h","LIDE3",,,,,,,1,,,"S",380.00,9.00,,1.00
147,"PNT1000090","1.5","h","LIDE3",,,,,1,,,,,"S",230.00,7.00,,0.00
148,"PNT1000090",".3","h","LIDE3",,,,,1,,,,,"S",130.00,7.00,,4.00
149,"PNT1000090","7.5","c","PIPO",,,,,,1,,,,"P",400.00,8.00,,0.00
153,"PNT1000090","1","h","LIDE3",,,,,1,,,,,"S",200.00,7.00,,3.00
154,"PNT1000113","2.5","h","CONU4",,,,,1,,,,,"S",400.00,7.00,,1.00
159,"PNT1000113","3.3","h","LIDE3",,,,,,1,,,,"S",300.00,8.00,,0.00
164,"PNT1000131","3.5","h","ARME",,,,,,1,,,,"S",380.00,8.00,,0.00
165,"PNT1000131","1.4","h","ARME",,,,,1,,,,,"S",230.00,7.00,,1.00
166,"PNT1000131","1.8","h","ARME",,,,,1,,,,,"S",280.00,7.00,,1.00
167,"PNT1000131","5.7","h","ARME",,,,,,,,,1,"S",550.00,11.00,,2.00
168,"PNT1000131","3.4","h","ARME",,,,,,1,,,,"S",320.00,8.00,,1.00
169,"PNT1000131","2.5","h","ARME",,,,,1,,,,,"S",220.00,7.00,,1.00
171,"PNT1000106","15.6","c","PIPO",,,,,,,,,1,"P",500.00,11.00,,0.00
172,"PNT1000106","13.1","c","PIPO",,,,,,,,,1,"P",490.00,11.00,,0.00
173,"PNT1000106","13.9","c","PIPO",,,,,,,,,1,"P",510.00,11.00,,0.00
174,"PNT1000106","1.5","c","PSME",,,,1,,,,,,"S",2.00,6.00,,0.00
176,"PNT1000106","1.5","h","ARME",,,,1,,,,,,"S",220.00,6.00,,1.00
178,"PNT1000023","4.5","c","PIPO",,,,1,,,,,,"S",320.00,6.00,,0.00
180,"PNT1000135","1.2","h","ARME",,,,1,,,,,,"S",200.00,6.00,,0.00
181,"PNT1000135","1.2","h","ARME",,,,1,,,,,,"S",200.00,6.00,,0.00
182,"PNT1000135","3.4","c","CADE27",,,,,,,1,,,"S",220.00,9.00,,0.00
183,"PNT1000135","3.3","h","ARME",,,,,,1,,,,"S",250.00,8.00,,0.00
184,"PNT1000135","2","h","ARME",,,,1,,,,,,"S",210.00,6.00,,0.00
185,"PNT1000135","4.6","h","ARME",,,,,,1,,,,"S",430.00,8.00,,0.00
186,"PNT1000135","1.2","h","CONU4",,,,1,,,,,,"S",240.00,6.00,,0.00
188,"PNT1000135","1.1","h","CONU4",,,1,,,,,,,"S",220.00,5.00,,0.00
190,"PNT1000135","1","h","CONU4",,,,1,,,,,,"S",210.00,6.00,,0.00
191,"PNT1000135","2.7","h","LIDE3",,,,,,1,,,,"S",230.00,8.00,,0.00
192,"PNT1000135",".4","c","PSME",,,,,1,,,,,"S",180.00,7.00,,0.00
194,"PNT1000135","1.1","h","LIDE3",,,,,1,,,,,"S",200.00,7.00,,0.00
195,"PNT1000135","1.75","h","ARME",,,1,,,,,,,"S",180.00,5.00,,0.00
196,"PNT1000135","1.5","h","CONU4",,,,,1,,,,,"S",240.00,7.00,,0.00
197,"PNT1000135","1.3","h","ARME",,,1,,,,,,,"S",200.00,5.00,,0.00
198,"PNT1000135",".9","h","ARME",,,1,,,,,,,"S",195.00,5.00,,0.00
201,"PNT1000135","1.7","h","ARME",,,,1,,,,,,"S",200.00,6.00,,0.00
202,"PNT1000135","2.9","c","CADE27",,,,,,1,,,,"S",230.00,8.00,,0.00
203,"PNT1000135","1.9","h","LIDE3",,,,1,,,,,,"S",230.00,6.00,,1.00
