"OldPLOTID","Regen_Plot","modal_ht_ft","Species","Cover","ID","modal_ht_cm","comments"
,"SHR0900004",,"CECO",2.00,726,,
,"SHR0900009",,"SASC",20.00,727,,
,"SHR0900009",,"RIRO",1.00,728,,
,"SHR0900004",,"SASC",15.00,729,,
,"SHR0900004",,"RIBES",15.00,730,,
,"SHR0900007",,"CECO",75.00,731,,
,"SHR0900007",,"ARPA6",0.50,732,,
,"SHR0900007",,"QUVA",15.00,733,,
,"SHR0900007",,"SYRO",0.50,734,,
,"SHR0900001",,"CECO",0.50,736,,
,"SHR0900001",,"QUVA",3.00,737,,
,"SHR0900001",,"ARNE",0.50,738,,
,"SHR0900001",,"RIBES",0.50,739,,
,"SHR0900001",,"SASC",0.50,740,,
,"SHR0900011",,"ARNE",10.00,742,,
,"SHR0900008",,"CECO",30.00,743,,
,"SHR0900008",,"RIBES",1.00,744,,
,"SHR0900008",,"ARPA6",0.50,745,,
,"SHR0900008",,"SYRO",0.50,746,,
,"SHR0900003",,"ARNE",0.50,747,,
,"SHR0900003",,"ARPA6",0.50,748,,
,"SHR0900003",,"QUVA",1.00,749,,
,"SHR0900003",,"CECO",15.00,750,,
,"SHR0900002",,"CECO",0.50,751,,
,"SHR0900002",,"ARPA6",5.00,752,,
,"SHR0900002",,"QUVA",20.00,753,,
,"SHR0900002",,"SYRO",0.50,754,,
,"SHR0900006",,"QUVA",9.00,763,,
,"SHR0900006",,"CECO",1.00,765,,
,"STY0900039",,"CEPR",40.00,766,5.00,
,"STY0900039",,"ARPA6",0.50,767,20.00,
,"STY0900047",,"CEPR",6.00,768,6.00,
,"STY0900040",,"CEPR",70.00,772,8.00,
,"STY0900048",,"CEPR",2.00,775,6.00,
,"STY0900048",,"CECU",2.00,776,60.00,
,"STY0900051",,"CEPR",0.50,777,10.00,
,"STY0900055",,"CEPR",2.00,778,6.00,
,"STY0900055",,"SANIC5",1.00,779,60.00,
,"STY0900056",,"CEPR",15.00,780,5.00,
,"STY0900056",,"PRSU2",3.00,781,85.00,
,"STY0900061",,"CEPR",1.00,782,5.00,
,"STY0900061",,"SYRO",1.00,783,30.00,
,"STY0900061",,"CEVE",1.00,784,45.00,
,"STY0900059",,"PRSU2",2.00,785,80.00,
,"STY0900059",,"CEPR",3.00,786,5.00,
,"STY0900059",,"RICE",0.50,787,85.00,
,"STY0900059",,"RIVE",0.50,788,70.00,
,"STY0900060",,"CEPR",56.00,789,5.00,
,"STY0900060",,"ARPA6",3.00,790,15.00,
,"STY0900064",,"ARPA6",0.50,791,15.00,
,"STY0900064",,"CEPR",0.50,792,5.00,
,"STY0900063",,"CEPR",4.00,793,5.00,
,"STY0900046",,"CEPR",25.00,794,5.00,
,"STY0900046",,"ARPA6",0.50,795,10.00,
,"STY0900045",,"CEPR",0.50,796,5.00,
,"STY0900002",,"CEPR",3.00,797,5.00,
,"STY0900002",,"PUTR2",0.50,798,10.00,
,"STY0900006",,"CEPR",30.00,799,5.00,
,"STY0900009",,"CEPR",1.00,800,5.00,
,"STY0900078",,"ARPA6",1.00,801,50.00,
,"STY0900078",,"PRVI",3.00,802,165.00,
,"STY0900077",,"SAMBU",10.00,803,125.00,
,"STY0900077",,"PRSU2",1.00,804,45.00,
,"STY0900044",,"CEPR",1.00,805,35.00,
,"STY0900044",,"PUTR2",20.00,806,15.00,
,"STY0900076",,"CEPR",5.00,807,5.00,
,"STY0900076",,"RINE",0.50,808,30.00,
,"STY0900075",,"PUTR2",0.50,809,40.00,
,"STY0900071",,"CEPR",30.00,810,5.00,
,"STY0900072",,"ARPA6",0.50,811,20.00,
,"STY0900072",,"CEPR",10.00,812,5.00,
,"STY0900065",,"CEVE",5.00,813,35.00,
,"STY0900065",,"SYMO",1.00,814,70.00,
,"STY0900065",,"AMELA",0.50,815,100.00,
,"STY0900066",,"CEVE",1.00,816,30.00,
,"STY0900066",,"CEPR",40.00,817,5.00,
,"STY0900066",,"ARPA6",1.00,818,30.00,
,"STY0900062",,"CEPR",20.00,819,5.00,
,"STY0900062",,"CEVE",5.00,820,60.00,
,"STY0900062",,"ARPA6",1.00,821,20.00,
,"STY0900058",,"CEPR",1.00,822,5.00,
,"STY0900058",,"ARPA6",35.00,823,85.00,
,"STY0900057",,"ARPA6",33.00,824,45.00,
,"STY0900057",,"SYRO",5.00,825,75.00,
,"STY0900057",,"UNK_2",0.50,826,60.00,"legume shrub"
,"STY0900057",,"PRSU2",10.00,827,95.00,
,"STY0900057",,"CEVE",2.00,828,70.00,
,"STY0900057",,"CEPR",0.50,829,5.00,
,"STY0900005",,"UNK_2",20.00,830,150.00,"unk 5 red stems"
,"STY0900005",,"SAMBU",0.50,831,80.00,
,"STY0900008",,"UNK_2",20.00,832,125.00,"unk 4"
,"STY0900008",,"UNK_2",10.00,833,115.00,"unk 7 leaves similar to poison oak"
,"STY0900011",,"ARPA6",5.00,834,50.00,
,"STY0900011",,"UNK_2",20.00,835,55.00,"unk 3"
,"STY0900011",,"UNK_2",0.50,836,65.00,"rose/berry"
,"STY0900011",,"CEPR",10.00,837,5.00,"unk 1"
