OldPLOTID,Regen_Plot,DBH,ID,Species,comments
,SHR0900001,10.2,207,PIJE,
,STY0900075,9.5,209,JUOC,
,STY0900075,5.9,210,JUOC,
,STY0900075,7.2,211,JUOC,
,STY0900075,5.6,212,JUOC,
,STY0900075,15.6,213,JUOC,
,STY0900043,,214,JUOC,"70 cm tall, 15 yr old"
,STY0900018,2.5,215,JUOC,
,PWR0900214,17.7,216,QUKE,
,PWR0900207,5.6,217,CADE27,
,PWR0900159,31.8,218,CADE27,
,PWR0900140,11.6,219,PIPO,
,PWR0900120,12,220,QUCH2,
,PWR0900120,11.2,221,QUCH2,
,PWR0900095,18.1,222,PIPO,
,PWR0900079,39.1,223,PIPO,
,PWR0900042,35.25,224,ABCO,
,PWR0900026,11,225,CADE27,
,PWR0900026,27,226,CADE27,
,PWR0900026,6.9,227,ABCO,
,PWR0900026,20.3,228,ABCO,
,PWR0900026,16.25,229,ABCO,
,PWR0900026,6.6,230,ABCO,
,PWR0900127,9.2,231,QUCH2,
,PWR0900152,3.3,232,QUCH2,
,PWR0900101,17,233,PIPO,
,PWR0900260,9.6,234,PIPO,
,PWR0900028,32.65,235,PIPO,
,PWR0900028,32.9,236,PIPO,
,PWR0900029,,237,QUCH2,"2.2 m tall, 13 yrs old"
,PWR0900029,3.65,238,PIPO,
,PWR0900029,12.6,239,CADE27,
,PWR0900024,8,240,PIPO,
,PWR0900024,9.9,241,PIPO,
,PWR0900024,17.4,242,CADE27,
,STY0900041,13.8,243,PIPO,
,STY0900041,3.1,244,JUOC,
,PWR0900277,3.3,246,QUCH2,
,PWR0900277,4.8,247,QUCH2,
,PWR0900244,9.7,248,QUCH2,
,PWR0900225,44.3,249,PIPO,
,PWR0900190,14.9,250,QUKE,
,PWR0900190,11.6,251,CADE27,
,PWR0900190,13.45,252,QUKE,
,PWR0900191,10.4,253,QUCH2,
,PWR0900191,9.9,254,QUCH2,
,PWR0900191,4.1,255,QUCH2,
,PWR0900272,31.3,256,PIPO,
,PWR0900261,45.3,257,PILA,
,PWR0900283,54.5,258,QUKE,
,PWR0900139,3.4,259,QUCH2,
,FRD0900035,17.3,260,PIPO,
,FRD0900122,16.4,262,CADE27,
,FRD0900122,10.5,263,PIPO,
,FRD0900071,10.1,264,QUCH2,
,FRD0900093,19.55,265,QUKE,
,FRD0900068,43.75,266,PSME,
,FRD0900045,18.5,267,PIPO,
,FRD0900045,14.4,268,QUCH2,
,FRD0900045,17.6,269,QUCH2,
,FRD0900045,18.1,270,QUCH2,
,FRD0900045,41.2,271,QUCH2,3 trunks together
,FRD0900135,18.9,272,QUKE,
,FRD0900062,8.2,273,CADE27,
,FRD0900062,6.7,274,QUCH2,
,FRD0900128,22.1,275,PIPO,
,FRD0900128,22.2,276,PIPO,
,FRD0900060,26.7,277,PIJE,
,FRD0900060,21.7,278,CADE27,
,FRD0900029,14.2,279,PIJE,
,FRD0900029,15,280,ABCO,
,FRD0900029,19.6,281,PIJE,
,FRD0900029,24.6,282,PIJE,
,FRD0900057,29.7,283,CADE27,
,FRD0900057,48.45,284,PIPO,
,FRD0900085,12.2,285,QUCH2,
,FRD0900110,24.75,287,CADE27,
,FRD0900131,19.7,288,ABCO,
,FRD0900130,6.3,289,QUCH2,
,FRD0900130,11.1,290,QUCH2,
,FRD0900130,7.3,291,QUCH2,
,FRD0900130,7.8,292,QUKE,
,FRD0900130,5.6,293,QUKE,
,DEP0900007,7.55,294,QUKE,
,DEP0900002,8.9,295,QUCH2,
,DEP0900004,10.3,296,QUKE,
,DEP0900004,17.1,297,QUKE,
,DEP0900004,5.6,298,QUKE,
,SHR0900016,34.6,299,PIJE,
,PNT1000068,32.9,300,QUKE,
,PNT1000077,78,301,PIPO,
,PNT1000126,21.2,302,CADE27,
,PNT1000126,27.6,303,CADE27,
,PNT1000126,44.25,304,CADE27,
,PNT1000126,25.1,305,PIPO,
,PNT1000001,23.7,306,PSME,
,PNT1000003,55.5,307,CADE27,
,PNT1000003,18.8,308,PSME,
,PNT1000003,29,309,LIDE3,
,PNT1000078,55,312,PIPO,
,PNT1000122,80,313,PSME,
,PNT1000021,26.7,314,CADE27,
,PNT1000021,40.1,315,ABCO,
,PNT1000021,22.9,316,LIDE3,
,PNT1000021,14.1,317,PSME,
,PNT1000027,23.5,318,QUCH2,
,PNT1000027,19.8,319,PIPO,
,PNT1000027,21.5,320,QUCH2,
,PNT1000006,25.8,321,PSME,
,PNT1000033,79,322,PIPO,
,PNT1000086,67,323,PSME,
,PNP1000027,23.7,324,PSME,
,PNP1000027,77,325,PSME,
,PNP1000033,53.1,326,QUKE,
,SPA1000042,42,327,PSME,
,SPA1000042,26.2,328,QUCH2,
,SPA1000042,27,329,QUCH2,
,SPA1000042,7.6,330,QUCH2,
,SPA1000042,10,331,QUCH2,
,SPA1000037,39.6,332,PSME,
,SPA1000037,55,333,PSME,
,SPA1000037,28.8,334,PSME,
,SPA1000108,139,335,PSME,
,SPA1000031,19.5,336,QUKE,
,SPA1000016,126,337,PILA,
,SPA1000026,110,338,PSME,
,SPA1000022,68,339,PSME,
,SPA1000022,33,340,PILA,
,SPA1000022,51,341,PIPO,
,SPA1000036,72.5,342,PILA,
,SPA1000036,24.5,343,PSME,
,SPA1000036,6,344,QUCH2,
,SPA1000036,10,345,QUCH2,
,SPA1000036,8,346,LIDE3,
,SPA1000047,55,347,QUKE,
,SPA1000135,58,348,PILA,
,SPA1000145,67,349,CADE27,
,SPA1000107,40,350,QUKE,
,SPA1000107,67,351,PSME,
,SPA1000107,32,352,PILA,
,SPA1000106,64,353,PIPO,
,SPA1000071,59,354,PIPO,
,SPA1000071,40,355,PIPO,
,SPA1000071,44,356,PIPO,
,HAR1000016,32.9,357,PIJE,
,HAR1000016,22.8,358,CADE27,
,HAR1000048,20.7,359,PIJE,
,HAR1000049,42,363,PIJE,
,HAR1000043,24.9,364,JUOC,
,HAR1000052,29.5,365,PIJE,
,HAR1000052,17.1,366,ABCO,
,HAR1000052,23.8,367,PIJE,
,HAR1000052,19.3,368,PIJE,
,HAR1000052,21.2,369,PIJE,
,HAR1000057,38,370,JUOC,
,HAR1000055,38,371,CADE27,
,HAR1000051,24.5,372,PIJE,
,HAR1000051,23.1,373,PIJE,
,HAR1000054,9,374,CADE27,
,HAR1000059,46.9,375,JUOC,
,HAR1000005,65,376,PIPO,
,HAR1000004,31,377,PIPO,
,HAR1000049,25.9,378,ABCO,
,HAR1000049,18.6,379,PIJE,
,HAR1000035,66.7,380,PIPO,
,HAR1000022,15.2,381,CADE27,
,HAR1000022,11.6,382,CADE27,
,HAR1000026,14.2,383,JUOC,
,HAR1000032,13.5,384,CADE27,
,HAR1000032,24.2,385,CADE27,
,HAR1000032,20,386,CADE27,
,HAR1000032,35,387,PIJE,
,HAR1000030,61,388,PIJE,
,HAR1000030,77,389,PIJE,
,SIM1000065,63,390,PSME,
,SIM1000098,26,391,LIDE3,
,SIM1000098,31.8,392,LIDE3,
,SIM1000090,76.5,395,PSME,
,SIM1000093,97.6,396,PSME,
,SIM1000091,28,397,PIPO,
,SIM1000092,24,398,LIDE3,
,SIM1000092,14.5,399,LIDE3,
,SIM1000092,11.9,400,QUCH2,
,SIM1000092,75,401,PSME,
,SIM1000092,29,402,PSME,
,SIM1000001,134,403,PSME,
,SIM1000003,28,404,QUKE,
