"ID","Regen_Plot","OldPLOTID","Count_total","0yr","Ct_1yr","Ct_2yr","Ct_3yr","Ct_4yr","Ct_5yr","6yr","7yr","8yr","9yr","10yr","11+yr","Type","Species","num_dead","seed_veg_plant","tallest_age","tallest_ht_cm","tallest_lastyr_cm","Remarks","number_sprouts"
68,"SHR0900004",,12.00,12,,,,,,,,,,,,"C","PINUS",0.00,"S",0.00,,0.00,,
69,"SHR0900004",,4.00,,,,,,,,,,,,,"C","PICO",0.00,"S",4.00,,,,
70,"SHR0900009",,67.00,67,,,,,,,,,,,,"C","PINUS",0.00,"S",0.00,5.00,0.00,,
71,"SHR0900009",,32.00,,,,,,,,,,,,,"C","ABCO",0.00,"S",6.00,25.00,,,
72,"SHR0900009",,7.00,,,,,,,,,,,,,"C","PICO",0.00,"S",5.00,67.00,,,
73,"SHR0900009",,1.00,,,,,,,,,,,,,"C","ABMA",0.00,"S",6.00,33.00,,,
74,"SHR0900009",,1.00,,,,,,,,,,,,,"C","PIJE",0.00,"S",2.00,6.00,,,
75,"SHR0900004",,58.00,,,,,,,,,,,,,"C","ABCO",0.00,"S",5.00,,,,
76,"SHR0900004",,2.00,,,,,,,,,,,,,"C","PIMO3",0.00,"S",4.00,,,,
77,"SHR0900007",,1.00,,,,,,1,,,,,,,"C","ABCO",0.00,"S",5.00,,,,
78,"SHR0900001",,10.00,,,,,,,,,,,,,"C","PIJE",0.00,"S",4.00,,,,
79,"SHR0900001",,35.00,,,,,,,,,,,,,"C","ABCO",1.00,"S",4.00,,,,
80,"SHR0900011",,3.00,,,,,,,,,,,,,"C","ABCO",0.00,"S",3.00,8.00,,,
81,"SHR0900011",,4.00,,,,,,,,,,,,,"C","PIJE",1.00,"S",1.00,6.80,,,
82,"SHR0900011",,3.00,,,,,,,,,,,,,"C","PINUS",0.00,"S",0.00,,,,
83,"SHR0900008",,1.00,,,,,,,,,,,,,"C","PINUS",0.00,"S",,,,,
84,"SHR0900008",,1.00,,,,,,,,,,,,,"C","ABCO",0.00,"S",5.00,25.00,5.00,,
85,"SHR0900003",,2.00,,,,,,,,,,,,,"C","PINUS",0.00,"S",0.00,,,,
