"sp","mod","LOOIC","SE","upr"
"PIPO","n0.a0",247.636118343697,28.3347138069162,303.172157405252
"PIPO","nP.a0",235.30055815407,28.7229772205758,291.597593506398
"PIPO","nP.aP",224.208476771555,27.5032067897151,278.114762079397
"PIPO","nP.aP2",226.424855362017,28.3660027565986,282.02222076495
"PIPO","pP",245.325763768842,29.1584093158959,302.476246027998
"ABCO","n0.a0",257.335679137765,28.2990514926355,312.80182006333
"ABCO","nP.a0",198.473002657658,24.3791785956516,246.256192705135
"ABCO","nP.aP",200.080919523576,26.0683531091774,251.174891617564
"ABCO","nP.aP2",202.667532056982,25.7974343928386,253.230503466946
"ABCO","pP",213.491146942264,25.9848075765237,264.421369792251
"PILA","n0.a0",90.2715593838034,23.7341211743773,136.790436885583
"PILA","nP.a0",90.842275149342,24.7253028618681,139.303868758603
"PILA","nP.aP",96.6490516186292,26.5528620928024,148.692661320522
"PILA","nP.aP2",100.933642400273,27.7887187150156,155.399531081704
"PILA","pP",89.1327477987744,24.8003301709117,137.741394933761
"QUKE","n0.a0",280.649301068769,28.2935567189796,336.104672237969
"QUKE","nP.a0",212.702937420992,21.1773329202947,254.21050994477
"QUKE","nP.aP",210.373431197117,22.3316020964762,254.143371306211
"QUKE","nP.aP2",210.343055380555,22.9626474183932,255.349844320606
"QUKE","pP",211.261823847999,23.0332902578091,256.407072753304
"QUCH2","n0.a0",425.074752411454,24.7374168055659,473.560089350363
"QUCH2","nP.a0",213.08611754195,20.8788712752482,254.008705241437
"QUCH2","nP.aP",209.908512847182,20.8905358584096,250.853963129665
"QUCH2","nP.aP2",212.718660843946,21.4403876619912,254.741820661448
"QUCH2","pP",217.675323148372,21.594702453381,260.000939956999
"COV.SHRUB","n0.a0",-191.404723451327,31.4034675540595,-129.853927045371
"COV.SHRUB","nP.a0",-213.485415026002,32.1571966301171,-150.457309630973
"COV.SHRUB","nP.aP",-232.372316840372,33.7339834210209,-166.253709335171
"COV.SHRUB","nP.aP2",-229.535372976101,33.7969112296202,-163.293426966046
"COV.SHRUB","pP",-229.083072463035,33.3648353158819,-163.687995243907
"COV.GRASS","n0.a0",-1375.29771797188,76.117011836214,-1226.1083747729
"COV.GRASS","nP.a0",-1487.8638757712,78.5584751593551,-1333.88926445886
"COV.GRASS","nP.aP",-1485.02632956617,78.8788366278312,-1330.42380977562
"COV.GRASS","nP.aP2",-1493.88166690499,80.1496166715602,-1336.78841822874
"COV.GRASS","pP",-1468.53073259439,75.7588684596753,-1320.04335041343
