"","Regen_Plot","revisit.plotname","orig_survey_year","revisit.distance","FIRE_SEV","revisit_relocated_precisely"
"1","BTU1300050","PIT0247",2013,0,4,"Y"
"2","BTU1300066","PIT0196",2013,0,4,"N"
"3","BTU1300067","PIT0206",2013,3,5,"N"
"4","BTU1300073","PIT0242",2013,2,4,"Y"
"5","BTU1300079","PIT0197",2013,1,4,"N"
"6","BTU1300081","PIT0251",2013,5,4,"N"
"7","BTU1300084","PIT0226",2013,0,5,"Y"
"8","BTU1300085","PIT0233",2013,2,5,"N"
"9","BTU1300086","PIT0239",2013,6,5,""
"10","BTU1300096","PIT0234",2013,0,5,""
"11","BTU1300097","PIT0238",2013,1,5,"Y"
"12","BTU1300098","PIT0241",2013,8,5,"N"
"13","CUB1300305","CUB0264",2013,4,5,"N"
"14","CUB1300306","CUB0260",2013,4,5,"Y"
"15","CUB1300307","CUB0265",2013,3,5,"N"
"16","CUB1300320","CUB0278",2013,2,5,"N"
"17","CUB1300321","CUB0280",2013,3,5,"N"
"18","CUB1300322","CUB0277",2013,4,5,"N"
"19","CUB1300323","CUB0275",2013,11,4,"N"
"20","CUB1300325","CUB0279",2013,1,5,"N"
"21","CUB1300346","CUB0300",2013,2,5,"N"
"22","CUB1300347","CUB0366",2013,1,5,"N"
"23","CUB1300349","CUB",2013,2,4,""
"24","CUB1300350","CUB0363",2013,1,5,"N"
"25","CUB1300351","CUB0365",2013,1,5,"N"
"26","CUB1300353","CUB0364",2013,2,5,"N"
"27","CUB1300354","CUB0361",2013,0,5,"N"
"28","CUB1300360","CUB0384",2013,3,5,"N"
"29","CUB1300379","CUB0477",2013,1,4,"Y"
"30","FRD0900066","FRD1200066",2009,4,5,NA
"31","FRD0900067","FRD1200067",2009,8,5,NA
"32","PWR0900027","richter.27",2009,2,5,NA
"33","PWR0900066","richter.66",2009,4,5,NA
"34","PWR0900081","richter.81",2009,7,5,NA
"35","PWR0900094","richter.94",2009,19,5,NA
"36","PWR0900097","richter.93",2009,6,4,NA
"37","PWR0900103","richter.103",2009,6,5,NA
"38","PWR0900121","richter.121",2009,4,5,NA
"39","PWR0900143","richter.143",2009,1,5,NA
"40","PWR0900144","richter.144",2009,3,5,NA
"41","PWR0900145","richter.145",2009,3,5,NA
"42","PWR0900146","richter.146",2009,3,5,NA
"43","PWR0900188","richter.188",2009,5,4,NA
"44","PWR0900222","richter.222",2009,3,5,NA
"45","PWR0900259","richter.259",2009,21,5,NA
"46","PWR0900266","richter.266",2009,4,4,NA
"47","PWR0900274","richter.274",2009,3,5,NA
"48","STY0900021","STR0091",2009,0,5,"Y"
"49","STY0900025","STR0084",2009,4,5,"N"
"50","STY0900027","STR0101",2009,1,5,"Y"
"51","STY0900056","STR0227",2009,1,5,"N"
"52","STY0900057","STR0264",2009,2,5,"N"
"53","STY0900062","STR0265",2009,1,5,"Y"
